raman_shift_cm-1,mean_intensity,std_dev
400.0,0.0637750259560746,0.048220505613016974
401.0,0.06329153495271715,0.04800861806646603
402.0,0.0626317070946627,0.05164677947703057
403.0,0.06221924620352784,0.052961375625090096
404.0,0.06247785610092907,0.05215485926949078
405.0,0.06383124060848305,0.050912103440673935
406.0,0.06862982402038705,0.04967911112058545
407.0,0.07549570880018958,0.047607259067230054
408.0,0.08194141706957266,0.045043194020632206
409.0,0.0865026231270711,0.04232712986283487
410.0,0.0897641284415811,0.040729877916728024
411.0,0.09148452338941951,0.04066318710381529
412.0,0.09094127443513847,0.04069425166021308
413.0,0.08736050833121746,0.040635577500669394
414.0,0.082420759595462,0.042384147844962416
415.0,0.07898958577724176,0.0451414774278491
416.0,0.0779450909748427,0.047854025967456096
417.0,0.07883976396691711,0.04937214690461075
418.0,0.07970308821922983,0.04884861054993842
419.0,0.07888452252963377,0.04798035998686765
420.0,0.07703328489089484,0.04731811693682532
421.0,0.0759602819132073,0.04622590464799008
422.0,0.07575896489321873,0.04559515407850439
423.0,0.07477542815123653,0.045349256903514254
424.0,0.07288283904069809,0.04473968181235924
425.0,0.07411745977894851,0.046488764282590314
426.0,0.0780645493176922,0.04959060078190384
427.0,0.08290133617354377,0.048752833121365795
428.0,0.08643100824910706,0.046183365858469154
429.0,0.08576405758523276,0.04545894917636562
430.0,0.0811931253431318,0.04557756179624321
431.0,0.07473704426325409,0.04348052657012073
432.0,0.06550963910929622,0.040274547909865475
433.0,0.05356769391609804,0.03633455668329792
434.0,0.0423343645685665,0.0344706284491304
435.0,0.034105636460774386,0.036382037684555266
436.0,0.02610719001451963,0.03661064179807426
437.0,0.0202499858742996,0.03446690256073249
438.0,0.017463724357645576,0.03323836921211891
439.0,0.017430399899716485,0.033602414690811266
440.0,0.01995620272113442,0.03473676879385552
441.0,0.02356076542667832,0.036630404124207656
442.0,0.027361945349553912,0.03914315974667734
443.0,0.03276787692340635,0.04097960878877827
444.0,0.040309458793690515,0.042365227660134196
445.0,0.04618086806056764,0.043670042401240616
446.0,0.051878003532458944,0.04413798188697307
447.0,0.06154287984184747,0.043638780500923575
448.0,0.07766897886708313,0.0430228288511245
449.0,0.10023920025497685,0.043974581525547445
450.0,0.13171686978466565,0.045619895683189415
451.0,0.1732514636581777,0.045721809670224885
452.0,0.22975638068196091,0.045635550473083916
453.0,0.29999469083523334,0.0459807072081059
454.0,0.3824890797474718,0.045299339741338256
455.0,0.4640431336947648,0.04445825965990396
456.0,0.5411612632521505,0.04364685218901093
457.0,0.5985928932290135,0.04262254466515354
458.0,0.6259098903728333,0.04119938832236641
459.0,0.6155734756819061,0.03954100063726598
460.0,0.5684827078446273,0.03689533046891141
461.0,0.49497898433835225,0.034598754499209204
