RamanShift,Residual
201.0,-0.0531057145036837
202.0,0.0018742255574727418
203.0,0.025673761774116205
204.0,-0.040263080957204184
205.0,-0.0585420236657703
206.0,0.017848361251974712
207.0,0.04554823864979057
208.0,0.006816121565093786
209.0,-0.026928722579754816
210.0,-0.06207296189661946
211.0,-0.061828921917116725
212.0,-0.03369314007734436
213.0,-0.0775769950748862
214.0,-0.14910045691326712
215.0,-0.14736372161890252
216.0,-0.12609399126220716
217.0,-0.12118806549950571
218.0,-0.13338998821696546
219.0,-0.16576149883125946
220.0,-0.20165044308386815
221.0,-0.28505273546605797
222.0,-0.3585225718252194
223.0,-0.38464725838834857
224.0,-0.4020226985798065
225.0,-0.38955130234286517
226.0,-0.29669625956922924
227.0,-0.1910469785222778
228.0,-0.13944043458781724
229.0,-0.15674925763237718
230.0,-0.15801283084492523
231.0,-0.14883125175440193
232.0,-0.1607235768116154
233.0,-0.18423283430862752
234.0,-0.23944892480925428
235.0,-0.2892640596124806
236.0,-0.31349718425237216
237.0,-0.3325218780557693
238.0,-0.3865414687436386
239.0,-0.4423355304485166
240.0,-0.45380539043984935
241.0,-0.4397422170845417
242.0,-0.4311177544954997
243.0,-0.436650589266375
244.0,-0.4886102483548589
245.0,-0.5157949373865758
246.0,-0.4940604196743731
247.0,-0.46212159942147424
248.0,-0.41716437892119307
249.0,-0.3957525586748313
250.0,-0.4057324253646902
251.0,-0.35160947180520236
252.0,-0.26266711632930473
253.0,-0.21017516069273895
254.0,-0.16961471638702202
255.0,-0.10578231217325706
256.0,-0.038145154159505534
257.0,-0.06255704777762686
258.0,-0.0940913282340985
259.0,-0.0497785339851933
260.0,-0.019871816696114167
261.0,-0.05468719807701378
262.0,-0.058495106818146694
263.0,0.013238105310329887
264.0,0.03699451515287416
265.0,-0.015952114798123015
266.0,-0.018276530017545145
267.0,0.026510038015429047
268.0,0.024722787361568327
269.0,-0.005346741192626084
270.0,0.00042077067624092523
271.0,0.019175971006333378
272.0,-0.034402852480915236
273.0,-0.09939578065751431
274.0,-0.0925258259736164
275.0,-0.08946028149862215
276.0,-0.10186535706859284
277.0,-0.11561293893806167
278.0,-0.1351442008586174
279.0,-0.14750810529741723
280.0,-0.14154050741882468
281.0,-0.14756653198046712
282.0,-0.1716444147743365
283.0,-0.16420831390989876
284.0,-0.11571067076362673
285.0,-0.11931815826483479
286.0,-0.1527819137750524
287.0,-0.15289561891478287
288.0,-0.14876180700884606
289.0,-0.13684491525884313
290.0,-0.12351125225924495
291.0,-0.07643544436391188
292.0,-0.03294603702844824
293.0,-0.013281417456009276
294.0,0.003531190689408492
295.0,0.010246762752903815
296.0,0.0031023995341983024
297.0,-0.006974862185868375
298.0,-0.05282163479897817
299.0,-0.13491371810532632
300.0,-0.12479535050551799
301.0,-0.05985727611127867
302.0,-0.055190105576227555
303.0,-0.08119842151671947
304.0,-0.13328912787254116
305.0,-0.18628824641792188
306.0,-0.27443684091766024
307.0,-0.34731452631476084
308.0,-0.3063220594709198
309.0,-0.293337699796749
310.0,-0.36726074407774373
311.0,-0.37264764595904143
312.0,-0.3140813986387122
313.0,-0.27649156576201517
314.0,-0.2597036269711835
315.0,-0.22457609546248908
316.0,-0.17872125116794707
317.0,-0.14950054015883618
318.0,-0.12551816630509358
319.0,-0.09847732068698353
320.0,-0.0767591568580302
321.0,-0.1263262201134795
322.0,-0.17636123801108694
323.0,-0.22897842200663385
324.0,-0.2812787604092041
325.0,-0.332787330522466
326.0,-0.3518413934316035
327.0,-0.27153030344751883
328.0,-0.2605226985333879
329.0,-0.30575458577039594
330.0,-0.2647486347310632
331.0,-0.18448394251449268
332.0,-0.1590283626376102
333.0,-0.1454114502895631
334.0,-0.12999741604489568
335.0,-0.15025112066194637
336.0,-0.18324867411119808
337.0,-0.22172477048324246
338.0,-0.2448218978097313
339.0,-0.2993272287208681
340.0,-0.4072692999506518
341.0,-0.47003856108931796
342.0,-0.4597048467210998
343.0,-0.40830601130034394
344.0,-0.34720763270613086
345.0,-0.29839459100519294
346.0,-0.24671209436391478
347.0,-0.16188000426533478
348.0,-0.08033813711772891
349.0,-0.07518933996995411
350.0,-0.09922622654385119
351.0,-0.07245250483742494
352.0,-0.05132964118243222
353.0,-0.04043535178883467
354.0,-0.09477289804744021
355.0,-0.20171715802879023
356.0,-0.18502749172589772
357.0,-0.0976774402849741
358.0,-0.11200559886275552
359.0,-0.16802561573770372
360.0,-0.08909226650704047
361.0,-0.006304897936572296
362.0,0.011838969953496564
363.0,0.040207180499553324
364.0,0.11714165968862786
365.0,0.1534266209514004
366.0,0.10919665320200958
367.0,0.06482021571570487
368.0,0.020310889192549392
369.0,-0.015149473715711348
370.0,-0.04622311055062986
371.0,-0.05139205913248507
372.0,-0.05491178481462394
373.0,-0.08105003421952994
374.0,-0.08890355818488582
375.0,-0.0724872580553183
376.0,-0.06686995384451416
377.0,-0.08940482729857466
378.0,-0.09831646438867789
379.0,-0.08916342314267223
380.0,-0.09027419310929993
381.0,-0.105544028484722
382.0,-0.11848744327556843
383.0,-0.1304002417946654
384.0,-0.06592672106480366
385.0,0.0017480924829571531
386.0,-0.05145749097126953
387.0,-0.09304854589033926
388.0,-0.08923899355239326
389.0,-0.11949135897897979
390.0,-0.14884387896962356
391.0,-0.144108693596959
392.0,-0.10766518163852062
393.0,-0.08147581289551373
394.0,-0.060194273697125183
395.0,-0.09858933423905811
396.0,-0.14299479115023211
397.0,-0.087451626999588
398.0,-0.04039456085486168
399.0,-0.05326961378284906
400.0,-0.05528094936254774
401.0,-0.03379109486864684
402.0,-0.007987481140665248
403.0,0.022530520521660713
404.0,0.02055444877928317
405.0,2.4099498454110968e-05
406.0,0.028409185409351362
407.0,0.06876895473542667
408.0,0.07804462060550303
409.0,0.08566683584742303
410.0,0.08937139075286975
411.0,0.09500283425375879
412.0,0.0979814898506156
413.0,0.12035647815904912
414.0,0.16854658265166717
415.0,0.16685127952461637
416.0,0.13646878588455236
417.0,0.12858458119849844
418.0,0.1264617549650554
419.0,0.13170326056354548
420.0,0.12227469233044456
421.0,0.11296110268416304
422.0,0.09980591605458256
423.0,0.07772588689134607
424.0,0.015385422992632097
425.0,-0.09151017940082323
426.0,-0.07707570944981632
427.0,-0.0010331134661436536
428.0,-0.05236251531360475
429.0,-0.12742371169028
430.0,-0.1689676084334748
431.0,-0.21038714138312717
432.0,-0.25382674358769164
433.0,-0.3084926091944493
434.0,-0.3853257214301684
435.0,-0.4159226856011361
436.0,-0.38818259801386656
437.0,-0.3812053267816089
438.0,-0.38396720965965914
439.0,-0.2863812528953492
