RamanShift,y_exp,LTA_fit
201.0,0.009592173480379043,0.06269788798406274
202.0,0.06920815738156993,0.06733393182409719
203.0,0.09930593928478929,0.07363217751067308
204.0,0.039667342240044784,0.07993042319724897
205.0,0.02745601878896206,0.08599804245473236
206.0,0.10944578142633603,0.09159742017436132
207.0,0.14274503654378085,0.09719679789399027
208.0,0.10961229717871301,0.10279617561361923
209.0,0.08146683075349336,0.10839555333324817
210.0,0.05807973402527112,0.12015269592189058
211.0,0.076751828534847,0.13858075045196372
212.0,0.12331566490469248,0.15700880498203684
213.0,0.09785986443722379,0.17543685951211
214.0,0.04027599215724424,0.18937644907051138
215.0,0.05296000702889564,0.20032372864779815
216.0,0.08517701696287773,0.2112710082250849
217.0,0.10103022230286603,0.22221828780237174
218.0,0.11452820049698993,0.2479181887139554
219.0,0.11359372131317286,0.2793552201444323
220.0,0.10914180849104099,0.31079225157490914
221.0,0.05717654753932804,0.342229283005386
222.0,0.015143742610643513,0.3736663144358629
223.0,0.027842372468161403,0.41248963085650997
224.0,0.05039394645450242,0.4524166450343089
225.0,0.10279235686924275,0.49234365921210793
226.0,0.16024261025501602,0.45693886982424525
227.0,0.2273482767655361,0.4183952552878139
228.0,0.24041120616356543,0.37985164075138267
229.0,0.18455876858257414,0.3413080262149513
230.0,0.1447515808335948,0.30276441167852003
231.0,0.11881918406614576,0.2676504358205477
232.0,0.0928806636043483,0.2536042404159637
233.0,0.06693860406859287,0.2511714383772204
234.0,0.05574328499258081,0.2951922098018351
235.0,0.049948921613969216,0.3392129812264498
236.0,0.06973656839869226,0.3832337526510644
237.0,0.09473264601990977,0.4272545240756791
238.0,0.08473382675665528,0.47127529550029384
239.0,0.07296053647639192,0.5152960669249085
240.0,0.08761273621084673,0.5414181266506961
241.0,0.10129416022200559,0.5410363773065473
242.0,0.108585985345142,0.5397037398406417
243.0,0.10172051310836129,0.5383711023747363
244.0,0.04842821655397181,0.5370384649088307
245.0,0.019910890056349412,0.5357058274429252
246.0,0.04031277030264645,0.5343731899770195
247.0,0.07091895308963982,0.533040552511114
248.0,0.11454353612401535,0.5317079150452084
249.0,0.10324794258761988,0.49900050126245116
250.0,0.045796061495309306,0.45152848685999947
251.0,0.052447000652345366,0.4040564724575477
252.0,0.09391734172579118,0.3565844580550959
253.0,0.09893728295990518,0.3091124436526441
254.0,0.09202571286317042,0.26164042925019243
255.0,0.10838610267448362,0.21416841484774068
256.0,0.12855124628578338,0.1666964004452889
257.0,0.08447067241366876,0.14702772019129562
258.0,0.044229966038180066,0.13832129427227857
259.0,0.08028604874199866,0.13006458272719196
260.0,0.10193605448599115,0.12180787118210532
261.0,0.05886396156000487,0.11355115963701864
262.0,0.046799341273785336,0.10529444809193203
263.0,0.11027584185717527,0.09703773654684539
264.0,0.12709248897393366,0.0900979738210595
265.0,0.07412007759847827,0.09007219239660129
266.0,0.07227859800962874,0.09055512802717389
267.0,0.11935173486828458,0.09284169685285554
268.0,0.11985105304010554,0.09512826567853722
269.0,0.0920680933115928,0.09741483450421888
270.0,0.10012217400614148,0.09970140332990056
271.0,0.1211639431619156,0.10198797215558222
272.0,0.0685823444946359,0.10298519697555114
273.0,0.0026526251294368836,0.1020484057869512
274.0,0.008585788624734856,0.10111161459835126
275.0,0.016804700024467135,0.10626498152308927
276.0,0.015891727374749226,0.11775708444334207
277.0,0.013636248425533199,0.12924918736359486
278.0,0.005597089425230269,0.14074129028384766
279.0,0.004725287906683234,0.15223339320410045
280.0,0.020280676332872866,0.16182118375169754
281.0,0.022771266609208606,0.17033779858967574
