raman_shift,raw_intensity,baseline,baseline_corrected,smoothed,normalized
200.0,0.42644660025416603,0.0,0.42644660025416603,0.9586860117099403,0.45489634252351474
207.35999999999999,1.2269120641,0.0,1.2269120641,1.566445283437068,0.6402227366047871
215.04,4.2618417097,0.0,4.2618417097,1.7188089532757629,0.6866835819324957
222.72,0.7855408065,0.0,0.7855408065,1.5432454345204025,0.6331483166115923
230.39999999999998,0.2928152898,0.0,0.2928152898,1.167223140465362,0.5184863787470284
238.07999999999998,0.1778757111,0.0,0.1778757111,0.7182104844050134,0.3815672064437543
245.76,0.1520276039,0.0,0.1520276039,0.49504249076783335,0.3135157237940576
253.44,0.1885330087,0.0,0.1885330087,0.2877975750717955,0.2503197271151811
261.12,0.405783237,0.0,0.405783237,0.6772598546254097,0.36907997193255704
268.8,2.0861286853,0.0,2.0861286853,0.760068952625643,0.39433127165505033
276.48,0.892703433,0.0,0.892703433,0.7375232220867152,0.387456314518101
284.15999999999997,0.242066351,0.0,0.242066351,0.6306782653969714,0.3548756670969453
291.84,0.1214355202,0.0,0.1214355202,0.443885744983218,0.29791629870877195
299.52,0.0737359247,0.0,0.0737359247,0.17256270653892813,0.21518071130562177
307.2,0.0593233379,0.0,0.0593233379,-0.0544354041673662,0.14596129618932377
314.88,0.056613514,0.0,0.056613514,0.04792195984358984,0.1771735245538655
322.56,0.0666464945,0.0,0.0666464945,0.11972190566014015,0.19906776076287946
330.24,0.1206486414,0.0,0.1206486414,0.12454098200372993,0.20053726042023856
337.91999999999996,0.4386096438,0.0,0.4386096438,-0.015798196775757667,0.15774308983092208
345.59999999999997,0.150006167,0.0,0.150006167,0.25861395807459275,0.24142065349188502
353.28,0.1252055346,0.0,0.1252055346,0.5276020734342671,0.32344424373454894
360.96,0.1991186157,0.0,0.1991186157,0.7151783549268085,0.3806426074310789
368.64,0.5614223316,0.0,0.5614223316,0.7979826106356664,0.40589243057486507
376.32,2.6658586131,0.0,2.6658586131,0.6770642966778573,0.3690203396884436
384.0,0.6064226084,0.0,0.6064226084,0.7133479700449902,0.3800844610634155
391.68,0.2710151596,0.0,0.2710151596,0.9813972209902123,0.46182175973545936
399.36,0.2774603507,0.0,0.2774603507,1.2213023368004696,0.5349769580237828
407.03999999999996,0.5388526074,0.0,0.5388526074,1.145805747713756,0.5119554900318339
414.71999999999997,2.3740588748,0.0,2.3740588748,1.3018298104107262,0.5595325131636543
