raman_shift,raw_intensity,baseline,baseline_corrected,smoothed,normalized
200.0,3.968172868312503,0.0,3.968172868312503,3.204546564091694,0.748069725580964
207.35999999999999,0.8881082726,0.0,0.8881082726,1.8333933536769207,0.43702797929804854
215.04,0.317496265,0.0,0.317496265,0.8475378128340294,0.21338978432660416
222.72,0.2288311812,0.0,0.2288311812,0.21749021492015963,0.07046548993852111
230.39999999999998,0.3956635778,0.0,0.3956635778,-0.08623916670755083,0.0015654454056893627
238.07999999999998,0.5826184893,0.0,0.5826184893,-0.0931400586919588,0.0
245.76,0.3190798052,0.0,0.3190798052,0.6287340742216798,0.16375485189580122
253.44,0.716999541,0.0,0.716999541,1.0964649412463898,0.26985811195802223
261.12,0.5912501444,0.0,0.5912501444,1.3620065095550153,0.3300953724552894
268.8,1.8203749855,0.0,1.8203749855,1.2608197453888144,0.30714147672145525
276.48,3.8504961891,0.0,3.8504961891,1.427255914821449,0.34489699258339596
284.15999999999997,0.8789236613,0.0,0.8789236613,1.9372903798778607,0.4605966893573471
291.84,0.585408963,0.0,0.585408963,2.1341878599233155,0.5052622566818897
299.52,0.9461183071,0.0,0.9461183071,2.0373736313892827,0.4833002567539972
307.2,3.9905373355,0.0,3.9905373355,2.1769042921298425,0.5149523435135974
314.88,3.5922614467,0.0,3.5922614467,2.2526778506899827,0.5321413343554648
322.56,1.0979396631,0.0,1.0979396631,2.526427973316091,0.5942406793010452
330.24,1.6226770042,0.0,1.6226770042,2.230876367656183,0.5271957372457596
337.91999999999996,3.6248928666,0.0,3.6248928666,1.9228918806419633,0.4573304355848515
345.59999999999997,0.8460074267,0.0,0.8460074267,1.289521168320283,0.31365230325900023
353.28,0.5597559072,0.0,0.5597559072,1.3683229507340364,0.3315282370540032
360.96,0.969925211,0.0,0.969925211,1.216205693244525,0.29702092084023535
368.64,2.4087041134,0.0,2.4087041134,1.4585791964883486,0.3520025794390303
376.32,1.2142906056,0.0,1.2142906056,2.0115116107974407,0.4774335396094865
384.0,2.9550577826,0.0,2.9550577826,3.070363457643598,0.71763071451038
391.68,1.767955634,0.0,1.767955634,3.281686671994181,0.7655687137962809
399.36,6.5719444937,0.0,6.5719444937,3.666822774428681,0.8529356141163299
407.03999999999996,4.528055632,0.0,4.528055632,4.100887064418659,0.9514017182190913
414.71999999999997,3.2296778446,0.0,3.2296778446,4.315120976364114,1.0
422.4,1.7096514121,0.0,1.7096514121,3.853530353621455,0.8952896348306225
430.08,5.5013426068,0.0,5.5013426068,3.2025721935951132,0.7476218459112076
437.76,3.6770654443,0.0,3.6770654443,2.4205466757629432,0.5702218435943706
445.44,1.0110565753,0.0,1.0110565753,2.197448826605367,0.5196128058392507
453.12,0.6900034948,0.0,0.6900034948,1.783422145658746,0.4256921696395946
460.79999999999995,1.3318090327,0.0,1.3318090327,1.7616357991421958,0.42075000620070174
468.47999999999996,2.7192470099,0.0,2.7192470099,1.41293098064033,0.34164742680968113
476.15999999999997,0.8556434755,0.0,0.8556434755,1.6246540629174868,0.38967613486336916
483.84,1.5063656193,0.0,1.5063656193,1.7832341663909137,0.4256495271403557
491.52,3.5236560961,0.0,3.5236560961,1.4292680597526846,0.3453534412635522
499.2,0.7143637852,0.0,0.7143637852,1.277376892110726,0.3108974128128626
506.88,0.3378599864,0.0,0.3378599864,1.1314202543263432,0.27778761359188103
514.56,0.2975634569,0.0,0.2975634569,1.1609402555610753,0.2844841320149006
522.24,0.5498581752,0.0,0.5498581752,0.8952937445941748,0.22422306560926256
529.92,2.6160262046,0.0,2.6160262046,0.6367164962587428,0.16556563895527524
