integration times(sec),25,Raman Shift,Dark Subtracted #1
laser_wavelength,784.92,-46.169047190162,45
laser_powerlevel,45,-44.161473544249,27
,,-42.1546698518468,36
,,-40.1486357454087,7
,,-38.1433708576169,46
,,-36.1388748214067,59.5
,,-34.1351472699553,27
,,-32.1321878366853,41.5
,,-30.1299961552522,41
,,-28.1285718595627,55
,,-26.127914583758,54
,,-24.1280239622283,91.5
,,-22.1288996296043,90.5
,,-20.1305412207475,65
,,-18.1329483707741,100.5
,,-16.136120715033,171.5
,,-14.1400578891189,453
,,-12.1447595288591,2107
,,-10.1502252703322,3438.5
,,-8.1564547498474,4791
,,-6.16344760395987,6984
,,-4.17120346946103,11976.5
,,-2.1797219833843,19149
,,-0.189002782999523,14126.5
,,1.80095449418513,6890
,,3.7901502104105,1996.5
,,5.77858472769731,1643.5
,,7.76625840781526,1101.5
,,9.75317161230305,137.5
,,11.7393247024465,119.5
,,13.7247180393133,104.5
,,15.7093519837217,68.5
,,17.6932268962537,49
,,19.6763431372528,44
,,21.6587010668318,34.5
,,23.6403010448576,37.5
,,25.6211434309644,27
,,27.60122858455,73
,,29.5805568647775,97.5
,,31.5591286305698,191.5
,,33.5369442406154,248.5
,,35.5140040533643,405.5
,,37.4903084270354,590
,,39.4658577196114,859
,,41.4406522888366,1105
,,43.4146924922206,1179.5
,,45.3879786870384,1210.5
,,47.3605112303303,1229
,,49.3322904789075,1290.5
,,51.3033167893354,1286.5
,,53.2735905179561,1312
,,55.2431120208676,1416.5
,,57.2118816539387,1532
,,59.179899772811,1692.5
,,61.1471667328824,1840.5
,,63.1136828893214,2021
,,65.0794485970673,2153
,,67.0444642108196,2263
,,69.0087300850446,2250.5
,,70.9722465739851,2148.5
,,72.9350140316456,2112.5
,,74.8970328117921,2052
,,76.8583032679744,2069
,,78.8188257534912,2145.5
,,80.7786006214246,2272
,,82.7376282246223,2398.5
,,84.6959089156935,2466
,,86.6534430470238,2445
,,88.6102309707621,2480.5
,,90.566273038834,2479
,,92.5215696029263,2495.5
,,94.4761210145007,2475
,,96.4299276247893,2351.5
,,98.3829897847845,2312
,,100.335307845264,2259.5
,,102.286882156764,2221
,,104.237713069599,2182.5
,,106.187800933843,2204.5
,,108.137146099358,2119.5
,,110.085748915759,2042
,,112.033609732445,1970
,,113.980728898583,1884.5
,,115.927106763107,1823.5
,,117.87274367473,1704.5
,,119.817639981929,1581.5
,,121.761796032959,1517.5
,,123.705212175848,1442
,,125.647888758393,1378
,,127.589826128164,1288
,,129.531024632504,1257
,,131.471484618531,1213.5
,,133.411206433135,1174
,,135.35019042298,1173.5
,,137.288436934499,1135.5
,,139.225946313907,1176.5
,,141.162718907186,1155.5
,,143.098755060095,1129
,,145.034055118169,1189.5
,,146.968619426712,1164.5
,,148.902448330808,1162.5
,,150.835542175313,1123
,,152.767901304856,1113.5
,,154.699526063849,1072
,,156.63041679647,1018
,,158.560573846682,1029.5
,,160.489997558212,1019
,,162.418688274569,987.5
,,164.346646339047,1015
,,166.273872094696,967.5
,,168.200365884364,985
,,170.126128050659,1007
,,172.051158935974,1003.5
,,173.975458882476,982.5
,,175.899028232114,978
,,177.821867326607,1027
,,179.743976507454,1001.5
,,181.665356115935,983.5
,,183.5860064931,975
,,185.505927979792,944
,,187.425120916616,987.5
,,189.343585643961,962
,,191.261322501998,930.5
,,193.178331830672,908.5
,,195.094613969706,920.5
,,197.01016925861,939
,,198.924998036668,949
,,200.839100642937,950
,,202.752477416265,937.5
,,204.665128695269,943
,,206.577054818363,988.5
,,208.488256123717,992
,,210.398732949297,958
,,212.308485632848,947
,,214.217514511893,922
,,216.125819923733,966
,,218.033402205458,937
,,219.940261693931,982
,,221.8463987258,1016
,,223.751813637493,1040.5
,,225.656506765223,1098.5
,,227.560478444981,1141.5
,,229.463729012537,1229
,,231.366258803453,1243.5
,,233.268068153067,1282
,,235.169157396496,1202.5
,,237.069526868645,1131
,,238.9691769042,1040
,,240.868107837636,1028.5
,,242.766320003197,1023
,,244.66381373492,982
,,246.560589366629,983.5
,,248.456647231922,1020.5
,,250.351987664188,965
,,252.246610996595,997
,,254.140517562102,1006.5
,,256.033707693441,1023.5
,,257.926181723144,1018.5
,,259.817939983512,1011
,,261.708982806638,990
,,263.599310524403,958
,,265.488923468469,972.5
,,267.377821970284,924
,,269.26600636108,947.5
,,271.153476971878,909.5
,,273.040234133483,945.5
,,274.926278176486,962
,,276.811609431265,1007
,,278.69622822798,1076.5
,,280.580134896583,1136
,,282.463329766813,1154.5
,,284.345813168189,1121
,,286.227585430024,1080
,,288.108646881416,1047.5
,,289.988997851247,1109.5
,,291.868638668191,1109.5
,,293.747569660709,1102.5
,,295.625791157048,1046.5
,,297.503303485239,1001.5
,,299.380106973114,1004
,,301.256201948281,987.5
,,303.131588738137,966.5
,,305.006267669878,1005
,,306.880239070475,987.5
,,308.753503266698,1012.5
,,310.626060585104,1038.5
,,312.49791135204,1065
,,314.369055893634,1111.5
,,316.239494535816,1141.5
,,318.109227604295,1161
,,319.978255424579,1131.5
,,321.846578321964,1037.5
,,323.714196621529,934
,,325.581110648151,978
,,327.447320726491,999
,,329.312827181013,998.5
,,331.177630335957,1040
,,333.041730515366,1030
,,334.905128043067,976
,,336.767823242679,969.5
,,338.629816437613,923
,,340.491107951078,935
,,342.351698106067,828
,,344.211587225367,839.5
,,346.070775631559,848
,,347.929263647009,833
,,349.787051593894,862
,,351.644139794162,858
,,353.500528569564,851.5
,,355.356218241648,840.5
,,357.211209131747,865.5
,,359.065501560986,559.5
,,360.919095850299,945.5
,,362.771992320395,1049
,,364.624191291785,1148
,,366.475693084774,1145.5
,,368.326498019464,1081.5
,,370.176606415744,1003.5
,,372.026018593304,956
,,373.874734871624,896.5
,,375.722755569981,922.5
,,377.570081007447,850.5
,,379.416711502885,878
,,381.262647374964,842
,,383.107888942135,856.5
,,384.952436522655,842.5
,,386.79629043457,809
,,388.639450995721,767
,,390.481918523754,788
,,392.323693336104,738.5
,,394.164775750001,725
,,396.005166082479,727
,,397.844864650357,745.5
,,399.683871770265,748
,,401.522187758617,744
,,403.359812931632,739.5
,,405.196747605327,729.5
,,407.032992095506,744.5
,,408.868546717782,720
,,410.703411787561,746
,,412.537587620049,733
,,414.371074530249,771.5
,,416.203872832957,734.5
,,418.035982842777,760
,,419.867404874105,755.5
,,421.698139241136,748
,,423.528186257867,723.5
,,425.357546238092,762.5
,,427.186219495403,753
,,429.014206343187,721.5
,,430.841507094647,715.5
,,432.668122062767,708.5
,,434.494051560343,732.5
,,436.319295899961,711.5
,,438.14385539401,713
,,439.967730354691,674.5
,,441.790921093985,699.5
,,443.613427923692,733
,,445.435251155401,755
,,447.256391100504,747
,,449.076848070199,757
,,450.89662237548,768
,,452.715714327145,835
,,454.534124235792,910
,,456.351852411821,983
,,458.16889916543,1018
,,459.985264806626,999
,,461.800949645216,924
,,463.615953990806,816.5
,,465.430278152804,774
,,467.243922440422,754
,,469.056887162678,747
,,470.869172628391,736
,,472.680779146182,718.5
,,474.491707024468,725.5
,,476.301956571482,731.5
,,478.111528095253,709.5
,,479.920421903618,755
,,481.72863830421,773.5
,,483.536177604474,863
,,485.343040111651,869.5
,,487.149226132797,885.5
,,488.954735974761,907
,,490.759569944203,885.5
,,492.563728347586,851.5
,,494.367211491179,791
,,496.170019681054,759.5
,,497.972153223085,730.5
,,499.77361242296,731
,,501.574397586164,732.5
,,503.374509017991,728
,,505.173947023542,650
,,506.972711907716,731.5
,,508.770803975232,692.5
,,510.568223530603,671
,,512.364970878152,692
,,514.161046322009,690
,,515.956450166112,710
,,517.751182714195,764.5
,,519.545244269821,787.5
,,521.338635136335,819.5
,,523.131355616908,844.5
,,524.923406014505,800.5
,,526.714786631906,760.5
,,528.505497771697,754
,,530.295539736278,713
,,532.084912827839,730
,,533.873617348396,767
,,535.661653599765,831
,,537.449021883567,915.5
,,539.235722501244,960.5
,,541.021755754035,1125
,,542.807121942988,1069.5
,,544.591821368967,948.5
,,546.37585433264,852
,,548.159221134483,746
,,549.941922074791,693.5
,,551.723957453652,712.5
,,553.505327570978,721.5
,,555.286032726481,715.5
,,557.066073219688,701.5
,,558.845449349939,747.5
,,560.624161416377,705
,,562.40220971796,721
,,564.179594553454,711.5
,,565.956316221434,702.5
,,567.732375020294,704.5
,,569.507771248231,709.5
,,571.282505203249,724
,,573.056577183179,732.5
,,574.829987485648,785
,,576.6027364081,724.5
,,578.374824247796,735.5
,,580.146251301796,802.5
,,581.917017866981,813
,,583.687124240043,839.5
,,585.45657071749,841.5
,,587.225357595635,835
,,588.9934851706,816.5
,,590.760953738332,722.5
,,592.527763594586,716
,,594.293915034921,694
,,596.059408354722,680
,,597.824243849183,671
,,599.588421813303,658
,,601.351942541907,680.5
,,603.114806329624,647.5
,,604.877013470903,699
,,606.638564260005,694
,,608.399458991002,719
,,610.159697957783,720
,,611.919281454051,740
,,613.678209773321,733
,,615.436483208929,733
,,617.194102054018,736
,,618.951066601549,724
,,620.707377144301,690
,,622.463033974862,689.5
,,624.218037385641,696
,,625.972387668859,685
,,627.726085116552,668.5
,,629.479130020578,702
,,631.231522672599,730
,,632.983263364104,672.5
,,634.734352386393,659
,,636.484790030583,748
,,638.234576587611,730.5
,,639.983712348219,741.5
,,641.73219760298,747
,,643.480032642277,763
,,645.227217756308,798.5
,,646.973753235096,811.5
,,648.719639368464,762.5
,,650.464876446078,733
,,652.209464757396,699.5
,,653.95340459171,695.5
,,655.696696238127,690.5
,,657.439339985565,694
,,659.181336122767,669.5
,,660.92268493829,679
,,662.663386720513,655.5
,,664.403441757631,688.5
,,666.142850337659,667
