frequency_scaled_cm-1,raman_activity,stick_intensity_normalized
402.272,0.2774603507,0.03250419692161252
410.008,0.5388526074,0.06312603302946074
417.74399999999997,2.3740588748,0.27811857433077575
425.47999999999996,2.8358201798,0.33221343995980834
433.216,1.4011224215,0.16414006175954343
440.952,0.7501634165,0.08788087866172235
448.688,2.5658734804,0.30058945961991423
456.424,0.8225719076,0.09636345949741085
464.15999999999997,0.2489191454,0.029160623848519845
471.89599999999996,0.1245001422,0.014585064599781612
479.632,0.077144487,0.009037397922040388
487.368,0.0534581636,0.0062625693088701855
495.104,0.0396486204,0.00464479541635591
502.84,0.0305603861,0.0035801180431323876
510.57599999999996,0.0244929154,0.0028693200428006084
518.312,0.0201254711,0.0023576784002624046
526.048,0.0168638282,0.0019755802632056662
533.784,0.014356267,0.0016818220277238605
541.52,0.0109027998,0.0012772518696889169
549.256,0.0094502648,0.0011070888768273412
556.992,0.0082727069,0.0009691391706021607
564.728,0.007304253,0.0008556857845753419
572.4639999999999,0.0064977831,0.0007612086588353247
580.1999999999999,0.0040407132,0.00047336542761948963
587.936,0.0021370418,0.0002503522659063563
595.672,0.0019161537,0.0002244754504192892
603.408,0.0017278167,0.00020241196307711114
611.144,0.0,0.0
618.88,0.0,0.0
626.616,0.0,0.0
634.352,0.0063154828,0.0007398523647373766
642.088,0.0070301722,0.000823577498569225
649.824,0.0078733771,0.0009223580920692411
657.56,0.0088778532,0.0010400314420635087
665.2959999999999,0.0100874932,0.0011817395335622174
673.0319999999999,0.0115621989,0.0013544998013024269
680.768,0.0133854312,0.001568089604542896
688.504,0.0156762636,0.0018364582822878498
696.24,0.01860929,0.0021800593317400237
703.976,0.022448825,0.002629856938542456
711.712,0.0276104351,0.003234534294062659
719.448,0.034777904,0.0040741959609183745
727.184,0.0455575124,0.0053370160838206
734.92,0.0613815689,0.007190788153513016
742.656,0.087812499,0.010287144640572612
750.3919999999999,0.1341098928,0.015710837075315297
758.1279999999999,0.2296929744,0.02690829753718935
765.864,0.4785790882,0.05606505176747968
773.6,1.4826498118,0.1736909123301953
781.336,8.5361392367,1.0
789.072,2.3704916581,0.2777006785349031
796.808,0.6316265429,0.07399440489260124
804.544,0.2796180153,0.032756965127492224
812.28,0.1577689656,0.01848247330850617
820.016,0.1027136684,0.012032801428354892
827.752,0.0740373796,0.008673403461097035
835.4879999999999,0.058239895,0.006822744262371598
843.2239999999999,0.0502121896,0.00588230676745751
850.9599999999999,0.0495668983,0.005806711550216248
858.696,0.0569459655,0.006671161741969761
866.432,0.0867838932,0.010166644520848974
874.168,0.2344929413,0.027470608760905475
881.904,0.6952690232,0.08145005650924517
889.64,0.6339895388,0.07427122745072455
897.376,0.5107615344,0.05983519249592936
905.112,0.1242985347,0.014561446486907678
912.848,0.0594201649,0.00696101167662904
920.584,0.038586952,0.0045204220467843954
928.3199999999999,0.0296595082,0.003474581116540704
936.0559999999999,0.0255283518,0.0029906203603432607
943.7919999999999,0.0186959561,0.002190212176907707
951.528,0.0196471104,0.002301638932449678
959.264,0.022681602,0.002657126526531275
967.0,0.0288956517,0.003385096107121469
974.736,0.0415055807,0.00486233642037518
982.472,0.0711674372,0.00833719263786432
990.208,0.1693413641,0.01983816798253937
997.944,0.8164459058,0.09564580463844813
1005.68,0.6645078805,0.07784642003530547
1013.4159999999999,0.1852341918,0.021699996528127156
1021.1519999999999,0.1530874096,0.017934033800880492
1028.888,0.3013349485,0.03530108168859878
1036.624,1.2781477933,0.1497337095679945
1044.36,1.958322656,0.22941550057904997
1052.096,0.3780374214,0.04428669810992283
