wavenumber_cm-1,intensity_normalized
400.0,0.003089619276290865
401.0,0.00359878025064765
402.0,0.0040487551651285465
403.0,0.0044055610400785886
404.0,0.0046449647447964785
405.0,0.004756430447852481
406.0,0.004744264103777064
407.0,0.004625664619573003
408.0,0.004426292741907581
409.0,0.004174673115408648
410.0,0.003896994190720365
411.0,0.0036135851766976547
412.0,0.003337662494021892
413.0,0.003076135531042452
414.0,0.0028316529802074543
415.0,0.0026048593537745398
416.0,0.0023960360321457997
417.0,0.002205770271390616
418.0,0.0020347911412428293
419.0,0.001883423797926212
420.0,0.0017511485149445747
421.0,0.0016365531139468262
422.0,0.0015376779559533604
423.0,0.001452528829158898
424.0,0.001379472680337598
425.0,0.0013173355536245258
426.0,0.0012652103962199003
427.0,0.0012221429250871792
428.0,0.0011869138514818283
429.0,0.0011580598700825031
430.0,0.0011341260912232818
431.0,0.0011140056466670842
432.0,0.001097171587288998
433.0,0.0010836653061636434
434.0,0.0010738387202959571
435.0,0.0010679808543561414
436.0,0.0010660218848161096
437.0,0.0010674667860807927
438.0,0.0010715889976398835
439.0,0.0010777766954643195
440.0,0.0010858430880503326
441.0,0.0010961307247976011
442.0,0.0011093490904927233
443.0,0.0011262281233269823
444.0,0.0011471724688575991
445.0,0.0011721073241946739
446.0,0.00120061109195304
447.0,0.0012322806981381685
448.0,0.0012671501344531698
449.0,0.0013059492251773228
450.0,0.0013500690942257285
451.0,0.0014012548462761724
452.0,0.001461193866469985
453.0,0.0015312279753193125
454.0,0.0016123507234435863
455.0,0.0017054862680801167
456.0,0.001811869907420613
457.0,0.001933263929446015
458.0,0.0020718075695116598
459.0,0.002229499110182188
460.0,0.0024075446096308902
461.0,0.002605948591359929
462.0,0.002823667960483969
463.0,0.0030593966752285053
464.0,0.0033127030522744952
465.0,0.003584982725528764
466.0,0.0038796801907028215
467.0,0.004201522690510161
468.0,0.004554995893273335
469.0,0.004942737740015111
470.0,0.005364679878247978
471.0,0.005818485373397608
472.0,0.006301189958693391
473.0,0.0068112368032677865
474.0,0.007349681854539118
475.0,0.007919525645343671
476.0,0.00852292231869771
477.0,0.00915713063623613
478.0,0.00981099003506888
479.0,0.01046392854811823
480.0,0.011088815594535024
481.0,0.011658565651287776
482.0,0.01215485909275195
483.0,0.012576377687011994
484.0,0.012944035904385816
485.0,0.013301819089065817
486.0,0.013713485804777527
487.0,0.014256739505948747
488.0,0.01501684016808689
489.0,0.016080844536566694
490.0,0.01753223242408577
491.0,0.019444545946327843
492.0,0.02187273827137671
