wavenumber_cm-1,intensity_normalized
400.0,0.7665717076337528
401.0,0.849803002786777
402.0,0.9161901474401684
403.0,0.9632471981907207
404.0,0.9906532601277576
405.0,1.0
406.0,0.9941966389559164
407.0,0.9767333704510307
408.0,0.9510188781680633
409.0,0.9199438004005939
410.0,0.885713515753717
411.0,0.8498915041050098
412.0,0.81354140579277
413.0,0.7773660253924803
414.0,0.7417966039721765
415.0,0.7070478614964032
416.0,0.6731881976684844
417.0,0.640265449122806
418.0,0.6084879485947211
419.0,0.5784156377717791
420.0,0.5510927905398163
421.0,0.5280632923405697
422.0,0.5112434631870725
423.0,0.502667362762194
424.0,0.5041486273691316
425.0,0.516915491668863
426.0,0.5412772039087079
427.0,0.5763792826710162
428.0,0.6201046445509575
429.0,0.6691705313888943
430.0,0.7194458761302667
431.0,0.766465038535775
432.0,0.806051474013155
433.0,0.8349132719989393
434.0,0.8510596918530979
435.0,0.8539294441560248
436.0,0.8442088982977495
437.0,0.8234193353013186
438.0,0.7934247564870096
439.0,0.7560243376488194
440.0,0.7127419000284703
441.0,0.6648335664604442
442.0,0.6134457266841808
443.0,0.5598063890829255
444.0,0.5053402959481994
445.0,0.45165094932093536
446.0,0.40038104594944207
447.0,0.3530144211109083
448.0,0.310698176845832
449.0,0.2741437259003495
450.0,0.2436262268302174
451.0,0.2190643061008549
452.0,0.20014092449424017
453.0,0.18642517481297038
454.0,0.17746742131246715
455.0,0.17285665973680103
456.0,0.17224191230627142
457.0,0.17532656949233308
458.0,0.18184727272024614
459.0,0.19154914147156687
460.0,0.20416713538138317
461.0,0.21941805029129097
462.0,0.23699905381197467
463.0,0.25657982446397076
464.0,0.27777199238531153
465.0,0.3000668296283067
466.0,0.32275030782167785
467.0,0.3448269588290907
468.0,0.3649985639996945
469.0,0.38173945849704743
470.0,0.3934836484973642
471.0,0.3988977043738336
472.0,0.39717420970705863
473.0,0.3882615378466718
474.0,0.37295731896463424
475.0,0.3528321799832526
476.0,0.33000184626898094
477.0,0.30680910408364487
478.0,0.28549668434919334
479.0,0.26794354011611005
480.0,0.2555079512711715
481.0,0.24898565311703613
482.0,0.24866272683114687
483.0,0.25442741638702704
484.0,0.2659010388368544
485.0,0.2825509410516803
486.0,0.3037548294760735
487.0,0.3287965886444464
488.0,0.35679183537218306
489.0,0.3865671859104791
490.0,0.4165442860977481
491.0,0.44469585915742527
492.0,0.4686338923057936
493.0,0.48585486821961793
494.0,0.4941119918177202
495.0,0.4918298279975639
496.0,0.47844636055945144
497.0,0.4545770252525586
498.0,0.4219441775680055
499.0,0.3830860043552681
500.0,0.34092395974405676
501.0,0.29830320524083925
502.0,0.2576155407194194
503.0,0.22057529122329392
504.0,0.18816442915781068
505.0,0.16071551211452323
506.0,0.1380747107097345
507.0,0.11978562731607059
508.0,0.10525085674410731
509.0,0.09385074868491106
510.0,0.0850176088177552
511.0,0.07827392761702347
512.0,0.0732458424878157
513.0,0.0696614696942072
514.0,0.06734138359017931
515.0,0.06618688752725942
516.0,0.06617054140627797
517.0,0.06733183401302442
518.0,0.06977860975313002
519.0,0.07369235856591819
520.0,0.07933341930937331
521.0,0.08704067727679245
522.0,0.09721903911148749
523.0,0.1103066384780653
524.0,0.12671333994385867
525.0,0.14672498946247362
526.0,0.17037643318311238
527.0,0.19731086983245266
528.0,0.22665988112215865
529.0,0.2569898997084909
530.0,0.2863583533960445
531.0,0.3125014257477087
532.0,0.33313826683848835
533.0,0.34633512981920134
534.0,0.35084363963244153
535.0,0.3463241935445608
536.0,0.33339286347866093
537.0,0.31347998641877084
538.0,0.2885429105083871
539.0,0.2607140000424888
540.0,0.2319746270063736
541.0,0.2039254523079834
542.0,0.17768373333089427
543.0,0.15389671186622295
544.0,0.1328314891280459
545.0,0.11449337428867402
546.0,0.09873420225547393
547.0,0.08533079228455959
548.0,0.07403163888982084
549.0,0.0645805980448814
550.0,0.05672852669169137
551.0,0.05024045169154058
552.0,0.04490114317531534
553.0,0.040518998644431786
554.0,0.03692765140799234
555.0,0.03398563683054916
556.0,0.03157525544169977
557.0,0.029601635415530056
558.0,0.02799213593746952
559.0,0.026695457022969788
560.0,0.02567977931843706
561.0,0.024929957218607947
562.0,0.024444661177302148
563.0,0.02423473323059481
564.0,0.024323584707653428
565.0,0.02474946831776692
566.0,0.025568444374268084
567.0,0.026856267125538718
568.0,0.02870729729724733
569.0,0.031228659923457608
570.0,0.03452803123542892
571.0,0.038693859344664044
572.0,0.04376806922126682
573.0,0.04971385169408494
574.0,0.05638474549460872
575.0,0.06350458363700477
576.0,0.07066895258113252
577.0,0.07737584295010018
578.0,0.08308587679214544
579.0,0.08730276198519869
580.0,0.08965607851825647
581.0,0.08996502030461702
582.0,0.08826550990458859
583.0,0.0847934024920553
584.0,0.07992962808495462
585.0,0.07412405883052828
586.0,0.06781952238299499
587.0,0.06139437208074073
588.0,0.05513327301826972
589.0,0.049225428638794096
590.0,0.04378155137223481
591.0,0.03885794197363752
592.0,0.03447801888205349
593.0,0.030646436088520575
594.0,0.027355791749457146
595.0,0.024588850046443306
596.0,0.022319639566458077
597.0,0.020515523363534974
598.0,0.019140662413213144
599.0,0.018160223707595218
600.0,0.017544504045184473
601.0,0.017272519598258113
602.0,0.01733502458850997
603.0,0.017737049398055392
604.0,0.018499898899817017
605.0,0.019662310023240055
606.0,0.02128025014604317
607.0,0.023424595342934992
608.0,0.02617557937925862
609.0,0.0296125858530986
610.0,0.03379802944225758
611.0,0.038755319903374226
612.0,0.044443444922876156
613.0,0.050733944604278325
614.0,0.057398505391501084
615.0,0.06411528291023745
616.0,0.0704982693829994
617.0,0.07614706173113407
618.0,0.08070660310654554
619.0,0.08392123489958353
620.0,0.0856675356441657
621.0,0.08595664916947537
622.0,0.0849070436689108
623.0,0.08269876867393765
624.0,0.07952597964666155
625.0,0.07556337677125768
626.0,0.07095495071221411
627.0,0.06582348303997286
628.0,0.06029107846436256
629.0,0.054497940924654834
630.0,0.04860936761798165
631.0,0.042807555034454395
632.0,0.03727186148335474
633.0,0.03215555276529778
634.0,0.02756738028944605
635.0,0.023563262351687157
636.0,0.020148870693992276
637.0,0.017290224752028956
638.0,0.014927752809603559
639.0,0.012989740441294383
640.0,0.01140277639789535
641.0,0.010098602318599902
642.0,0.009017911906068937
643.0,0.0081119678170011
644.0,0.007342714733567128
645.0,0.006681794692081459
646.0,0.00610877758182917
647.0,0.005609002509450171
648.0,0.0051715141116510065
649.0,0.004787513036191625
650.0,0.00444949979734045
651.0,0.00415099442705168
652.0,0.0038865231141066423
653.0,0.0036515687835237884
654.0,0.003442351021256893
655.0,0.003255504769954629
656.0,0.00308783553534978
657.0,0.0029362876632731973
658.0,0.0027981194274224854
659.0,0.0026711417949587674
660.0,0.0025538395378403066
661.0,0.0024452742565215326
662.0,0.0023448106014385393
663.0,0.002251816105784801
664.0,0.002165494815425185
665.0,0.0020849252244352066
666.0,0.002009245797338899
667.0,0.0019378476372103588
668.0,0.0018704423073914866
669.0,0.0018069618872781342
670.0,0.0017473575497280805
671.0,0.0016914234631802345
672.0,0.0016387504259642194
673.0,0.0015888274926527857
674.0,0.0015412172206977972
675.0,0.0014956887381456447
676.0,0.0014522251741541268
677.0,0.001410903802041359
678.0,0.0013717251381998132
679.0,0.001334493374301465
680.0,0.0012988118035622699
681.0,0.0012641811929425678
682.0,0.0012301258038702146
683.0,0.001196260347826563
684.0,0.0011622569333374598
685.0,0.0011277434049776235
686.0,0.0010922169876100344
687.0,0.0010550566004516725
688.0,0.0010156633400709872
689.0,0.0009736833052495633
690.0,0.0009292141355531046
691.0,0.0008828962626339819
692.0,0.0008358411426250633
