frequency_scaled_cm-1,raman_activity,stick_intensity_normalized
402.272,6.5719444937,1.0
410.008,4.528055632,0.6889978508401412
417.74399999999997,3.2296778446,0.491434133032626
425.47999999999996,1.7096514121,0.2601439214434794
433.216,5.5013426068,0.837095111206995
440.952,3.6770654443,0.5595095101343156
448.688,1.0110565753,0.15384435706497818
456.424,0.6900034948,0.10499228888214918
464.15999999999997,1.3318090327,0.20265068184563934
471.89599999999996,2.7192470099,0.41376597329857634
479.632,0.8556434755,0.13019639412965786
487.368,1.5063656193,0.22921155538425997
495.104,3.5236560961,0.5361664419834721
502.84,0.7143637852,0.10869899858174452
510.57599999999996,0.3378599864,0.05140944004074889
518.312,0.2975634569,0.04527784085596742
526.048,0.5498581752,0.08366750141105198
533.784,2.6160262046,0.3980596925472782
541.52,0.7315709372,0.11131727267345286
549.256,0.2372750097,0.03610423215342988
556.992,0.1367945252,0.02081492400478032
564.728,0.1104340758,0.016803866177790203
572.4639999999999,0.1576448542,0.023987551074285785
580.1999999999999,0.6467860814,0.09841624225828784
587.936,0.244224479,0.037161677070480216
595.672,0.089649209,0.013641199965389171
603.408,0.0758652876,0.01154381137465875
611.144,0.1366782569,0.020797232391573384
618.88,0.5565947475,0.08469255150185202
626.616,0.380535185,0.057902982194202764
634.352,0.0868630993,0.013217260033658034
642.088,0.0390347831,0.005939609370928123
649.824,0.0210818526,0.003207856155846948
657.56,0.0142241116,0.0021643687973377625
665.2959999999999,0.0104589913,0.0015914606871719932
673.0319999999999,0.0081263669,0.001236523970613279
680.768,0.0065581572,0.000997902098273469
688.504,0.0054404356,0.0008278273812591253
696.24,0.0030604878,0.000465689843079753
703.976,0.0025581794,0.00038925760898503065
711.712,0.0027175611,0.00041350944193230927
719.448,0.0024745842,0.00037653759893623365
727.184,0.0037134249,0.0005650420364261696
734.92,0.0037563384,0.0005715718389893436
742.656,0.0034679162,0.0005276849497624966
750.3919999999999,0.0037090731,0.0005643798579789578
758.1279999999999,0.0040382872,0.0006144737229401715
765.864,0.0044737685,0.0006807374140619486
773.6,0.0048496249,0.0007379284631282186
781.336,0.0052986131,0.0008062473907196506
789.072,0.0072016947,0.0010958240299965543
796.808,0.0086679175,0.0013189273750423855
804.544,0.0106543253,0.0016211830927990115
812.28,0.0136012976,0.0020696001941340925
820.016,0.0177527624,0.0027012952432903473
827.752,0.0243139665,0.003699660963860523
835.4879999999999,0.0357487882,0.005439605923980264
843.2239999999999,0.0590367812,0.008983152742174537
