frequency_raw_cm-1,activity_raw
4.0,3.1451021222
13.0,9.4071980323
22.0,51.0840162857
31.0,37.8869352214
40.0,22.7211555999
49.0,9.2840222748
58.0,5.4959796198
67.0,2.241215291
76.0,2.4462719198
85.0,8.231232581
94.0,3.5239666532
103.0,3.4648275569
112.0,1.563745072
121.0,2.1630596355
130.0,0.6526640341
139.0,0.4661067815
148.0,0.514421621
157.0,1.1318177438
166.0,2.3203266189
175.0,6.4843803516
184.0,1.1136449565
193.0,0.5284884114
202.0,0.9083822273
211.0,1.0411115872
220.0,0.3132364764
229.0,0.3441211738
238.0,0.6302424613
247.0,0.8249195207
256.0,1.045797074
265.0,1.5230659713
274.0,1.498140841
283.0,0.5105107104
292.0,0.6943259542
301.0,0.744473291
310.0,0.3094269573
319.0,0.4947029425
328.0,1.4323795647
337.0,0.7421532662
346.0,2.7632848316
355.0,1.6187603016
364.0,6.785058149
373.0,2.7754220959
382.0,1.6377432843
391.0,0.7562450332
400.0,1.8412107955
409.0,3.1800178057
418.0,0.6300425834
427.0,0.3383451445
436.0,0.3722489376
445.0,1.2038070335
454.0,1.2528025462
463.0,0.433962839
472.0,0.519190039
481.0,1.5338532425
490.0,5.5189008981
499.0,1.9650211682
508.0,1.6008716193
517.0,1.4512008101
526.0,0.4208581229
535.0,0.3336593778
544.0,0.6766909711
553.0,3.3036241138
562.0,0.6696853788
571.0,0.5048216191
580.0,2.2058165979
589.0,0.7892363261
598.0,0.2458949757
607.0,0.158480483
616.0,0.1554029593
625.0,0.2338041494
634.0,0.6653801053
643.0,3.4418718102
652.0,0.6370913913
661.0,0.4077902878
670.0,1.3553879853
679.0,1.0995643756
688.0,0.3047558437
697.0,0.2737049695
706.0,0.8492598645
715.0,1.0844726068
724.0,0.3170400034
733.0,0.3800101466
742.0,1.4985336539
751.0,1.6995123955
760.0,0.3676632806
769.0,0.2030836065
778.0,0.1776336195
787.0,0.2098815896
796.0,0.3266816318
805.0,0.75415999
814.0,4.045308176
823.0,2.9488375116
832.0,0.7403467947
841.0,0.5157925846
850.0,0.7425073344
859.0,2.5335284938
868.0,5.4903680886
877.0,1.9528610399
886.0,5.6140309365
895.0,7.0069953034
904.0,1.307581491
913.0,0.7687675873
922.0,1.8648694339
931.0,1.9468350453
940.0,0.480343292
949.0,0.2787306521
958.0,0.2479797359
967.0,0.2978212864
976.0,0.5545506392
985.0,2.5685088708
994.0,1.9330297594
1003.0,0.6776520467
1012.0,1.0588106756
1021.0,2.8513518477
1030.0,4.8073429476
1039.0,1.1029734095
1048.0,0.9379415703
1057.0,3.3000644029
1066.0,3.6771448103
1075.0,1.6371558157
1084.0,4.8817553812
1093.0,5.2131714938
1102.0,3.0387256575
1111.0,3.100992713
1120.0,6.6073370484
1129.0,1.2129322512
1138.0,0.5965643536
1147.0,0.5414828646
1156.0,0.9458796813
1165.0,4.8107842748
1174.0,2.7855329818
1183.0,3.1066083725
1192.0,1.2697790927
1201.0,0.6458187492
1210.0,1.6161293711
1219.0,1.4729061703
1228.0,2.6901105657
1237.0,0.6426510975
1246.0,0.3344413913
1255.0,0.349585935
1264.0,0.6994934406
1273.0,3.5807068579
1282.0,1.5842277474
1291.0,1.4244467176
1300.0,0.7442329213
1309.0,2.4786491549
1318.0,1.7780565912
1327.0,1.6838316946
1336.0,0.70407498
1345.0,1.0976137491
1354.0,3.5622245598
1363.0,5.3527139069
1372.0,1.9744457354
1381.0,5.5543045979
1390.0,12.0145363136
1399.0,8.1574487236
1408.0,5.9710673542
1417.0,2.6127715888
1426.0,3.5957352659
1435.0,0.9412097228
1444.0,0.7828684091
1453.0,2.5312489073
1462.0,0.7114214166
1471.0,1.0844873785
1480.0,2.5240127542
1489.0,0.4528827019
1498.0,0.1952485354
1507.0,0.1195748373
1516.0,0.0840855403
1525.0,0.0608763833
1534.0,0.0486543359
1543.0,0.0401578553
1552.0,0.0263184757
1561.0,0.0182689732
1570.0,0.0134223501
1579.0,0.0115603243
1588.0,0.0088475994
1597.0,0.0083796687
1606.0,0.0279197619
1615.0,0.0291163979
1624.0,0.0325838357
1633.0,0.0370024236
1642.0,0.0407594352
1651.0,0.0483371891
1660.0,0.0583236556
1669.0,0.0719207288
1678.0,0.0912534272
1687.0,0.1204806024
1696.0,0.169092787
1705.0,0.2649935218
1714.0,0.539116925
1723.0,2.4062683875
1732.0,1.5271020512
1741.0,1.4291297378
1750.0,4.0024823629
1759.0,27.0091557326
1768.0,6.1397660959
1777.0,1.5943851829
1786.0,0.7032038646
1795.0,0.3934768614
1804.0,0.2511689834
1813.0,0.1742380215
1822.0,0.1279855876
1831.0,0.0980152178
1840.0,0.0774846559
1849.0,0.0628037456
1858.0,0.0519411665
1867.0,0.0436771971
1876.0,0.0372433589
1885.0,0.0321358509
1894.0,0.0262278902
1903.0,0.0230286319
1912.0,0.0203808185
1921.0,0.0
1930.0,0.0
1939.0,0.0
1948.0,0.0
1957.0,0.0
1966.0,0.0
1975.0,0.0
1984.0,0.0
1993.0,0.0
2002.0,0.0
2011.0,0.0
2020.0,0.0
2029.0,0.0
2038.0,0.0
2047.0,0.0
2056.0,0.0
2065.0,0.0
2074.0,0.0
2083.0,0.0
2092.0,0.0
2101.0,0.0
2110.0,0.0
2119.0,0.0
2128.0,0.0
2137.0,0.0
2146.0,0.0
2155.0,0.0
2164.0,0.0
2173.0,0.0
2182.0,0.0
2191.0,0.0
2200.0,0.0
2209.0,0.0
2218.0,0.0
2227.0,0.0
2236.0,0.0
2245.0,0.0
2254.0,0.0
2263.0,0.0
2272.0,0.0
2281.0,0.0
2290.0,0.0
2299.0,0.0
2308.0,0.0
2317.0,0.0
2326.0,0.0
2335.0,0.0
2344.0,0.0
2353.0,0.0
2362.0,0.0
2371.0,0.0
2380.0,0.0
2389.0,0.0
2398.0,0.0
2407.0,0.0
2416.0,0.0
2425.0,0.0
2434.0,0.0
2443.0,0.0
2452.0,0.0
2461.0,0.0
2470.0,0.0
2479.0,0.0
2488.0,0.0
2497.0,0.0
2506.0,0.0
2515.0,0.0
2524.0,0.0
2533.0,0.0
2542.0,0.0
2551.0,0.0
2560.0,0.0
2569.0,0.0
2578.0,0.0
2587.0,0.0
2596.0,0.0
2605.0,0.0
2614.0,0.0
2623.0,0.0
2632.0,0.0
2641.0,0.0
2650.0,0.0
2659.0,0.0
2668.0,0.0
2677.0,0.0
2686.0,0.0
2695.0,0.0
2704.0,0.0
2713.0,0.0
2722.0,0.0
2731.0,0.0
2740.0,0.0
2749.0,0.0
2758.0,0.0
2767.0,0.0
2776.0,0.0
2785.0,0.0
2794.0,0.0
2803.0,0.0
2812.0,0.0
2821.0,0.0
2830.0,0.0
2839.0,0.0
2848.0,0.0
2857.0,0.0
2866.0,0.0166807467
2875.0,0.0187572075
2884.0,0.0507630013
2893.0,0.085007
2902.0,0.0966663455
2911.0,0.1374220865
2920.0,0.1665947741
2929.0,0.2129557479
2938.0,0.2611816867
2947.0,0.3110022542
2956.0,0.377346469
2965.0,0.4688698377
2974.0,0.6011240725
2983.0,0.8048710968
2992.0,1.1499259277
3001.0,1.8324086177
