,0,1,2,3
0,integration times(sec),10.0,Raman Shift,Dark Subtracted #1
1,average number,10.0,-46.169047190162,19.1999999999998
2,laser_powerlevel,70.0,-44.161473544249,23.9000000000001
3,,,-42.1546698518468,21.3
4,,,-40.1486357454087,24.2
5,,,-38.1433708576169,25.4000000000001
6,,,-36.1388748214067,6.70000000000005
7,,,-34.1351472699553,28.3
8,,,-32.1321878366853,1.69999999999982
9,,,-30.1299961552522,11.2
10,,,-28.1285718595627,15.4000000000001
11,,,-26.127914583758,22.7
12,,,-24.1280239622283,17.3999999999999
13,,,-22.1288996296043,29.6000000000001
14,,,-20.1305412207475,39.5999999999999
15,,,-18.1329483707741,64.4000000000001
16,,,-16.136120715033,94.4000000000001
17,,,-14.1400578891189,282.2
18,,,-12.1447595288591,929.7
19,,,-10.1502252703322,1581
20,,,-8.1564547498474,2182.6
21,,,-6.16344760395987,4218.3
22,,,-4.17120346946103,7459.6
23,,,-2.1797219833843,8656.5
24,,,-0.189002782999523,5105.1
25,,,1.80095449418513,1942.9
26,,,3.7901502104105,820.6
27,,,5.77858472769731,759.8
28,,,7.76625840781526,675.9
29,,,9.75317161230305,34.1999999999998
30,,,11.7393247024465,31.8
31,,,13.7247180393133,38
32,,,15.7093519837217,41.9000000000001
33,,,17.6932268962537,28.3
34,,,19.6763431372528,9.60000000000014
35,,,21.6587010668318,11.6999999999998
36,,,23.6403010448576,21.7
37,,,25.6211434309644,33.3
38,,,27.60122858455,21.3
39,,,29.5805568647775,51.4000000000001
40,,,31.5591286305698,135
41,,,33.5369442406154,182.6
42,,,35.5140040533643,269.4
43,,,37.4903084270354,424.2
44,,,39.4658577196114,627.1
45,,,41.4406522888366,777.6
46,,,43.4146924922206,870.7
47,,,45.3879786870384,938.7
48,,,47.3605112303303,1015.2
49,,,49.3322904789075,1080
