raman_shift_cm1,intensity_norm
400.0,0.6912408124093676
400.5,0.752040616497786
401.0,0.8131949232299747
401.5,0.8716237976175671
402.0,0.9234681232903496
402.5,0.9645105961464912
403.0,0.9908975723614718
403.5,1.0
404.0,0.9911019691962257
404.5,0.9656095065466453
405.0,0.9266785946396314
405.5,0.8784409667635091
406.0,0.8251583844242902
406.5,0.7705826775015746
407.0,0.7176300563519401
407.5,0.6683289746314892
408.0,0.6239353519248019
408.5,0.5851136935152554
409.0,0.552117043130341
409.5,0.5249329536110355
410.0,0.5033853568463428
410.5,0.4871934530014402
411.0,0.4759925755226606
411.5,0.46932259915432895
412.0,0.46659015520645575
412.5,0.4670142450226537
413.0,0.46957238879803304
413.5,0.4729754845894826
414.0,0.47570849894915995
414.5,0.4761692123120773
415.0,0.47290597930624256
415.5,0.46489993051839146
416.0,0.4517878504200178
416.5,0.4339246318907043
417.0,0.4122537068234839
417.5,0.38804630982851734
418.0,0.36261953978876005
418.5,0.33712425033115534
419.0,0.312437567394375
419.5,0.28914583103385816
420.0,0.2675826749143667
420.5,0.2478889333449718
421.0,0.23007265295118448
421.5,0.21405892674383953
422.0,0.19972688466791877
422.5,0.18693501976860935
423.0,0.1755373785010926
423.5,0.16539320418811143
424.0,0.1563721753300403
424.5,0.1483568301828745
425.0,0.141243284334834
425.5,0.13494097591074922
426.0,0.12937190834183362
426.5,0.12446968140163359
427.0,0.12017848409310339
427.5,0.11645214863035608
428.0,0.11325331878582355
428.5,0.11055275813354938
429.0,0.10832880727905919
429.5,0.10656698929277926
430.0,0.10525975590788805
430.5,0.10440636099410178
431.0,0.10401283997304152
431.5,0.10409206151967802
432.0,0.10466379765327381
432.5,0.10575472542724375
433.0,0.10739822134954201
433.5,0.10963372978860768
434.0,0.11250536875172432
434.5,0.11605927137980139
435.0,0.12033894835742348
435.5,0.12537771890268026
436.0,0.13118707614265426
436.5,0.1377399141562844
437.0,0.14494820392768343
437.5,0.1526364985939727
438.0,0.16051610704659122
438.5,0.16816982157473298
439.0,0.17506191240588878
439.5,0.18058824673241763
440.0,0.18417110165669023
440.5,0.18538119551627225
441.0,0.1840458381020963
441.5,0.18029646181975348
442.0,0.1745326824145812
442.5,0.16732031020844249
443.0,0.15926841814206577
443.5,0.15092896186695162
444.0,0.14274015201793896
444.5,0.13501155873593734
445.0,0.12793681711149144
445.5,0.12161877555380725
446.0,0.11609641917858488
446.5,0.111368084356415
447.0,0.10740920028005607
447.5,0.1041847995766097
448.0,0.10165782725685468
448.5,0.09979439835819577
449.0,0.0985669919621567
449.5,0.09795633066079296
450.0,0.09795247115274819
450.5,0.0985554515784029
451.0,0.09977570368604029
451.5,0.10163433112727562
452.0,0.1041632639404535
452.5,0.10740520750852489
453.0,0.1114131950401732
453.5,0.11624940770268444
454.0,0.12198272714951436
454.5,0.12868421634109592
455.0,0.13641938746010546
455.5,0.14523575557780313
456.0,0.15514393543620045
456.5,0.16609073696388857
457.0,0.17792393996466357
457.5,0.19035152237783612
458.0,0.20290382009241956
458.5,0.2149149890806557
459.0,0.22554686471467478
459.5,0.23387647176045212
460.0,0.23904964031942677
460.5,0.24046770784807325
461.0,0.23794081110611806
461.5,0.23173977098434345
462.0,0.22252140603446088
462.5,0.2111631427117178
463.0,0.198578138028439
463.5,0.1855726924804018
464.0,0.17277163451955918
464.5,0.1606041973894358
465.0,0.14932770446787103
465.5,0.13906684769954605
466.0,0.12985373324504437
466.5,0.12166149109835073
467.0,0.11442943482643304
467.5,0.1080804317344182
468.0,0.10253211742843593
468.5,0.09770366879540279
469.0,0.0935195686044415
469.5,0.08991143352304215
470.0,0.0868186542659706
470.5,0.08418834662126827
471.0,0.08197493335220365
