integration times(sec),5,Raman Shift,Dark Subtracted #1
laser_wavelength,784.92,-46.169047190162,21.5
laser_powerlevel,5,-44.161473544249,31
,,-42.1546698518468,34.5
,,-40.1486357454087,32.5
,,-38.1433708576169,-16.5
,,-36.1388748214067,-5
,,-34.1351472699553,1.5
,,-32.1321878366853,18
,,-30.1299961552522,17.5
,,-28.1285718595627,2.5
,,-26.127914583758,15
,,-24.1280239622283,1.5
,,-22.1288996296043,-0.5
,,-20.1305412207475,-6
,,-18.1329483707741,-2.5
,,-16.136120715033,6
,,-14.1400578891189,39.5
,,-12.1447595288591,112
,,-10.1502252703322,172.5
,,-8.1564547498474,214.5
,,-6.16344760395987,323.5
,,-4.17120346946103,550.5
,,-2.1797219833843,798.5
,,-0.189002782999523,559
,,1.80095449418513,262.5
,,3.7901502104105,81.5
,,5.77858472769731,63
,,7.76625840781526,68.5
,,9.75317161230305,-16.5
,,11.7393247024465,-1.5
,,13.7247180393133,-14.5
,,15.7093519837217,13
,,17.6932268962537,46
,,19.6763431372528,14
,,21.6587010668318,10.5
,,23.6403010448576,7.5
,,25.6211434309644,26
,,27.60122858455,20.5
,,29.5805568647775,-6.5
,,31.5591286305698,23.5
,,33.5369442406154,25
,,35.5140040533643,38
,,37.4903084270354,45.5
,,39.4658577196114,94
,,41.4406522888366,97
,,43.4146924922206,112
,,45.3879786870384,130
,,47.3605112303303,111.5
,,49.3322904789075,114.5
,,51.3033167893354,81.5
,,53.2735905179561,74.5
,,55.2431120208676,81
,,57.2118816539387,101.5
,,59.179899772811,112.5
,,61.1471667328824,124.5
,,63.1136828893214,98
,,65.0794485970673,138
,,67.0444642108196,138.5
,,69.0087300850446,135
,,70.9722465739851,110.5
,,72.9350140316456,97
,,74.8970328117921,134.5
,,76.8583032679744,139.5
,,78.8188257534912,129.5
,,80.7786006214246,125
,,82.7376282246223,141.5
,,84.6959089156935,150
,,86.6534430470238,152
,,88.6102309707621,161
,,90.566273038834,150
,,92.5215696029263,134.5
