integration times(sec),25,Raman Shift,Dark Subtracted #1
laser_wavelength,784.92,-46.169047190162,19
laser_powerlevel,60,-44.161473544249,21
,,-42.1546698518468,15
,,-40.1486357454087,-4
,,-38.1433708576169,33.5
,,-36.1388748214067,78.5
,,-34.1351472699553,25.5
,,-32.1321878366853,54.5
,,-30.1299961552522,53
,,-28.1285718595627,50.5
,,-26.127914583758,13.5
,,-24.1280239622283,84
,,-22.1288996296043,69.5
,,-20.1305412207475,87.5
,,-18.1329483707741,143.5
,,-16.136120715033,230.5
,,-14.1400578891189,608.5
,,-12.1447595288591,2851
,,-10.1502252703322,4609
,,-8.1564547498474,6680
,,-6.16344760395987,9649
,,-4.17120346946103,16240
,,-2.1797219833843,25830.5
,,-0.189002782999523,19371.5
,,1.80095449418513,9462.5
,,3.7901502104105,2730.5
,,5.77858472769731,2267
,,7.76625840781526,1464.5
,,9.75317161230305,148
,,11.7393247024465,134
,,13.7247180393133,123.5
,,15.7093519837217,59.5
,,17.6932268962537,75
,,19.6763431372528,65
,,21.6587010668318,41.5
,,23.6403010448576,71
,,25.6211434309644,59.5
,,27.60122858455,78
,,29.5805568647775,132
,,31.5591286305698,256.5
,,33.5369442406154,361
,,35.5140040533643,511.5
,,37.4903084270354,797.5
,,39.4658577196114,1158
,,41.4406522888366,1404.5
,,43.4146924922206,1523.5
,,45.3879786870384,1511
,,47.3605112303303,1565
,,49.3322904789075,1596.5
,,51.3033167893354,1662
,,53.2735905179561,1693.5
,,55.2431120208676,1818
,,57.2118816539387,1963.5
,,59.179899772811,2152.5
,,61.1471667328824,2336.5
,,63.1136828893214,2571.5
,,65.0794485970673,2788
,,67.0444642108196,2859
,,69.0087300850446,2885
,,70.9722465739851,2765.5
,,72.9350140316456,2601.5
,,74.8970328117921,2586.5
,,76.8583032679744,2612.5
,,78.8188257534912,2730
,,80.7786006214246,2858
,,82.7376282246223,3013
,,84.6959089156935,3061
,,86.6534430470238,3084.5
,,88.6102309707621,3167.5
,,90.566273038834,3193.5
,,92.5215696029263,3176
,,94.4761210145007,3158
,,96.4299276247893,2995.5
,,98.3829897847845,2879
,,100.335307845264,2807
,,102.286882156764,2760
,,104.237713069599,2735
,,106.187800933843,2728
,,108.137146099358,2655
,,110.085748915759,2547
,,112.033609732445,2442
,,113.980728898583,2398.5
,,115.927106763107,2294.5
,,117.87274367473,2164.5
,,119.817639981929,2018.5
,,121.761796032959,1883.5
,,123.705212175848,1815
,,125.647888758393,1703.5
,,127.589826128164,1642
,,129.531024632504,1589
,,131.471484618531,1520.5
,,133.411206433135,1510
,,135.35019042298,1462
,,137.288436934499,1495.5
,,139.225946313907,1484
,,141.162718907186,1502
,,143.098755060095,1444.5
,,145.034055118169,1431.5
,,146.968619426712,1428
,,148.902448330808,1392.5
,,150.835542175313,1377.5
,,152.767901304856,1369.5
,,154.699526063849,1313
,,156.63041679647,1318
,,158.560573846682,1282.5
,,160.489997558212,1250
,,162.418688274569,1260
,,164.346646339047,1264.5
,,166.273872094696,1236.5
,,168.200365884364,1194.5
,,170.126128050659,1220.5
,,172.051158935974,1281.5
