filepath,filename,sec,power,replicate,snr,fwhm,max_intensity,score,n_peaks
.\Int_10sec_Power5-80_Ta_2\sec-10_power-60_i-2_2.xlsx,sec-10_power-60_i-2_2.xlsx,10,60,2,41.95502534179871,29.46094892617547,1.0,21.18769564228808,83
.\All_Excel_Files\sec-10_power-60_i-2_2.xlsx,sec-10_power-60_i-2_2.xlsx,10,60,2,41.95502534179871,29.46094892617547,1.0,21.18769564228808,83
.\All_Excel_Files\sec-15_power-50_i-2.xlsx,sec-15_power-50_i-2.xlsx,15,50,1,40.09378167588036,10.03945479253327,1.0,20.27677293873146,62
.\Int_15sec_Power5-80_Ta_2\sec-15_power-50_i-2.xlsx,sec-15_power-50_i-2.xlsx,15,50,1,40.09378167588036,10.03945479253327,1.0,20.27677293873146,62
.\Int_25sec_Power5-80_Ta_2\sec-25_power-50_i-2.xlsx,sec-25_power-50_i-2.xlsx,25,50,1,35.31815141618596,43.05195056111828,1.0,17.866044033478705,41
.\All_Excel_Files\sec-25_power-50_i-2.xlsx,sec-25_power-50_i-2.xlsx,25,50,1,35.31815141618596,43.05195056111828,1.0,17.866044033478705,41
.\All_Excel_Files\sec-25_power-40_i-2.xlsx,sec-25_power-40_i-2.xlsx,25,40,1,33.12884830079863,32.7402712923287,1.0,16.77358717770967,44
.\Int_25sec_Power5-80_Ta_2\sec-25_power-40_i-2.xlsx,sec-25_power-40_i-2.xlsx,25,40,1,33.12884830079863,32.7402712923287,1.0,16.77358717770967,44
.\Int_10sec_Power5-80_Ta_2\sec-10_power-65_i-2.xlsx,sec-10_power-65_i-2.xlsx,10,65,1,32.982334617089585,41.61687084912237,1.0,16.69837592355786,86
.\All_Excel_Files\sec-10_power-65_i-2.xlsx,sec-10_power-65_i-2.xlsx,10,65,1,32.982334617089585,41.61687084912237,1.0,16.69837592355786,86
.\All_Excel_Files\sec-20_power-80_i-2.xlsx,sec-20_power-80_i-2.xlsx,20,80,1,32.76292698548119,25.435634055171203,1.0,16.593257969707405,60
.\Int_20sec_Power5-80_Ta_2\sec-20_power-80_i-2.xlsx,sec-20_power-80_i-2.xlsx,20,80,1,32.76292698548119,25.435634055171203,1.0,16.593257969707405,60
