raman_shift_cm-1,intensity_norm
400.0,0.6974538703514989
401.0,0.8205043007546801
402.0,0.9317680544659812
403.0,0.9998006439522211
404.0,1.0
405.0,0.9349860863825397
406.0,0.8325378682585541
407.0,0.7240244018989209
408.0,0.6294661038113041
409.0,0.5569776207174688
410.0,0.5077791912403148
411.0,0.4801066023724971
412.0,0.47058139535759846
413.0,0.4735500739833814
414.0,0.47970535537316344
415.0,0.4768555490199892
416.0,0.45554660792432283
417.0,0.4156760985797621
418.0,0.36562623072451655
419.0,0.31502575052365717
420.0,0.2697965769550786
421.0,0.23197246993935922
422.0,0.20137106135802027
423.0,0.17697594240334036
424.0,0.15764574043751975
425.0,0.14238420609485533
426.0,0.13040594974759934
427.0,0.1211263820182769
428.0,0.11413208891384713
429.0,0.10915279353386732
430.0,0.10604148076210122
431.0,0.10476371870082482
432.0,0.10539477003704799
433.0,0.10812033317120795
434.0,0.11323029043777716
435.0,0.1210793155906081
436.0,0.13195631546462833
437.0,0.14575911440912365
438.0,0.1613771056576802
439.0,0.1759705748882766
440.0,0.18510826546533535
441.0,0.18497806439154516
442.0,0.17542608720948982
443.0,0.16010292572501097
444.0,0.14351263745194454
445.0,0.1286554760585967
446.0,0.1167742516966378
447.0,0.10806016884433157
448.0,0.10229544055968619
449.0,0.0992042295750221
450.0,0.09860230927626684
451.0,0.10045190194447912
452.0,0.10488129263558466
453.0,0.11219124805068871
454.0,0.12284269297711092
455.0,0.1373873720950107
456.0,0.15624928256012713
457.0,0.17919455741130222
458.0,0.20435467654092196
459.0,0.22716103283247616
460.0,0.2407622784764659
461.0,0.23964855539539723
462.0,0.22412309890489682
463.0,0.20001352519227986
464.0,0.17402751538037117
465.0,0.15042074078736611
466.0,0.1308119687729849
467.0,0.11528151491682326
468.0,0.10330303910664386
469.0,0.09422983915647641
470.0,0.08748478192204909
471.0,0.08261026960843663
472.0,0.07926499234243091
473.0,0.07720567200436826
474.0,0.0762682298002225
475.0,0.07635288452763626
476.0,0.07741403733859555
477.0,0.07945471169565287
478.0,0.08252520743407639
479.0,0.0867258729566308
480.0,0.09221427847527808
481.0,0.0992175177002668
482.0,0.10805084265609821
483.0,0.11914425773935158
484.0,0.13307876785192477
485.0,0.1506328337768189
486.0,0.1728349779034258
487.0,0.20100486652393548
488.0,0.23673016291459537
489.0,0.28164678224741985
490.0,0.3367418981615738
491.0,0.4007428282084745
492.0,0.46742542032920387
493.0,0.5234475851443282
494.0,0.5514240060061811
495.0,0.5408576957208392
496.0,0.49722783970841394
497.0,0.43713767915599333
498.0,0.37627156351979346
499.0,0.32340627447706194
500.0,0.2814076715115953
501.0,0.250094374340255
502.0,0.22827411449417576
503.0,0.214734544974185
504.0,0.2086229795946101
505.0,0.20955731681999734
506.0,0.21763362015515458
507.0,0.23337134879292312
508.0,0.2575374729417005
509.0,0.29066890984269744
510.0,0.331975535392322
511.0,0.37739564188711416
512.0,0.4176340917680609
513.0,0.43938073310226444
514.0,0.4326970818327661
515.0,0.3991753585691982
516.0,0.350417517202878
517.0,0.2989627604747612
518.0,0.2524385922152223
519.0,0.21357119949180028
520.0,0.18232450489361662
521.0,0.15760870871879742
522.0,0.13814745571187517
523.0,0.12280740780298192
524.0,0.11067871067779403
525.0,0.10106217183765337
526.0,0.09343071162568725
527.0,0.08739012560325042
528.0,0.08264657128113645
529.0,0.07898170176469241
530.0,0.0762343644509652
531.0,0.07428743051461309
532.0,0.0730584993576693
533.0,0.07249351884015463
534.0,0.07256264230116397
535.0,0.07325787586549522
536.0,0.07459225856322266
537.0,0.07660047814381299
538.0,0.07934097422665724
539.0,0.08289973509712495
540.0,0.08739617310224024
541.0,0.09299168484544326
542.0,0.09990178273687421
543.0,0.10841302773466431
544.0,0.11890635875780513
545.0,0.1318886317238959
546.0,0.14803373007126328
547.0,0.16823207689399725
548.0,0.19363920011042438
549.0,0.22569181833892393
550.0,0.2660064639618151
551.0,0.31596498705242965
552.0,0.3756260280744045
553.0,0.44158767882597116
554.0,0.5043349365041834
