raman_shift,raw_intensity,baseline,baseline_corrected,smoothed,normalized
200.0,1.001784369451852,0.0,1.001784369451852,1.1626518206780332,0.2842705834177506
202.56,1.0411115872,0.0,1.0411115872,0.6578556551257919,0.23362619718209546
211.2,0.3132364764,0.0,0.3132364764,0.45256161942014517,0.21302978392531297
219.84,0.3441211738,0.0,0.3441211738,0.4709637250549673,0.21487600108962068
228.48,0.6302424613,0.0,0.6302424613,0.6372559835241332,0.2315595061172361
237.12,0.8249195207,0.0,0.8249195207,0.8756324063215253,0.2554749564503777
245.76,1.045797074,0.0,1.045797074,0.9779859625587438,0.2657437211288885
254.39999999999998,1.5230659713,0.0,1.5230659713,1.1353165946470893,0.28152813836879587
263.03999999999996,1.498140841,0.0,1.498140841,1.0991517607296066,0.2778998504734993
271.68,0.5105107104,0.0,0.5105107104,0.8935080180212145,0.2572683523691586
280.32,0.6943259542,0.0,0.6943259542,0.8079408991869484,0.24868371066417663
288.96,0.744473291,0.0,0.744473291,0.5411096314727286,0.22191348794054563
297.59999999999997,0.3094269573,0.0,0.3094269573,0.6031160461939408,0.22813436882381033
306.24,0.4947029425,0.0,0.4947029425,0.38699462056060696,0.20645168242384354
314.88,1.4323795647,0.0,1.4323795647,1.1571048256400962,0.2837140733284926
323.52,0.7421532662,0.0,0.7421532662,1.9212082153780938,0.3603738220243445
332.15999999999997,2.7632848316,0.0,2.7632848316,2.607544210129844,0.42923144729496066
340.8,1.6187603016,0.0,1.6187603016,2.931851177702106,0.4617680005524041
349.44,6.785058149,0.0,6.785058149,2.889870228737304,0.45755620272389474
358.08,2.7754220959,0.0,2.7754220959,2.9884694753878867,0.4674483110057671
366.71999999999997,1.6377432843,0.0,1.6377432843,2.8914218857543204,0.45771187489939363
375.36,0.7562450332,0.0,0.7562450332,2.3344113506240154,0.4018290085000278
384.0,1.8412107955,0.0,1.8412107955,1.750116928745459,0.3432088477375467
392.64,3.1800178057,0.0,3.1800178057,0.9347863069864824,0.2614096548436277
401.28,0.6300425834,0.0,0.6300425834,1.1679821563547814,0.2848053568514663
409.91999999999996,0.3383451445,0.0,0.3383451445,1.13283910903287,0.2812795811353974
418.56,0.3722489376,0.0,0.3722489376,0.9100290682818204,0.25892585000387514
