raman_shift,raw_intensity,baseline,baseline_corrected,smoothed,normalized
200.0,0.11663740727407407,0.0,0.11663740727407407,0.09646135938370892,0.11992756882193303
202.56,0.0976526644,0.0,0.0976526644,0.09166200578360528,0.11959792193462879
211.2,0.0723389278,0.0,0.0723389278,0.09592042200321158,0.11989041416766799
219.84,0.0617413821,0.0,0.0617413821,0.10630631805042731,0.1206037765470843
228.48,0.0665932037,0.0,0.0665932037,0.11988940393315198,0.1215367400989113
237.12,0.1451762535,0.0,0.1451762535,0.1337393896592855,0.12248803584918266
245.76,0.3892445786,0.0,0.3892445786,0.1506507691951053,0.1236496055288752
254.39999999999998,0.0807952565,0.0,0.0807952565,0.15683164133659716,0.1240741429628797
263.03999999999996,0.0484812108,0.0,0.0484812108,0.14505938742354352,0.12326555764445069
271.68,0.0708353416,0.0,0.0708353416,0.11560945545967397,0.12124276890827552
280.32,0.1751506018,0.0,0.1751506018,0.06700740227202814,0.11790450361572515
288.96,0.0411281845,0.0,0.0411281845,0.0337555011104896,0.11562057402266226
297.59999999999997,0.0150589502,0.0,0.0150589502,0.05531570710000015,0.11710145152956798
306.24,0.0131711985,0.0,0.0131711985,0.04907334742913765,0.11667269078251885
314.88,0.0200779361,0.0,0.0200779361,0.035411405175058364,0.11573431092684616
323.52,0.0895421337,0.0,0.0895421337,0.0223167344445222,0.11483489450407998
332.15999999999997,0.0413940618,0.0,0.0413940618,0.030162021315384695,0.11537375340310603
340.8,0.0166272956,0.0,0.0166272956,0.012781341270862497,0.11417994949672497
349.44,0.0182590658,0.0,0.0182590658,-0.03317404789836841,0.1110234721339891
358.08,0.0236243628,0.0,0.0236243628,0.07525743673752933,0.11847116288034913
366.71999999999997,0.037734964,0.0,0.037734964,0.1748892977484853,0.12531444545446105
375.36,0.0811551342,0.0,0.0811551342,0.26172637374825247,0.1312789094617197
384.0,0.3240713131,0.0,0.3240713131,0.31361142040699386,0.1348426694081258
392.64,0.9675451493,0.0,0.9675451493,0.32784145346037386,0.13582006896922127
401.28,0.1705297342,0.0,0.1705297342,0.30599286142983767,0.13431938346968006
409.91999999999996,0.0761267189,0.0,0.0761267189,0.24862283796130602,0.1303788841364856
418.56,0.0382200923,0.0,0.0382200923,0.15656284663892817,0.12405568061507342
427.2,0.0295253577,0.0,0.0295253577,0.038444615522377705,0.11594264905586237
435.84,0.0285976162,0.0,0.0285976162,-0.055680612758275266,0.1094775933202632
444.47999999999996,0.0330336249,0.0,0.0330336249,0.027893630297435943,0.11521794741326616
453.12,0.0454334423,0.0,0.0454334423,-0.013578321442890527,0.11236941801936295
461.76,0.0911142403,0.0,0.0911142403,-0.039189116150349874,0.11061032305363264
470.4,0.1845420837,0.0,0.1845420837,0.364863038109558,0.13836292185307852
479.03999999999996,0.366162287,0.0,0.366162287,0.7237820462144542,0.16301551961406666
487.68,0.3655397989,0.0,0.3655397989,0.9739636597974384,0.18019941499877073
496.32,1.4807574928,0.0,1.4807574928,1.1001545378983713,0.18886692184203882
504.96,2.8150674699,0.0,2.8150674699,1.0985012737363666,0.18875336626136965
513.6,0.4945351698,0.0,0.4945351698,0.9749622401659699,0.18026800317493724
522.24,0.1759060707,0.0,0.1759060707,0.7454966511275077,0.16450700211672598
530.88,0.0941214421,0.0,0.0941214421,0.4435983930731946,0.1437709136051338
539.52,0.0630969781,0.0,0.0630969781,0.06107903641118888,0.1174973097484543
548.16,0.0491508343,0.0,0.0491508343,-0.15949571934848533,0.10234698166000088
556.8,0.0449326185,0.0,0.0449326185,-0.008821253214219164,0.11269616050698494
