raman_shift_cm-1,mean_intensity,std_dev
400.0,0.08400061155805667,0.03976054807737153
401.0,0.07418680261917786,0.03816947325777227
402.0,0.06972292325131589,0.03841894957370512
403.0,0.06919420162780847,0.03723528029067345
404.0,0.07118586592199326,0.034566103131962796
405.0,0.07428314430720823,0.03147734137492358
406.0,0.07658409653509488,0.0288677178640674
407.0,0.07311191663960669,0.026928929880023475
408.0,0.06798500156173175,0.026000414268570887
409.0,0.06397134029155511,0.026461967669385012
410.0,0.0629979423013623,0.0273329248297218
411.0,0.06472672373069746,0.027150909239286723
412.0,0.06370664025351275,0.02737585188429442
413.0,0.06075089032116019,0.027767446022892946
414.0,0.062168210144611484,0.02745453946141353
415.0,0.06628168424249806,0.027458261237493627
416.0,0.06330296990887384,0.029368150971450784
417.0,0.05705536960712636,0.03115614727147784
418.0,0.05731663050640223,0.03161083848553809
419.0,0.0608364259596243,0.03162421090656886
420.0,0.06540152848963042,0.031238748878459736
421.0,0.07412125919791525,0.03001366095461364
422.0,0.08264660463466507,0.028645345654400974
423.0,0.08796393921404146,0.026785047299356133
424.0,0.09133583217802962,0.02398698923084778
425.0,0.08770062258229873,0.022918598505784694
426.0,0.07740020737902543,0.02309832290462409
427.0,0.06824475054236395,0.02399009625401094
428.0,0.06104646245801089,0.02400649607980817
429.0,0.051487035942554604,0.02151373989372623
430.0,0.04367552893814323,0.019264300118715934
431.0,0.04388714210995743,0.019041138387582635
432.0,0.045130642945171114,0.02071327168998686
433.0,0.04190252430446585,0.022579991933029724
434.0,0.03820342917962746,0.02379775065903333
435.0,0.03341194999629024,0.024427417997103087
436.0,0.0258724173038994,0.022326929218975
437.0,0.01855004992113413,0.020412714279267587
438.0,0.012382238467039224,0.020146068456129974
439.0,0.011699265359369783,0.018450605029944285
440.0,0.019771064551532345,0.0164749955488376
441.0,0.029269200507872066,0.01682548062084561
442.0,0.03494695340913257,0.020159550649826947
443.0,0.03757092484557938,0.023856954322724614
444.0,0.04132836347529845,0.024286075017905837
445.0,0.04691296703829742,0.023621460882267683
446.0,0.053975920036485395,0.02418486720002352
447.0,0.06691999634847638,0.0240914291458357
448.0,0.08759157711037728,0.024635446079449015
449.0,0.11817312364156382,0.02724230590713296
450.0,0.15922712961598634,0.03031907308531946
451.0,0.2056767726016137,0.03299313648424203
452.0,0.264723442587151,0.035453010290309075
