raman_shift (cm-1),normalized_intensity
200.839100642937,0.0
202.752477416265,0.007448173249408984
204.665128695269,0.011202535788704815
206.577054818363,0.009332169537792855
208.488256123717,0.0038725871964100296
210.398732949297,0.0
212.308485632848,0.0
214.217514511893,0.0
216.125819923733,0.0
218.033402205458,0.0
219.940261693931,0.030889004546772514
221.8463987258,0.10226193020171677
223.751813637493,0.20794785018410877
225.656506765223,0.3396011584968754
227.560478444981,0.4874871368626942
229.463729012537,0.5990018447189843
231.366258803453,0.6607265158261701
233.268068153067,0.6449745632029144
235.169157396496,0.5920791894904067
237.069526868645,0.49785162982015363
238.9691769042,0.3879786664071404
240.868107837636,0.2932555761587592
242.766320003197,0.2199724686800028
244.66381373492,0.1788384926620974
246.560589366629,0.16986744631787137
248.456647231922,0.17602209648684178
250.351987664188,0.18665636576877173
252.246610996595,0.202579939185503
254.140517562102,0.23087029370101253
256.033707693441,0.23194019954972606
257.926181723144,0.22648255275739868
259.817939983512,0.21438258204320176
261.708982806638,0.18964128842648695
263.599310524403,0.1541751071062505
265.488923468469,0.11757087554914171
267.377821970284,0.10189020089639085
269.26600636108,0.08411173127030916
271.153476971878,0.10584741609393011
273.040234133483,0.15100275350119793
274.926278176486,0.2294737748934386
276.811609431265,0.3411861318950112
278.69622822798,0.4463327050001181
280.580134896583,0.5167378694097169
282.463329766813,0.5650115067884407
284.345813168189,0.5895058256394653
286.227585430024,0.5961403157651931
288.108646881416,0.5557657626325743
289.988997851247,0.5066815641861975
291.868638668191,0.4564867890514474
293.747569660709,0.4204373572787955
295.625791157048,0.37898412108678325
297.503303485239,0.32978437423294554
299.380106973114,0.28369681136527125
301.256201948281,0.2534508049494306
303.131588738137,0.256013949015165
305.006267669878,0.27767212732001095
306.880239070475,0.29967362901990185
308.753503266698,0.34891070701499555
310.626060585104,0.42342574258376486
312.49791135204,0.508436489311677
314.369055893634,0.5756398300046395
316.239494535816,0.6108110895268668
318.109227604295,0.6058480150470041
319.978255424579,0.5540120357532816
321.846578321964,0.504848073795215
323.714196621529,0.44350933903286294
325.581110648151,0.3966510562812896
327.447320726491,0.3879795439095676
329.312827181013,0.39782999427805316
331.177630335957,0.42506892010925074
333.041730515366,0.4344387987636061
334.905128043067,0.39272345501491845
336.767823242679,0.3315900857459239
338.629816437613,0.2670151983936093
340.491107951078,0.20834919945674613
342.351698106067,0.1549383062095329
344.211587225367,0.11829087010449425
346.070775631559,0.09952069945179348
347.929263647009,0.08393940766610687
349.787051593894,0.13281925790789217
351.644139794162,0.09028134206994207
353.500528569564,0.05311774827065049
355.356218241648,0.07625178352743889
357.211209131747,0.1471411785311071
359.065501560986,0.267148090340466
360.919095850299,0.4158925067357475
362.771992320395,0.5558723998155516
364.624191291785,0.6704862882792867
366.475693084774,0.7237782985201101
368.326498019464,0.7436332418751095
370.176606415744,0.6109726819690953
372.026018593304,0.49694190466352867
373.874734871624,0.39617857199110085
375.722755569981,0.30553574511932013
377.570081007447,0.2705995602667304
379.416711502885,0.2555540101362176
381.262647374964,0.2295479640012419
383.107888942135,0.20295687857182787
384.952436522655,0.16383608986595766
386.79629043457,0.12153017702914172
388.639450995721,0.06886838519865035
390.481918523754,0.027328691827206725
392.323693336104,0.0
394.164775750001,0.0
396.005166082479,0.0
397.844864650357,0.0
399.683871770265,0.0
401.522187758617,0.0
403.359812931632,0.0
405.196747605327,0.0
407.032992095506,0.0
408.868546717782,0.0
410.703411787561,0.0
412.537587620049,0.0
414.371074530249,0.0
416.203872832957,0.0
418.035982842777,0.002144352920227686
419.867404874105,0.015443658617520834
421.698139241136,0.024788667938804194
423.528186257867,0.02273924776762201
425.357546238092,0.02628772564350246
427.186219495403,0.027029035183573122
429.014206343187,0.01279640707613508
430.841507094647,0.01601763768848975
432.668122062767,0.0
434.494051560343,0.0
436.319295899961,0.0
438.14385539401,0.0
439.967730354691,0.0
441.790921093985,0.0
443.613427923692,0.0
445.435251155401,0.0
447.256391100504,0.024184301324832316
449.076848070199,0.09994810303825263
450.89662237548,0.21019123159296352
452.715714327145,0.3475778565811958
454.534124235792,0.4897303950527942
456.351852411821,0.5827682567061067
458.16889916543,0.6245941725694727
459.985264806626,0.5811042548899055
461.800949645216,0.4842997611537933
463.615953990806,0.3557518753498858
465.430278152804,0.22073935678283366
467.243922440422,0.11443524870447765
469.056887162678,0.05160205287491106
470.869172628391,0.04297693610902807
472.680779146182,0.0380587422388078
474.491707024468,0.049614189295264344
476.301956571482,0.05707179585238805
478.111528095253,0.08287459458724585
479.920421903618,0.14408668522126594
481.72863830421,0.22429032269022878
483.536177604474,0.3034344790373666
485.343040111651,0.38158289213902763
487.149226132797,0.4234754504032117
488.954735974761,0.43862232126261747
490.759569944203,0.3977810191641064
492.563728347586,0.33690506032397005
494.367211491179,0.2542143156099122
496.170019681054,0.19354388554115767
497.972153223085,0.14631007540086818
499.77361242296,0.09596301873037148
501.574397586164,0.0709749455783665
503.374509017991,0.049018223423344644
505.173947023542,0.03023909058449303
506.972711907716,0.005621184330527978
508.770803975232,0.0
510.568223530603,0.0
512.364970878152,0.009542543578201666
514.161046322009,0.0599239445550372
515.956450166112,0.11950153261723581
517.751182714195,0.1705291814294738
519.545244269821,0.22798889723059665
521.338635136335,0.2504625130904964
