integration times(sec),10,Raman Shift,Dark Subtracted #1
laser_wavelength,784.92,-46.169047190162,31
laser_powerlevel,40,-44.161473544249,33.5
,,-42.1546698518468,3.5
,,-40.1486357454087,20.5
,,-38.1433708576169,16.5
,,-36.1388748214067,43
,,-34.1351472699553,15
,,-32.1321878366853,-1
,,-30.1299961552522,6.5
,,-28.1285718595627,21
,,-26.127914583758,-3
,,-24.1280239622283,18.5
,,-22.1288996296043,22.5
,,-20.1305412207475,28
,,-18.1329483707741,5
,,-16.136120715033,18.5
,,-14.1400578891189,144
,,-12.1447595288591,674.5
,,-10.1502252703322,1132.5
,,-8.1564547498474,1567.5
,,-6.16344760395987,2277.5
,,-4.17120346946103,3842
,,-2.1797219833843,6110.5
,,-0.189002782999523,4504.5
,,1.80095449418513,2210.5
,,3.7901502104105,647
,,5.77858472769731,539
,,7.76625840781526,362
,,9.75317161230305,50.5
,,11.7393247024465,49
,,13.7247180393133,19.5
,,15.7093519837217,33
,,17.6932268962537,8.5
,,19.6763431372528,18.5
,,21.6587010668318,26
,,23.6403010448576,28
,,25.6211434309644,41
,,27.60122858455,5
,,29.5805568647775,31
,,31.5591286305698,71
,,33.5369442406154,102.5
,,35.5140040533643,144.5
,,37.4903084270354,239
,,39.4658577196114,349.5
,,41.4406522888366,401.5
,,43.4146924922206,441
,,45.3879786870384,448
,,47.3605112303303,483
,,49.3322904789075,501.5
,,51.3033167893354,463
,,53.2735905179561,496.5
,,55.2431120208676,525.5
,,57.2118816539387,611
,,59.179899772811,638
,,61.1471667328824,709
,,63.1136828893214,765.5
,,65.0794485970673,832
,,67.0444642108196,891
,,69.0087300850446,876.5
,,70.9722465739851,852
,,72.9350140316456,820
,,74.8970328117921,835.5
,,76.8583032679744,805
,,78.8188257534912,822
,,80.7786006214246,878.5
,,82.7376282246223,915.5
,,84.6959089156935,912
,,86.6534430470238,956
,,88.6102309707621,968.5
,,90.566273038834,960.5
,,92.5215696029263,949
,,94.4761210145007,892
,,96.4299276247893,897.5
,,98.3829897847845,876.5
,,100.335307845264,857
,,102.286882156764,823.5
,,104.237713069599,819.5
,,106.187800933843,828
,,108.137146099358,793.5
,,110.085748915759,781.5
,,112.033609732445,793.5
,,113.980728898583,753
,,115.927106763107,721.5
,,117.87274367473,653
,,119.817639981929,638
,,121.761796032959,617
,,123.705212175848,589
,,125.647888758393,552
,,127.589826128164,530
,,129.531024632504,514
,,131.471484618531,536
,,133.411206433135,484.5
,,135.35019042298,497
,,137.288436934499,520
,,139.225946313907,493
,,141.162718907186,506
,,143.098755060095,470.5
,,145.034055118169,503.5
,,146.968619426712,461.5
,,148.902448330808,480
,,150.835542175313,455.5
,,152.767901304856,484.5
,,154.699526063849,458
,,156.63041679647,446
,,158.560573846682,449.5
,,160.489997558212,422.5
,,162.418688274569,431
,,164.346646339047,457
,,166.273872094696,438.5
,,168.200365884364,434
,,170.126128050659,413.5
,,172.051158935974,418.5
,,173.975458882476,415.5
,,175.899028232114,423.5
,,177.821867326607,438.5
,,179.743976507454,401
,,181.665356115935,430.5
,,183.5860064931,415
,,185.505927979792,451.5
,,187.425120916616,446.5
,,189.343585643961,460.5
,,191.261322501998,441
,,193.178331830672,418.5
,,195.094613969706,416
,,197.01016925861,445.5
,,198.924998036668,435
,,200.839100642937,432.5
,,202.752477416265,421.5
,,204.665128695269,448.5
,,206.577054818363,449.5
,,208.488256123717,403
,,210.398732949297,406.5
,,212.308485632848,431
,,214.217514511893,428.5
,,216.125819923733,415.5
,,218.033402205458,427
,,219.940261693931,420
,,221.8463987258,460
,,223.751813637493,465
,,225.656506765223,476
,,227.560478444981,506
,,229.463729012537,525.5
,,231.366258803453,535.5
,,233.268068153067,529.5
,,235.169157396496,527.5
,,237.069526868645,494.5
,,238.9691769042,451
,,240.868107837636,433
,,242.766320003197,429.5
,,244.66381373492,437.5
,,246.560589366629,438.5
,,248.456647231922,475
,,250.351987664188,459.5
,,252.246610996595,447.5
,,254.140517562102,472
,,256.033707693441,448.5
,,257.926181723144,429.5
,,259.817939983512,432.5
,,261.708982806638,460
,,263.599310524403,445.5
,,265.488923468469,451
,,267.377821970284,417.5
,,269.26600636108,423.5
,,271.153476971878,414
,,273.040234133483,404
,,274.926278176486,444
,,276.811609431265,447
,,278.69622822798,502.5
,,280.580134896583,504.5
,,282.463329766813,464.5
,,284.345813168189,520
,,286.227585430024,476
,,288.108646881416,461
,,289.988997851247,471
,,291.868638668191,461.5
,,293.747569660709,460
,,295.625791157048,462.5
,,297.503303485239,468.5
,,299.380106973114,457
,,301.256201948281,453.5
,,303.131588738137,444.5
,,305.006267669878,419.5
,,306.880239070475,445
,,308.753503266698,436.5
,,310.626060585104,439.5
,,312.49791135204,469
,,314.369055893634,468.5
,,316.239494535816,502
,,318.109227604295,474
,,319.978255424579,484.5
,,321.846578321964,427
,,323.714196621529,438.5
,,325.581110648151,455
,,327.447320726491,426
,,329.312827181013,448
,,331.177630335957,436
,,333.041730515366,505.5
,,334.905128043067,456.5
,,336.767823242679,423.5
,,338.629816437613,431.5
,,340.491107951078,367
,,342.351698106067,376.5
,,344.211587225367,374.5
,,346.070775631559,384
,,347.929263647009,366
,,349.787051593894,380.5
,,351.644139794162,374
,,353.500528569564,386.5
,,355.356218241648,400.5
,,357.211209131747,407.5
,,359.065501560986,440.5
,,360.919095850299,425.5
,,362.771992320395,450.5
,,364.624191291785,506
,,366.475693084774,489.5
,,368.326498019464,466.5
,,370.176606415744,431
,,372.026018593304,416.5
,,373.874734871624,420
,,375.722755569981,414.5
,,377.570081007447,392.5
,,379.416711502885,421.5
,,381.262647374964,415.5
,,383.107888942135,382.5
,,384.952436522655,393
,,386.79629043457,395.5
,,388.639450995721,350
,,390.481918523754,357
,,392.323693336104,325
,,394.164775750001,368
,,396.005166082479,376.5
,,397.844864650357,339.5
,,399.683871770265,327.5
,,401.522187758617,327.5
,,403.359812931632,350
,,405.196747605327,357.5
,,407.032992095506,341.5
,,408.868546717782,356
,,410.703411787561,370.5
,,412.537587620049,358.5
,,414.371074530249,375
,,416.203872832957,339
,,418.035982842777,367
,,419.867404874105,367
,,421.698139241136,368.5
,,423.528186257867,351.5
,,425.357546238092,361
,,427.186219495403,356.5
,,429.014206343187,354.5
,,430.841507094647,365.5
,,432.668122062767,349.5
,,434.494051560343,346.5
,,436.319295899961,349.5
,,438.14385539401,366
,,439.967730354691,348
,,441.790921093985,383
,,443.613427923692,329.5
,,445.435251155401,322
,,447.256391100504,333.5
,,449.076848070199,361
,,450.89662237548,383
,,452.715714327145,372
,,454.534124235792,408.5
,,456.351852411821,435
,,458.16889916543,455.5
,,459.985264806626,417
,,461.800949645216,389.5
,,463.615953990806,374.5
,,465.430278152804,342.5
,,467.243922440422,370
,,469.056887162678,350
,,470.869172628391,359.5
,,472.680779146182,323
,,474.491707024468,352.5
,,476.301956571482,348
,,478.111528095253,330
,,479.920421903618,346.5
,,481.72863830421,383.5
,,483.536177604474,369
,,485.343040111651,393
,,487.149226132797,405.5
,,488.954735974761,427
,,490.759569944203,428.5
,,492.563728347586,371
,,494.367211491179,353.5
,,496.170019681054,338
,,497.972153223085,325
,,499.77361242296,324
,,501.574397586164,388
,,503.374509017991,328.5
,,505.173947023542,352
,,506.972711907716,320
,,508.770803975232,333.5
,,510.568223530603,329.5
,,512.364970878152,315.5
,,514.161046322009,340.5
,,515.956450166112,337
,,517.751182714195,349
,,519.545244269821,345.5
,,521.338635136335,354.5
,,523.131355616908,355.5
,,524.923406014505,362.5
,,526.714786631906,330.5
,,528.505497771697,338
,,530.295539736278,329.5
,,532.084912827839,347.5
,,533.873617348396,339.5
,,535.661653599765,373
,,537.449021883567,404
,,539.235722501244,439
,,541.021755754035,487
,,542.807121942988,477
,,544.591821368967,433.5
,,546.37585433264,373
,,548.159221134483,393
,,549.941922074791,330
,,551.723957453652,349.5
,,553.505327570978,327.5
,,555.286032726481,360.5
,,557.066073219688,339
,,558.845449349939,313
,,560.624161416377,336
,,562.40220971796,328
,,564.179594553454,348
,,565.956316221434,318.5
,,567.732375020294,310
,,569.507771248231,348.5
,,571.282505203249,338
,,573.056577183179,350.5
,,574.829987485648,336.5
,,576.6027364081,338
,,578.374824247796,346
,,580.146251301796,335.5
,,581.917017866981,370
,,583.687124240043,364.5
,,585.45657071749,359.5
,,587.225357595635,353
,,588.9934851706,358
,,590.760953738332,328.5
,,592.527763594586,328.5
,,594.293915034921,336
,,596.059408354722,337.5
,,597.824243849183,310.5
,,599.588421813303,301.5
,,601.351942541907,348
,,603.114806329624,357.5
,,604.877013470903,326
,,606.638564260005,337.5
,,608.399458991002,341
,,610.159697957783,340.5
,,611.919281454051,334.5
,,613.678209773321,364
,,615.436483208929,352.5
,,617.194102054018,332.5
,,618.951066601549,354
,,620.707377144301,287
,,622.463033974862,319
,,624.218037385641,337.5
