integration times(sec),20,Raman Shift,Dark Subtracted #1
laser_wavelength,784.92,-46.169047190162,27
laser_powerlevel,80,-44.161473544249,32
,,-42.1546698518468,41
,,-40.1486357454087,35
,,-38.1433708576169,22
,,-36.1388748214067,50.5
,,-34.1351472699553,57
,,-32.1321878366853,46.5
,,-30.1299961552522,65
,,-28.1285718595627,44.5
,,-26.127914583758,56
,,-24.1280239622283,111
,,-22.1288996296043,68
,,-20.1305412207475,120.5
,,-18.1329483707741,163
,,-16.136120715033,233.5
,,-14.1400578891189,575
,,-12.1447595288591,2840
,,-10.1502252703322,4594
,,-8.1564547498474,6674
,,-6.16344760395987,9553
,,-4.17120346946103,15853.5
,,-2.1797219833843,25718
,,-0.189002782999523,19609
,,1.80095449418513,9836.5
,,3.7901502104105,2883.5
,,5.77858472769731,2372
,,7.76625840781526,1516
,,9.75317161230305,148.5
,,11.7393247024465,121.5
,,13.7247180393133,139.5
,,15.7093519837217,72
,,17.6932268962537,92
,,19.6763431372528,75
,,21.6587010668318,76.5
,,23.6403010448576,77.5
,,25.6211434309644,55.5
,,27.60122858455,45.5
,,29.5805568647775,121
,,31.5591286305698,256.5
,,33.5369442406154,311.5
,,35.5140040533643,477
,,37.4903084270354,746.5
,,39.4658577196114,1066.5
,,41.4406522888366,1325.5
,,43.4146924922206,1483
,,45.3879786870384,1505.5
,,47.3605112303303,1633
,,49.3322904789075,1636.5
,,51.3033167893354,1713
,,53.2735905179561,1729.5
,,55.2431120208676,1902.5
,,57.2118816539387,2049
,,59.179899772811,2284
,,61.1471667328824,2563.5
,,63.1136828893214,2769
,,65.0794485970673,2976
,,67.0444642108196,3072.5
,,69.0087300850446,3143
,,70.9722465739851,3029.5
,,72.9350140316456,2886.5
,,74.8970328117921,2833.5
,,76.8583032679744,2856
,,78.8188257534912,2927
,,80.7786006214246,3085
,,82.7376282246223,3230
,,84.6959089156935,3261.5
,,86.6534430470238,3332.5
,,88.6102309707621,3386
,,90.566273038834,3451
,,92.5215696029263,3412.5
,,94.4761210145007,3262
,,96.4299276247893,3198
,,98.3829897847845,3105.5
,,100.335307845264,3039.5
,,102.286882156764,2941
,,104.237713069599,2940
,,106.187800933843,2961
,,108.137146099358,2836
,,110.085748915759,2752
,,112.033609732445,2669
,,113.980728898583,2575.5
,,115.927106763107,2446
,,117.87274367473,2347.5
,,119.817639981929,2194
,,121.761796032959,2064.5
,,123.705212175848,1960
,,125.647888758393,1888
,,127.589826128164,1793.5
,,129.531024632504,1750.5
,,131.471484618531,1677
,,133.411206433135,1634.5
,,135.35019042298,1618
,,137.288436934499,1629
,,139.225946313907,1616
,,141.162718907186,1657.5
,,143.098755060095,1580
,,145.034055118169,1600.5
,,146.968619426712,1559
,,148.902448330808,1536.5
,,150.835542175313,1497.5
,,152.767901304856,1486.5
,,154.699526063849,1426
,,156.63041679647,1425.5
,,158.560573846682,1440.5
,,160.489997558212,1360.5
,,162.418688274569,1429
,,164.346646339047,1368
,,166.273872094696,1344
,,168.200365884364,1330.5
,,170.126128050659,1359.5
,,172.051158935974,1362
,,173.975458882476,1361
,,175.899028232114,1356
,,177.821867326607,1339
,,179.743976507454,1386
,,181.665356115935,1389
,,183.5860064931,1366.5
,,185.505927979792,1358.5
,,187.425120916616,1317.5
,,189.343585643961,1316
,,191.261322501998,1346.5
,,193.178331830672,1337.5
,,195.094613969706,1313.5
,,197.01016925861,1308
,,198.924998036668,1315.5
,,200.839100642937,1330
,,202.752477416265,1332.5
,,204.665128695269,1335.5
,,206.577054818363,1328.5
,,208.488256123717,1330
,,210.398732949297,1329.5
,,212.308485632848,1271.5
,,214.217514511893,1322
,,216.125819923733,1335.5
,,218.033402205458,1313
,,219.940261693931,1317.5
,,221.8463987258,1352.5
,,223.751813637493,1434.5
,,225.656506765223,1510.5
,,227.560478444981,1612
,,229.463729012537,1698.5
,,231.366258803453,1763
,,233.268068153067,1729.5
,,235.169157396496,1678
,,237.069526868645,1587
,,238.9691769042,1468
,,240.868107837636,1422.5
,,242.766320003197,1393
,,244.66381373492,1345
,,246.560589366629,1369.5
,,248.456647231922,1375
,,250.351987664188,1361
,,252.246610996595,1371
,,254.140517562102,1389.5
,,256.033707693441,1406
,,257.926181723144,1426
,,259.817939983512,1387.5
,,261.708982806638,1377
,,263.599310524403,1364
,,265.488923468469,1311
,,267.377821970284,1316
