integration times(sec),20,Raman Shift,Dark Subtracted #1
laser_wavelength,784.92,-46.169047190162,-9
laser_powerlevel,10,-44.161473544249,-9
,,-42.1546698518468,-12.5
,,-40.1486357454087,-15
,,-38.1433708576169,-12.5
,,-36.1388748214067,-14.5
,,-34.1351472699553,1
,,-32.1321878366853,-13.5
,,-30.1299961552522,-4.5
,,-28.1285718595627,-13
,,-26.127914583758,24.5
,,-24.1280239622283,28
,,-22.1288996296043,8
,,-20.1305412207475,26.5
,,-18.1329483707741,34.5
,,-16.136120715033,56
,,-14.1400578891189,86.5
,,-12.1447595288591,546
,,-10.1502252703322,861
,,-8.1564547498474,1189.5
,,-6.16344760395987,1658
,,-4.17120346946103,2847.5
,,-2.1797219833843,4411
,,-0.189002782999523,3264
,,1.80095449418513,1469.5
,,3.7901502104105,475
,,5.77858472769731,368.5
,,7.76625840781526,282.5
,,9.75317161230305,31
,,11.7393247024465,39.5
,,13.7247180393133,42
,,15.7093519837217,-21.5
,,17.6932268962537,26
,,19.6763431372528,12.5
,,21.6587010668318,26.5
,,23.6403010448576,9.5
,,25.6211434309644,4
,,27.60122858455,29
,,29.5805568647775,17
,,31.5591286305698,111.5
,,33.5369442406154,130
,,35.5140040533643,156
,,37.4903084270354,267.5
,,39.4658577196114,394.5
,,41.4406522888366,482.5
,,43.4146924922206,517.5
,,45.3879786870384,485
,,47.3605112303303,500
,,49.3322904789075,441
,,51.3033167893354,420
,,53.2735905179561,384.5
,,55.2431120208676,421
,,57.2118816539387,422
,,59.179899772811,434.5
,,61.1471667328824,478
,,63.1136828893214,506
,,65.0794485970673,557.5
,,67.0444642108196,558.5
,,69.0087300850446,579.5
,,70.9722465739851,549
,,72.9350140316456,573.5
,,74.8970328117921,535
,,76.8583032679744,521.5
,,78.8188257534912,544
,,80.7786006214246,569
,,82.7376282246223,597.5
,,84.6959089156935,600
,,86.6534430470238,637.5
,,88.6102309707621,620
,,90.566273038834,635
,,92.5215696029263,614
,,94.4761210145007,585.5
,,96.4299276247893,588
,,98.3829897847845,543.5
,,100.335307845264,546.5
,,102.286882156764,515.5
,,104.237713069599,539
,,106.187800933843,537.5
,,108.137146099358,531
,,110.085748915759,502
,,112.033609732445,511
,,113.980728898583,452.5
,,115.927106763107,454.5
,,117.87274367473,426.5
,,119.817639981929,403.5
,,121.761796032959,385.5
,,123.705212175848,373.5
,,125.647888758393,351.5
,,127.589826128164,338
,,129.531024632504,355
,,131.471484618531,340.5
,,133.411206433135,320.5
,,135.35019042298,325.5
,,137.288436934499,318.5
,,139.225946313907,311.5
,,141.162718907186,334
,,143.098755060095,298.5
,,145.034055118169,295
,,146.968619426712,272.5
,,148.902448330808,257.5
,,150.835542175313,288
,,152.767901304856,292
,,154.699526063849,259.5
,,156.63041679647,282.5
,,158.560573846682,282
,,160.489997558212,256
,,162.418688274569,281
,,164.346646339047,262
,,166.273872094696,258.5
,,168.200365884364,278.5
,,170.126128050659,268
,,172.051158935974,288
,,173.975458882476,263.5
,,175.899028232114,275.5
,,177.821867326607,255
,,179.743976507454,275.5
,,181.665356115935,266.5
,,183.5860064931,271.5
,,185.505927979792,289.5
,,187.425120916616,263
,,189.343585643961,204
,,191.261322501998,244.5
,,193.178331830672,229
,,195.094613969706,257.5
,,197.01016925861,262
,,198.924998036668,251.5
,,200.839100642937,254
,,202.752477416265,247.5
,,204.665128695269,252
,,206.577054818363,256.5
,,208.488256123717,263.5
,,210.398732949297,264.5
,,212.308485632848,225
,,214.217514511893,274
,,216.125819923733,274.5
,,218.033402205458,260
,,219.940261693931,237
,,221.8463987258,239
,,223.751813637493,278
,,225.656506765223,295
,,227.560478444981,344
,,229.463729012537,318
,,231.366258803453,330
,,233.268068153067,302.5
,,235.169157396496,314.5
,,237.069526868645,261
,,238.9691769042,277.5
,,240.868107837636,279.5
,,242.766320003197,258
,,244.66381373492,255.5
,,246.560589366629,278
,,248.456647231922,261.5
,,250.351987664188,243
,,252.246610996595,215
,,254.140517562102,277
,,256.033707693441,271
,,257.926181723144,246.5
,,259.817939983512,269.5
,,261.708982806638,250
,,263.599310524403,277.5
,,265.488923468469,226.5
,,267.377821970284,244.5
,,269.26600636108,235
,,271.153476971878,258
,,273.040234133483,283.5
,,274.926278176486,281
,,276.811609431265,261
,,278.69622822798,343.5
,,280.580134896583,322.5
,,282.463329766813,312
,,284.345813168189,288.5
,,286.227585430024,264.5
,,288.108646881416,317
,,289.988997851247,271.5
,,291.868638668191,260
,,293.747569660709,251
,,295.625791157048,277
,,297.503303485239,266.5
,,299.380106973114,244.5
,,301.256201948281,222
,,303.131588738137,231
,,305.006267669878,250
,,306.880239070475,262.5
,,308.753503266698,252
,,310.626060585104,251.5
,,312.49791135204,226
,,314.369055893634,272
,,316.239494535816,317.5
,,318.109227604295,275.5
,,319.978255424579,269.5
,,321.846578321964,283.5
,,323.714196621529,256.5
,,325.581110648151,229.5
,,327.447320726491,216
,,329.312827181013,278
,,331.177630335957,268.5
,,333.041730515366,289
,,334.905128043067,252.5
,,336.767823242679,277.5
,,338.629816437613,229.5
,,340.491107951078,240
,,342.351698106067,239.5
,,344.211587225367,199.5
,,346.070775631559,235.5
,,347.929263647009,235
,,349.787051593894,204.5
,,351.644139794162,211.5
,,353.500528569564,208.5
,,355.356218241648,206
,,357.211209131747,246
,,359.065501560986,238.5
,,360.919095850299,263
,,362.771992320395,252
,,364.624191291785,278
,,366.475693084774,288
,,368.326498019464,289.5
,,370.176606415744,259.5
,,372.026018593304,221.5
,,373.874734871624,239.5
,,375.722755569981,214.5
,,377.570081007447,228
,,379.416711502885,242.5
,,381.262647374964,176
,,383.107888942135,222
,,384.952436522655,226.5
,,386.79629043457,222
,,388.639450995721,192.5
,,390.481918523754,204
,,392.323693336104,222
,,394.164775750001,221
,,396.005166082479,223
,,397.844864650357,185
,,399.683871770265,213
,,401.522187758617,184
,,403.359812931632,189
,,405.196747605327,188
,,407.032992095506,189
,,408.868546717782,228.5
,,410.703411787561,261.5
,,412.537587620049,207.5
,,414.371074530249,186
,,416.203872832957,168.5
,,418.035982842777,215
,,419.867404874105,209
,,421.698139241136,187.5
,,423.528186257867,200.5
,,425.357546238092,193.5
,,427.186219495403,207.5
,,429.014206343187,187
,,430.841507094647,205.5
,,432.668122062767,204
,,434.494051560343,201.5
,,436.319295899961,186
,,438.14385539401,163
,,439.967730354691,201
,,441.790921093985,188.5
,,443.613427923692,202
,,445.435251155401,188.5
,,447.256391100504,198
,,449.076848070199,201.5
,,450.89662237548,226
,,452.715714327145,212
,,454.534124235792,258.5
,,456.351852411821,264
,,458.16889916543,293
,,459.985264806626,258
,,461.800949645216,251.5
,,463.615953990806,225
,,465.430278152804,212
,,467.243922440422,207
,,469.056887162678,192.5
,,470.869172628391,176
,,472.680779146182,192
,,474.491707024468,197.5
,,476.301956571482,199
,,478.111528095253,215
,,479.920421903618,165
,,481.72863830421,213.5
,,483.536177604474,201
,,485.343040111651,228.5
,,487.149226132797,250.5
,,488.954735974761,225.5
,,490.759569944203,214.5
,,492.563728347586,237.5
,,494.367211491179,210.5
,,496.170019681054,225.5
,,497.972153223085,191
,,499.77361242296,192.5
,,501.574397586164,185.5
,,503.374509017991,221.5
,,505.173947023542,219.5
,,506.972711907716,177.5
,,508.770803975232,188
,,510.568223530603,174
,,512.364970878152,248
,,514.161046322009,192
,,515.956450166112,217
,,517.751182714195,208.5
,,519.545244269821,198
,,521.338635136335,196
,,523.131355616908,186
,,524.923406014505,207.5
,,526.714786631906,218
,,528.505497771697,168
,,530.295539736278,161
,,532.084912827839,182
,,533.873617348396,213
,,535.661653599765,239.5
,,537.449021883567,242
,,539.235722501244,272
,,541.021755754035,270
,,542.807121942988,262.5
,,544.591821368967,226.5
,,546.37585433264,186.5
,,548.159221134483,213.5
,,549.941922074791,178.5
,,551.723957453652,170.5
,,553.505327570978,213
,,555.286032726481,200.5
,,557.066073219688,204
,,558.845449349939,186
,,560.624161416377,195
,,562.40220971796,181
,,564.179594553454,218
,,565.956316221434,190.5
,,567.732375020294,187
,,569.507771248231,181.5
,,571.282505203249,204.5
,,573.056577183179,210
,,574.829987485648,187.5
,,576.6027364081,198
,,578.374824247796,211.5
,,580.146251301796,186.5
,,581.917017866981,201.5
,,583.687124240043,209.5
,,585.45657071749,222
,,587.225357595635,230
,,588.9934851706,223.5
,,590.760953738332,219
,,592.527763594586,186.5
,,594.293915034921,181.5
,,596.059408354722,185.5
,,597.824243849183,202.5
,,599.588421813303,167
,,601.351942541907,183
,,603.114806329624,204.5
,,604.877013470903,203
,,606.638564260005,170
,,608.399458991002,186.5
,,610.159697957783,196.5
,,611.919281454051,200
,,613.678209773321,211
,,615.436483208929,191.5
,,617.194102054018,197
,,618.951066601549,191
,,620.707377144301,187
,,622.463033974862,176.5
,,624.218037385641,164
,,625.972387668859,175.5
,,627.726085116552,188.5
,,629.479130020578,176.5
,,631.231522672599,182.5
,,632.983263364104,185.5
,,634.734352386393,186
,,636.484790030583,149
,,638.234576587611,194
,,639.983712348219,201.5
,,641.73219760298,191.5
,,643.480032642277,196.5
,,645.227217756308,176.5
,,646.973753235096,180
,,648.719639368464,200
,,650.464876446078,181
,,652.209464757396,186.5
,,653.95340459171,204
,,655.696696238127,180.5
,,657.439339985565,162
,,659.181336122767,153.5
,,660.92268493829,176
,,662.663386720513,195
,,664.403441757631,203.5
,,666.142850337659,189
,,667.881612748426,178
,,669.619729277587,174.5
,,671.357200212613,184
,,673.09402584079,186
,,674.830206449229,179
,,676.565742324861,168
,,678.300633754428,187.5
,,680.0348810245,176.5
,,681.768484421467,199
,,683.501444231533,133.5
,,685.233760740726,173
,,686.965434234891,147
,,688.696464999701,147
,,690.426853320636,140
,,692.156599483014,194
,,693.885703771959,190.5
,,695.614166472422,148.5
,,697.341987869173,185
,,699.069168246802,172.5
,,700.795707889734,177.5
,,702.521607082192,183.5
,,704.246866108238,160
,,705.97148525175,202.5
,,707.695464796425,206
,,709.418805025789,203
,,711.141506223184,194.5
,,712.863568671777,146
,,714.584992654554,211.5
,,716.305778454329,188.5
,,718.025926353735,173.5
,,719.745436635227,168
,,721.464309581086,164
,,723.182545473413,172
,,724.900144594132,155
,,726.617107224991,177.5
,,728.333433647569,178.5
,,730.049124143252,166
,,731.764178993264,190
,,733.47859847865,175
,,735.19238288027,162
,,736.905532478821,194.5
,,738.618047554814,199
,,740.329928388594,174.5
,,742.041175260318,190.5
,,743.751788449978,177
,,745.461768237383,148.5
,,747.171114902176,188
,,748.879828723819,149.5
,,750.587909981596,192.5
,,752.295358954623,155.5
,,754.00217592184,158.5
,,755.708361162007,144.5
,,757.413914953717,196
,,759.118837575385,168
,,760.82312930525,197
,,762.52679042138,172
,,764.229821201665,165
,,765.932221923833,149.5
,,767.633992865425,187.5
,,769.335134303812,175.5
,,771.035646516195,153.5
,,772.735529779597,161
,,774.434784370877,176.5
,,776.133410566708,201
,,777.831408643602,183
,,779.528778877891,143.5
,,781.225521545737,161
,,782.921636923127,173
,,784.61712528588,168.5
,,786.311986909644,174.5
,,788.006222069889,157
,,789.699831041913,168.5
,,791.392814100845,153.5
,,793.085171521647,138
,,794.776903579101,179
,,796.468010547824,146
,,798.158492702256,161
,,799.848350316668,192
,,801.537583665162,158.5
,,803.226193021668,153.5
,,804.914178659947,153
,,806.601540853584,182.5
,,808.288279875998,125.5
,,809.974396000436,179
,,811.659889499977,162
,,813.344760647526,146.5
,,815.029009715818,155
,,816.712636977423,149.5
,,818.395642704736,192
,,820.078027169986,250
,,821.75979064523,181
,,823.440933402358,185
,,825.121455713088,194.5
,,826.80135784897,200.5
,,828.480640081383,230.5
,,830.159302681543,246.5
,,831.83734592049,220
,,833.514770069103,237
,,835.191575398083,197.5
,,836.86776217797,174
,,838.543330679133,167.5
,,840.218281171776,189
,,841.892613925927,165.5
,,843.566329211457,187.5
,,845.23942729806,192
,,846.911908455264,161
,,848.583772952437,185
,,850.255021058767,160
,,851.925653043289,190.5
,,853.595669174858,163.5
,,855.265069722167,196.5
,,856.933854953746,176.5
,,858.602025137954,178.5
,,860.269580542981,193.5
,,861.936521436857,224.5
,,863.602848087439,186.5
,,865.268560762423,195.5
,,866.933659729335,219
,,868.598145255537,232
,,870.262017608224,261
,,871.925277054426,248
,,873.587923861005,265
,,875.249958294664,259.5
,,876.91138062193,205
,,878.572191109175,188.5
,,880.232390022602,180.5
,,881.891977628242,187
,,883.550954191973,208
,,885.209319979502,178
,,886.867075256368,182
,,888.524220287953,148
,,890.18075533947,192.5
,,891.836680675964,176
,,893.491996562323,171.5
,,895.146703263272,166
,,896.800801043362,153.5
,,898.45429016699,156
,,900.10717089838,195.5
,,901.759443501602,177.5
,,903.411108240556,178
,,905.062165378984,176.5
,,906.712615180455,132.5
,,908.362457908388,163.5
,,910.011693826027,158
,,911.660323196462,155
,,913.308346282616,174.5
,,914.955763347247,141.5
,,916.602574652954,155
,,918.248780462172,172.5
,,919.89438103718,184
,,921.539376640083,183.5
,,923.183767532832,170.5
,,924.827553977215,229
,,926.470736234858,227
,,928.113314567219,255
,,929.755289235609,256
,,931.396660501159,265
,,933.037428624855,210.5
,,934.677593867513,182
,,936.317156489788,179.5
,,937.956116752177,161
,,939.594474915015,164.5
,,941.232231238477,181
,,942.869385982573,157.5
,,944.505939407158,178.5
,,946.141891771922,156
,,947.777243336401,131
,,949.411994359964,191
,,951.046145101822,163.5
,,952.679695821031,219.5
,,954.312646776476,237
,,955.944998226892,287
,,957.576750430857,231
,,959.207903646779,206.5
,,960.83845813291,184
,,962.468414147348,154
,,964.097771948025,165.5
,,965.726531792719,156.5
