exp,n_candidates_within_10,unambiguous,delta,quality,rel_intensity
458.0,1,True,2.4531000000000063,high,0.6259
585.0,1,True,-2.8555999999999813,high,0.3448
646.0,1,True,-5.851800000000026,high,0.2641
872.0,1,True,0.9679999999999608,high,0.9218
930.0,1,True,-3.328300000000013,high,1.0
1157.0,1,True,-0.7858000000001084,high,0.4003
1190.0,1,True,2.12740000000008,high,0.1685
1346.0,1,True,-0.3126999999999498,high,0.4865
