frequency_raw_cm-1,activity_raw
8.0,0.0137742972
16.0,0.0154893543
24.0,0.0175457431
32.0,0.0200403942
40.0,0.0231072396
48.0,0.0269355419
56.0,0.0317997558
64.0,0.0409940093
72.0,0.0496990582
80.0,0.0615646971
88.0,0.0783476567
96.0,0.1032256363
104.0,0.1424384121
112.0,0.2096467643
120.0,0.3396501562
128.0,0.6454037343
136.0,1.6407157781
144.0,7.9419931466
152.0,9.0785007693
160.0,1.7864102448
168.0,0.696413426
176.0,0.3821708132
184.0,0.2619377785
192.0,0.2211069705
200.0,0.2426288889
208.0,0.391643754
216.0,1.2269120641
224.0,4.2618417097
232.0,0.7855408065
240.0,0.2928152898
248.0,0.1778757111
256.0,0.1520276039
264.0,0.1885330087
272.0,0.405783237
280.0,2.0861286853
288.0,0.892703433
296.0,0.242066351
304.0,0.1214355202
312.0,0.0737359247
320.0,0.0593233379
328.0,0.056613514
336.0,0.0666464945
344.0,0.1206486414
352.0,0.4386096438
360.0,0.150006167
368.0,0.1252055346
376.0,0.1991186157
384.0,0.5614223316
392.0,2.6658586131
400.0,0.6064226084
408.0,0.2710151596
416.0,0.2774603507
424.0,0.5388526074
432.0,2.3740588748
440.0,2.8358201798
448.0,1.4011224215
456.0,0.7501634165
464.0,2.5658734804
472.0,0.8225719076
480.0,0.2489191454
488.0,0.1245001422
496.0,0.077144487
504.0,0.0534581636
512.0,0.0396486204
520.0,0.0305603861
528.0,0.0244929154
536.0,0.0201254711
544.0,0.0168638282
552.0,0.014356267
560.0,0.0109027998
568.0,0.0094502648
576.0,0.0082727069
584.0,0.007304253
592.0,0.0064977831
600.0,0.0040407132
608.0,0.0021370418
616.0,0.0019161537
624.0,0.0017278167
632.0,0.0
640.0,0.0
648.0,0.0
656.0,0.0063154828
664.0,0.0070301722
672.0,0.0078733771
680.0,0.0088778532
688.0,0.0100874932
696.0,0.0115621989
704.0,0.0133854312
712.0,0.0156762636
720.0,0.01860929
728.0,0.022448825
736.0,0.0276104351
744.0,0.034777904
752.0,0.0455575124
760.0,0.0613815689
768.0,0.087812499
776.0,0.1341098928
784.0,0.2296929744
792.0,0.4785790882
800.0,1.4826498118
808.0,8.5361392367
816.0,2.3704916581
824.0,0.6316265429
832.0,0.2796180153
840.0,0.1577689656
848.0,0.1027136684
856.0,0.0740373796
864.0,0.058239895
872.0,0.0502121896
880.0,0.0495668983
888.0,0.0569459655
