wavenumber_cm-1,intensity_normalized
400.0,0.03432341458312757
401.0,0.04022399014899154
402.0,0.046502026431094266
403.0,0.05329005569878301
404.0,0.060823459362945156
405.0,0.06943590474968063
406.0,0.07954119817290496
407.0,0.09160123120893064
408.0,0.10607814563148034
409.0,0.12336870287984275
410.0,0.1437226942029713
411.0,0.1671556865862879
412.0,0.19337666197591752
413.0,0.22175736393702242
414.0,0.2513662933552012
415.0,0.2810737594437447
416.0,0.3097091616242399
417.0,0.33622794729260747
418.0,0.35983571494824307
419.0,0.3800285697339136
420.0,0.3965402233883692
421.0,0.4092250935608805
422.0,0.4179349542449074
423.0,0.4224499982831495
424.0,0.4225002961414305
425.0,0.4178712770584208
426.0,0.40854688399025774
427.0,0.3948256029410188
428.0,0.37735626469152683
429.0,0.35707612753369666
430.0,0.3350756520525605
431.0,0.31244284907934
432.0,0.2901432020061844
433.0,0.268970041252551
434.0,0.24956711340859286
435.0,0.2324959503054688
436.0,0.21830701137209718
437.0,0.2075777819969363
438.0,0.20089714539515105
439.0,0.19879429396790066
440.0,0.2016254534740341
441.0,0.20944101325501105
442.0,0.2218611945665115
443.0,0.23799198572733427
444.0,0.25641351024153475
445.0,0.2752661394915281
446.0,0.29244182113814726
447.0,0.3058602811949649
448.0,0.31377968662442285
449.0,0.3150712139558161
450.0,0.3093876559967512
451.0,0.29718111087469523
452.0,0.2795668679128574
453.0,0.2580746298898136
454.0,0.23435755368335676
455.0,0.20993381453394977
456.0,0.18601484154779419
457.0,0.16343938718120657
458.0,0.14269811592488768
459.0,0.12401190264210274
460.0,0.10742351529864407
461.0,0.09287352143053126
462.0,0.08024864893017417
463.0,0.06940572524914224
464.0,0.06018164234300084
465.0,0.05239938767336891
466.0,0.045875398622424395
467.0,0.040428503510538095
468.0,0.03588817398581056
469.0,0.03210005916671887
470.0,0.028928441279163303
471.0,0.026256658117173787
472.0,0.023986779596855672
473.0,0.02203909751010776
474.0,0.02035112094136214
475.0,0.018875497167909223
476.0,0.017576741555654998
477.0,0.0164274218202338
478.0,0.015404883140896967
479.0,0.014489378944306417
