frequency_scaled_cm-1,raman_activity,stick_intensity_normalized
402.272,4.7855262411,0.3636110557859951
410.008,1.1110492156,0.08441909164448687
417.74399999999997,0.7055582199,0.053609311981822096
425.47999999999996,0.9783227505,0.07433434700527226
433.216,2.8363841986,0.21551248517040744
440.952,13.1611131316,1.0
448.688,2.6210703372,0.1991526332910836
456.424,0.8439342528,0.06412331877717115
464.15999999999997,0.462540594,0.035144488872254596
471.89599999999996,0.4452729999,0.03383247263720375
479.632,1.3355644169,0.10147807435020773
487.368,0.463150416,0.03519082401077231
495.104,0.1983548644,0.015071283288626053
502.84,0.1412516855,0.010732502949226452
510.57599999999996,0.128107141,0.009733761857301654
518.312,0.1420135131,0.010790387688334943
526.048,0.2052443932,0.015594759436206472
533.784,0.4397598175,0.03341357323675997
541.52,2.0701578888,0.15729352586670836
549.256,1.4650098562,0.11131352200616623
556.992,0.4064342232,0.03088144742287385
564.728,0.2988882973,0.022709955784998563
572.4639999999999,0.4709033898,0.035779905931311765
580.1999999999999,1.780705411,0.13530051699992637
587.936,3.046073874,0.2314450034386786
595.672,0.5751809143,0.04370305980570771
603.408,0.2281305416,0.017333681377774624
611.144,0.1320293359,0.010031775776092667
618.88,0.0959590797,0.00729110666707978
626.616,0.0830297581,0.006308718515658413
634.352,0.0840976497,0.0063898584305973685
642.088,0.0991329958,0.007532265303759179
649.824,0.1413521772,0.010740138450798027
657.56,0.2574907354,0.019564510450241587
665.2959999999999,0.7355511692,0.055888218712589914
673.0319999999999,2.8902144998,0.21960258763071933
680.768,3.8924284741,0.29575222362873166
688.504,0.7844826871,0.059606104685510766
696.24,0.2804081438,0.021305807570845697
703.976,0.1530860261,0.011631692894762716
711.712,0.1082056433,0.008221617899491865
719.448,0.0926249592,0.0070377754733835
727.184,0.0957249511,0.007273317244736934
734.92,0.1262477192,0.009592480357674125
742.656,0.2359324279,0.01792647973928005
750.3919999999999,0.9410549557,0.07150268721879725
758.1279999999999,1.2690342507,0.096423018175646
765.864,0.2850871098,0.021661322028719763
773.6,0.1493106723,0.011344836170544206
781.336,0.1210889645,0.009200510875426171
789.072,0.1248225464,0.009484193711571361
796.808,0.1502833759,0.011418743566542839
804.544,0.2056040308,0.015622085209976815
812.28,0.3241946978,0.024632771906017918
820.016,0.6397730481,0.04861086153601224
827.752,1.9666862994,0.14943160808168734
835.4879999999999,6.2294321931,0.4733210732869588
843.2239999999999,9.9049876716,0.7525949798135234
850.9599999999999,2.8454895987,0.21620432635503628
858.696,0.866586645,0.06584447959187543
866.432,0.4869727322,0.03700087730655337
874.168,0.5177792588,0.03934160079186656
881.904,1.7355866376,0.1318723287495215
889.64,0.6271568078,0.0476522617448055
897.376,0.311448126,0.023664269343009373
