wavenumber_cm-1,intensity_normalized
400.0,0.015719035997562567
401.0,0.018345717201150285
402.0,0.020695906679332847
403.0,0.022604127609050277
404.0,0.023954171681702125
405.0,0.024698351253725513
406.0,0.024862673869817123
407.0,0.02453674768848922
408.0,0.023851755710177704
409.0,0.022953247133389247
410.0,0.021976502079828996
411.0,0.021030516663305028
412.0,0.02019303692277273
413.0,0.019515106364985768
414.0,0.019030881486271186
415.0,0.018767919467447842
416.0,0.0187545900118776
417.0,0.01902363223117822
418.0,0.01961277887183507
419.0,0.02056384636958519
420.0,0.02192071693185257
421.0,0.023725128510757667
422.0,0.026008465191377256
423.0,0.0287787583786197
424.0,0.03200480641268274
425.0,0.0356024810184808
426.0,0.03943004809869476
427.0,0.043298130128661315
428.0,0.04699547938777562
429.0,0.05032540471266672
430.0,0.053142169018038164
431.0,0.05537474748371531
432.0,0.05702853300701772
433.0,0.058163205313466866
434.0,0.05885418763305223
435.0,0.05915201533505063
436.0,0.05905536728251904
437.0,0.058508546061313636
438.0,0.057424714330788204
439.0,0.05572611011682657
440.0,0.05338597733085748
441.0,0.050456667487719285
442.0,0.04707417249763064
443.0,0.04343853343904537
444.0,0.039778177630415974
445.0,0.03631087715572141
446.0,0.033213316926547984
447.0,0.030606246338926987
448.0,0.028555585503104955
449.0,0.027084640871417737
450.0,0.02619060644480536
451.0,0.025859824508238538
452.0,0.026079346996201326
453.0,0.026845115126172058
454.0,0.028168108546907294
455.0,0.030078986620271676
456.0,0.03263020265290212
457.0,0.03589393640883344
458.0,0.03995545690871319
459.0,0.04490428831388006
460.0,0.0508280135313995
461.0,0.05781345264974925
462.0,0.06595599833580636
463.0,0.07537093920654998
464.0,0.08619387453753052
465.0,0.09855522700629572
466.0,0.11251976811487395
467.0,0.12799604147330684
468.0,0.14463827451803596
469.0,0.1617771426150444
470.0,0.1784176918505243
471.0,0.19332866947033292
472.0,0.2052199051476584
473.0,0.21297239552051123
474.0,0.2158620113609444
475.0,0.21371299147496844
476.0,0.20693529228239763
477.0,0.19643482470761625
478.0,0.18342470152963228
479.0,0.1691940257880077
480.0,0.15489819407115576
481.0,0.14141975639401067
482.0,0.12931925035490538
483.0,0.11886402307705879
484.0,0.11010205322404082
485.0,0.10294349210517698
486.0,0.09722345634565237
487.0,0.09273775931515676
488.0,0.08925916041649845
489.0,0.086548526764886
490.0,0.08437176632405301
491.0,0.08252357038120607
492.0,0.08084958254395191
493.0,0.07925522973636079
494.0,0.07769393631049254
495.0,0.0761372020914234
496.0,0.07453868717187116
497.0,0.07280877128814803
498.0,0.07081259682204004
499.0,0.0683948326044307
500.0,0.06542283985601594
501.0,0.06183186915019832
502.0,0.05765487685522228
503.0,0.05302571186753563
504.0,0.04815478347621692
505.0,0.04328627418731914
506.0,0.03865149640041977
507.0,0.03443240092052767
508.0,0.03074360399182188
509.0,0.027633636730434636
510.0,0.025099820840629464
511.0,0.023108447196241392
512.0,0.021613046011403462
513.0,0.020567047824533197
514.0,0.019930873716334223
515.0,0.019675715192492064
516.0,0.019786399747609634
517.0,0.020264441039993992
518.0,0.021130928846058716
519.0,0.0224283872250458
520.0,0.0242213175062446
521.0,0.0265960893100189
522.0,0.029660953230329818
523.0,0.03354544046225703
524.0,0.03839562934548205
525.0,0.04435928864697479
526.0,0.05155494523758895
527.0,0.060023048989031526
528.0,0.0696653796257678
529.0,0.08018809521583231
530.0,0.09107013740207835
531.0,0.10157795752593629
532.0,0.1108378278525634
533.0,0.11796019368322538
534.0,0.12219206404394424
535.0,0.12306048981441145
536.0,0.12046856508502987
537.0,0.11471683906760591
538.0,0.10644407373302937
539.0,0.09650448910754947
540.0,0.08581567157134071
541.0,0.07521644891438116
542.0,0.06536639950341655
543.0,0.056702303181368985
544.0,0.04944859889746704
545.0,0.04366531875300107
546.0,0.039311633777060755
547.0,0.036305788592142806
548.0,0.034569513107445715
549.0,0.03405272241670133
550.0,0.034739381411326826
551.0,0.036637125345963424
552.0,0.039753077399440284
553.0,0.044058635157592396
554.0,0.04944835848136311
555.0,0.05570212775581982
556.0,0.06246322922804482
557.0,0.06924503890520142
558.0,0.07547362636664981
559.0,0.08056341285275315
560.0,0.08401119482232194
561.0,0.0854851117015145
562.0,0.08488364917551915
563.0,0.08234704610107256
564.0,0.07821742374186558
565.0,0.07295956326802465
566.0,0.06706566658557725
567.0,0.06097048201648344
568.0,0.05499714662981698
569.0,0.04934190184972318
570.0,0.04409257338374759
571.0,0.03926635085909057
572.0,0.03484977852639678
