frequency_scaled_cm-1,raman_activity,stick_intensity_normalized
404.20599999999996,0.1705297342,0.004736563033714062
412.909,0.0761267189,0.0021144641098002816
421.61199999999997,0.0382200923,0.0010615854014115942
430.315,0.0295253577,0.0008200840662484587
439.018,0.0285976162,0.0007943155038663187
447.721,0.0330336249,0.0009175282381394598
456.424,0.0454334423,0.0012619404135127115
465.127,0.0911142403,0.0025307512761602604
473.83,0.1845420837,0.005125764230611146
482.53299999999996,0.366162287,0.010170371525415764
491.236,0.3655397989,0.010153081554624343
499.93899999999996,1.4807574928,0.04112890479302463
508.642,2.8150674699,0.07819014424605437
517.345,0.4945351698,0.013736003372872124
526.048,0.1759060707,0.004885893922207921
534.751,0.0941214421,0.0026142780637179834
543.454,0.0630969781,0.001752555443832538
552.157,0.0491508343,0.0013651931489469546
560.86,0.0449326185,0.001248029739760637
569.563,0.0474015302,0.001316605205186561
578.266,0.0582691788,0.0016184604966619077
586.9689999999999,0.0856511139,0.0023790097474694397
595.672,0.1616838242,0.004490862713461281
604.375,0.4836949868,0.01343491095448908
613.078,3.2121684796,0.08921985687663647
621.781,0.7376991786,0.02049002583479068
630.484,0.2356814279,0.0065461894042176125
639.187,0.194023896,0.005389127108900294
647.89,0.4752300429,0.013199792190319895
656.593,1.8956585959,0.05265302542107782
665.2959999999999,0.2904997161,0.008068799397587343
673.999,0.0991938047,0.00275516589948143
682.702,0.0514714525,0.0014296496757400636
691.405,0.0326045957,0.0009056117013628258
700.108,0.0261914739,0.0007274834952110461
708.8109999999999,0.0263324424,0.0007313989776877561
717.514,0.0273580547,0.0007598859587406033
726.217,0.0213331806,0.0005925415593681608
734.92,0.0210557674,0.0005848362456036811
743.6229999999999,0.0177325406,0.000492531678969765
752.326,0.0180328411,0.0005008727008682549
761.029,0.0296856929,0.0008245374701365599
769.732,0.0229597837,0.0006377214111408066
778.435,0.0200410603,0.0005566521628543913
787.1379999999999,0.0232920851,0.000646951276739761
795.841,0.031035318,0.0008620240960790791
804.544,0.0421968657,0.0011720426068266097
813.247,0.0509191595,0.0014143094148767528
821.9499999999999,0.0766116894,0.0021279344488793757
830.653,0.1330589464,0.003695790002721887
839.356,0.3000974563,0.008335382241053192
848.059,1.164452855,0.03234335861350214
856.762,3.0943527596,0.08594745639609667
865.4649999999999,0.9802750136,0.027227711425655346
874.168,3.671813714,0.10198677190230873
882.871,0.7279020426,0.020217904656442715
891.574,0.2449803984,0.00680447374464965
900.2769999999999,0.1286686825,0.0035738478570043497
908.98,0.0840364016,0.002334160169616386
917.683,0.0660636262,0.001834955828671102
926.386,0.0632670641,0.001757279681889506
935.0889999999999,0.0690606458,0.0019181997996728262
943.7919999999999,0.1200224752,0.0033336943959605537
952.495,0.1374358338,0.003817360608334013
961.198,0.3463767247,0.009620815968837489
969.901,0.4219047683,0.011718651522283768
978.6039999999999,0.1840337358,0.005111644570584102
987.307,0.2212362837,0.006144967081580644
996.01,0.2214081395,0.006149740476866973
1004.713,0.3717502262,0.010325579802573577
1013.4159999999999,1.039673382,0.028877535823413476
1022.1189999999999,1.3259690048,0.03682956407250591
1030.822,3.8695431075,0.10747882136995401
1039.5249999999999,9.1775279248,0.2549112019285972
1048.228,2.0596538641,0.057208089842565334
1056.931,0.8678134846,0.024104026729403927
1065.634,1.3574451354,0.03770383199618345
