label,conc_mgml,conc_mM,n,peak_243_mean,peak_928_mean,peak_1504_mean,peak_243_std,peak_928_std,peak_1504_std
0.1 mg/mL,0.1,0.341,3,365.9166666666667,32.458333333333336,31.125,206.60671173350912,3.5007439685491617,14.5
1 mg/mL,1.0,3.41,4,281.375,34.9375,36.5,171.00359401681203,3.885737810678087,3.890426283412483
