sample,conc_M,n_replicates,peak_612,peak_774,peak_1183,peak_1310,peak_1360,peak_1509,peak_1575,peak_1650
r6g-1nM,1e-09,2,15.1875,13.9375,19.375,12.375,27.0,31.25,17.125,15.5625
r6g-10nM,1e-08,3,27.20833333333337,5.416666666666657,21.25,20.916666666666657,10.333333333333343,23.833333333333343,20.166666666666657,24.666666666666657
r6g-100nM,1e-07,3,59.41666666666666,28.083333333333314,36.75,52.66666666666666,76.25,83.58333333333334,30.916666666666657,31.79166666666667
r6g-1microM,1e-06,5,138.40000000000003,74.42499999999998,72.94999999999999,97.94999999999999,200.2,216.75,17.599999999999994,62.650000000000006
r6g-10microM,1e-05,2,233.0625,125.8125,102.5,109.0,333.125,344.5,29.5,92.8125
r6g-1mM,0.001,2,112.625,56.5625,70.0,44.375,165.625,180.75,14.375,56.8125
