exp_position_cm1,exp_intensity,dft_frequency_scaled_cm1,dft_frequency_unscaled_cm1,match_cost_cm1,matching_confidence,literature_assignment,literature_reference,computed_dominant_bond
150.835542175313,0.15259062884525704,149.39560129999998,154.4939,1.4399408753130274,0.4459401254508074,Unassigned (outside curated literature ranges),-,C6-C11 stretch (20% of stretch character)
187.425120916616,0.1983299405800575,186.8580516,193.2348,0.5670693166159992,0.959559887264469,Unassigned (outside curated literature ranges),-,C6-C7 stretch (8% of stretch character)
227.560478444981,0.49701639002191583,226.4263378,234.1534,1.134140644980988,0.9236765031496029,Unassigned (outside curated literature ranges),-,C6-C11 stretch (32% of stretch character)
274.926278176486,0.2288673101154846,270.4564587,279.6861,4.469819476486009,0.5493485951889789,Unassigned (outside curated literature ranges),-,C20-C29 stretch (15% of stretch character)
306.880239070475,0.6126372192068467,307.8992789,318.4067,1.0190398295250134,0.9341821120452275,Unassigned (outside curated literature ranges),-,C20-C29 stretch (35% of stretch character)
353.500528569564,0.31080770877636205,359.56550869999995,371.8361,6.06498013043597,0.15345046050539535,Unassigned (outside curated literature ranges),-,C25-H48 stretch (14% of stretch character)
366.475693084774,0.26811814050195837,372.51383209999995,385.2263,6.0381390152259655,0.12619712022005314,Unassigned (outside curated literature ranges),-,C14-C22 stretch (12% of stretch character)
410.703411787561,0.42989349612846645,409.3785797,423.3491,1.324832087560992,0.8472239065477831,Unassigned (outside curated literature ranges),-,C20-C29 stretch (9% of stretch character)
465.430278152804,0.21297498023497233,467.723395,483.685,2.293116847195961,0.7465163320379975,Unassigned (outside curated literature ranges),-,C15-C23 stretch (22% of stretch character)
519.545244269821,1.0,520.9672853,538.7459,1.4220410301790025,0.891049775648157,Unassigned (outside curated literature ranges),-,C14-C22 stretch (17% of stretch character)
565.956316221434,0.19326894013359516,568.0880348999999,587.4747,2.1317186785659032,0.9150846018658978,Unassigned (outside curated literature ranges),-,C15-C23 stretch (27% of stretch character)
610.159697957783,0.5714556776779878,608.4858136999999,629.2511,1.6738842577831292,0.6530078777358814,Xanthene ring C-C-C in-plane bending,"Hildebrandt, P. 1984 (DOI 10.1021/j150668a038)",C14-C16 stretch (29% of stretch character)
636.484790030583,0.31510481581775385,627.0982429,648.4987,9.38654713058304,0.1728007396065182,Unassigned (outside curated literature ranges),-,C11-C21 stretch (40% of stretch character)
659.181336122767,0.36060219045238107,661.1105339,683.6717,1.9291977772329574,0.8300140878795501,Unassigned (outside curated literature ranges),-,N5-H40 stretch (8% of stretch character)
730.049124143252,0.3520641026238449,724.5867347000001,749.3141,5.462389443251936,0.6591359049813175,Unassigned (outside curated literature ranges),-,C15-C23 stretch (35% of stretch character)
774.434784370877,0.2703145342197238,773.5396592,799.9376,0.8951251708770087,0.8636316161878074,Xanthene ring C-H out-of-plane bending,"Watanabe, H. 2005 (DOI 10.1021/jp045771u)",C15-C23 stretch (20% of stretch character)
791.392814100845,0.24194904779783413,792.6311402,819.6806,1.2383260991549605,0.6137795790228944,Unassigned (outside curated literature ranges),-,C20-C24 stretch (11% of stretch character)
919.89438103718,0.2771800626121035,918.4247857,949.7671,1.4695953371799533,0.9151303973941382,Unassigned (outside curated literature ranges),-,C26-C31 stretch (18% of stretch character)
960.83845813291,0.14672682398875322,961.2942165,994.0995,0.4557583670899703,0.9770555113608441,Unassigned (outside curated literature ranges),-,C8-C10 stretch (15% of stretch character)
986.846112778716,0.1859367970569041,988.5026955,1022.2365,1.6565827212839395,0.44981629977113213,Unassigned (outside curated literature ranges),-,C32-C33 stretch (36% of stretch character)
1007.86524591866,0.2255608286254939,1002.0039495,1036.1985,5.861296418660004,0.5453630387163755,Unassigned (outside curated literature ranges),-,C26-C31 stretch (17% of stretch character)
1059.18023894933,0.15672148926403465,1068.3279653,1104.7859,9.147726350669927,0.6538637304514975,Unassigned (outside curated literature ranges),-,O2-C29 stretch (17% of stretch character)
1086.19797765355,0.27648606906241735,1092.5272369999998,1129.811,6.329259346449817,0.4798358674259098,Unassigned (outside curated literature ranges),-,C32-C33 stretch (17% of stretch character)
1116.19637152644,0.15585352864360355,1122.5398226,1160.8478,6.343451073559891,0.02313272998581173,Unassigned (outside curated literature ranges),-,N4-C25 stretch (28% of stretch character)
1183.32466693502,0.35895359592667303,1174.9830369,1215.0807,8.341630035020216,0.35366096889237475,C-H in-plane bending / C-N stretching (xanthene),"Jensen, L. 2006 (DOI 10.1021/jp0610867)",C6-C11 stretch (34% of stretch character)
1261.59182949048,0.17684452237968026,1263.3620019,1306.4757,1.7701724095200007,0.021226749997929728,Aromatic C-C stretching + N-H in-plane bending,"Watanabe, H. 2005 (DOI 10.1021/jp045771u)",C25-H49 stretch (26% of stretch character)
1362.23615418665,0.5831193470669623,1356.419603,1402.709,5.816551186650031,0.38533197035063893,Xanthene ring C-C stretching,"Hildebrandt, P. 1984 (DOI 10.1021/j150668a038)",C15-C17 stretch (18% of stretch character)
1437.22686027369,0.12838968258691846,1437.1901153,1486.2359,0.03674497369001983,0.9776029029263259,Unassigned (outside curated literature ranges),-,C6-C7 stretch (13% of stretch character)
1509.41924419338,0.6323773073075188,1505.4957075,1556.8725,3.923536693380129,0.7940480624066091,Aromatic C-C stretching (xanthene),"Jensen, L. 2006 (DOI 10.1021/jp0610867)",C6-C8 stretch (15% of stretch character)
1537.93404069926,0.11257620013765193,1533.1697003,1585.4909,4.764340399260163,0.06290653928320455,Aromatic C-C stretching (xanthene),"Jensen, L. 2006 (DOI 10.1021/jp0610867)",N5-C17 stretch (17% of stretch character)
1601.34726416366,0.24893176831289132,1592.6814912,1647.0336,8.665772963659947,0.6192104369174714,Xanthene C=C / C=O stretching,"Watanabe, H. 2005 (DOI 10.1021/jp045771u)",C13-C15 stretch (22% of stretch character)
