fwhm_cm1,eta,rmse,cosine_similarity,correlation,aic,bic
1.0,0.0,0.30767989484886055,0.10045198514929017,0.011041624103846102,-1646.1734744552389,-1637.0713137851521
1.0,0.1111111111111111,0.3074126214269851,0.10605409286447087,0.011651421964601337,-1647.3901461079565,-1638.2879854378698
1.0,0.2222222222222222,0.30714480336192457,0.111646898017026,0.012261506644713255,-1648.6103585720698,-1639.508197901983
1.0,0.3333333333333333,0.3068764912875657,0.11722376797745075,0.012871221979834719,-1649.8338891931885,-1640.7317285231018
1.0,0.4444444444444444,0.30660773881739023,0.1227780308128584,0.013479900395376596,-1651.0605009424437,-1641.958340272357
1.0,0.5555555555555556,0.3063386026956668,0.12830301322642765,0.014086866198224714,-1652.2899416588928,-1643.187780988806
1.0,0.6666666666666666,0.30606914295656157,0.13379207925914266,0.014691439033963347,-1653.5219432518527,-1644.419782581766
1.0,0.7777777777777777,0.30579942309160507,0.13923866924797507,0.015292937471754264,-1654.7562208609686,-1645.6540601908819
1.0,0.8888888888888888,0.30552951022598535,0.1446363385186055,0.015890682675471238,-1655.9924719717123,-1646.8903113016256
1.0,1.0,0.30525947530416053,0.14997879528702696,0.016484002116941128,-1657.2303754838651,-1648.1282148137784
5.333333333333333,0.0,0.2974223550700664,0.2689623815864691,0.028235401281175753,-1693.6429111904447,-1684.540750520358
5.333333333333333,0.1111111111111111,0.2963803825498314,0.2819598645745201,0.03156709345728874,-1698.5562028718475,-1689.4540422017608
5.333333333333333,0.2222222222222222,0.295354971715717,0.2945110622455358,0.034854167766754394,-1703.4082928961357,-1694.306132226049
5.333333333333333,0.3333333333333333,0.2943461799014389,0.3066008421086716,0.038089999653526795,-1708.1982103443074,-1699.0960496742207
5.333333333333333,0.4444444444444444,0.29335406309623546,0.31821834414054423,0.04126845759043419,-1712.9249902402069,-1703.8228295701201
5.333333333333333,0.5555555555555556,0.29237867588525746,0.32935678398009655,0.04438395236204527,-1717.587674316829,-1708.4855136467422
5.333333333333333,0.6666666666666666,0.2914200713898646,0.34001319148401116,0.04743147437177654,-1722.1853117936446,-1713.0831511235579
5.333333333333333,0.7777777777777777,0.29047830120790685,0.3501881000239991,0.050406618779807684,-1726.7169601639514,-1717.6147994938647
5.333333333333333,0.8888888888888888,0.28955341535407303,0.35988520168969673,0.05330559870817829,-1731.1816859911903,-1722.0795253211036
5.333333333333333,1.0,0.2886454622003899,0.3691109826166511,0.05612524712980997,-1735.5785657131191,-1726.4764050430324
9.666666666666666,0.0,0.28916451975993696,0.3503767412045319,0.044353511668645526,-1733.0632724453499,-1723.9611117752631
9.666666666666666,0.1111111111111111,0.2874902328853706,0.3650765147492675,0.04957575122636801,-1741.1929486522115,-1732.0907879821248
9.666666666666666,0.2222222222222222,0.2858555764337741,0.3790400963718353,0.05468192767698837,-1749.176002494911,-1740.0738418248243
9.666666666666666,0.3333333333333333,0.28426044030976116,0.3922781709675475,0.059664287730273366,-1757.0101847856806,-1747.908024115594
9.666666666666666,0.4444444444444444,0.2827047089381942,0.4048062122405798,0.06451628958275002,-1764.6933003685806,-1755.5911396984939
9.666666666666666,0.5555555555555556,0.2811882610075992,0.4166436308725254,0.06923258868789697,-1772.2232123694628,-1763.121051699376
9.666666666666666,0.6666666666666666,0.27971096922228705,0.4278129689078904,0.07380900317764708,-1779.5978464223554,-1770.4956857522686
9.666666666666666,0.7777777777777777,0.27827270006402804,0.4383391573733042,0.07824246211233123,-1786.8151948570744,-1777.7130341869877
9.666666666666666,0.8888888888888888,0.2768733135641177,0.4482488478322134,0.08253093991148072,-1793.8733208325382,-1784.7711601624515
9.666666666666666,1.0,0.27551266308666056,0.4575698232166469,0.08667338031765214,-1800.77036239999,-1791.6682017299033
14.0,0.0,0.28259608725868335,0.40312114104724295,0.0617496852992219,-1765.2313160735287,-1756.129155403442
14.0,0.1111111111111111,0.280422525516356,0.41833938622693945,0.06797457308023289,-1776.040910952813,-1766.9387502827262
14.0,0.2222222222222222,0.27832105698031506,0.4326592288838312,0.07402799468696912,-1786.5719306015367,-1777.46976993145
14.0,0.3333333333333333,0.2762908089964491,0.4461125886659945,0.07990303346791558,-1796.8218370609534,-1787.7196763908667
14.0,0.4444444444444444,0.2743309046692063,0.45873501839984027,0.08559442095862724,-1806.7883079720293,-1797.6861473019426
14.0,0.5555555555555556,0.2724404622767084,0.47056457769282034,0.09109845035856548,-1816.469246131989,-1807.3670854619022
14.0,0.6666666666666666,0.2706185947569622,0.4816408586307944,0.09641287049045358,-1825.8627883760462,-1816.7606277059595
14.0,0.7777777777777777,0.26886440926630445,0.4920041629662687,0.1015367657030576,-1834.9673137229966,-1825.8651530529098
14.0,0.8888888888888888,0.2671770068108943,0.5016948236129704,0.10647042681988336,-1843.7814507275202,-1834.6792900574335
14.0,1.0,0.2655554819517244,0.5107526589284153,0.11121521771009085,-1852.3040839869077,-1843.201923316821
18.333333333333332,0.0,0.2774641495338199,0.4427967240249988,0.08138931790160052,-1790.8889630148742,-1781.7868023447875
18.333333333333332,0.1111111111111111,0.2749329137025227,0.4579400614714112,0.08772636299975681,-1803.7194257484514,-1794.6172650783647
18.333333333333332,0.2222222222222222,0.2725111684702113,0.47209001080949115,0.09385962036515304,-1816.1059527096945,-1807.0037920396078
18.333333333333332,0.3333333333333333,0.2701966848328279,0.48529417663349106,0.09978392293809553,-1828.0471719758098,-1818.945011305723
18.333333333333332,0.4444444444444444,0.2679872467262746,0.4976024478212402,0.10549593308623821,-1839.5422410241606,-1830.4400803540739
18.333333333333332,0.5555555555555556,0.2658806497766727,0.5090657776417925,0.11099400200640169,-1850.590858315716,-1841.4886976456294
18.333333333333332,0.6666666666666666,0.26387470031352034,0.5197351885103269,0.11627801344714185,-1861.19327193934,-1852.0911112692534
18.333333333333332,0.7777777777777777,0.26196721463726863,0.5296609827772676,0.12134921838442722,-1871.3502852326635,-1862.2481245625768
18.333333333333332,0.8888888888888888,0.2601560185314364,0.5388921364266044,0.12621006648742558,-1881.0632593276794,-1871.9610986575926
18.333333333333332,1.0,0.25843894700802184,0.5474758507614106,0.130864039295155,-1890.334112602559,-1881.2319519324722
22.666666666666664,0.0,0.2732051443030376,0.47598250916005463,0.10305757468849414,-1812.5452503192962,-1803.4430896492095
22.666666666666664,0.1111111111111111,0.27048838705833594,0.49057535713415223,0.10874622030704306,-1826.536558213514,-1817.4343975434272
22.666666666666664,0.2222222222222222,0.26791835525449037,0.5041216701616124,0.11421673392534314,-1839.9021852407268,-1830.80002457064
22.666666666666664,0.3333333333333333,0.2654913116280459,0.5166819454322538,0.11946684126985771,-1852.6424287605637,-1843.540268090477
22.666666666666664,0.4444444444444444,0.26320354421090236,0.5283174502293744,0.12449604476989255,-1864.7586592846433,-1855.6564986145565
22.666666666666664,0.5555555555555556,0.2610513649184173,0.5390890174024022,0.12930544025557278,-1876.253326795769,-1867.1511661256823
22.666666666666664,0.6666666666666666,0.2590311087850868,0.5490561166057581,0.13389752521260465,-1887.129958698447,-1878.0277980283602
22.666666666666664,0.7777777777777777,0.25713913380561376,0.5582761654312126,0.13827600544697963,-1897.393149464005,-1888.2909887939184
22.666666666666664,0.8888888888888888,0.2553718213348916,0.5668040433054696,0.14244560583817048,-1907.048542158978,-1897.9463814888913
22.666666666666664,1.0,0.2537255769967098,0.5746917724120909,0.14641188964736912,-1916.1028021659852,-1907.0006414958984
27.0,0.0,0.2693293501645036,0.5053390400396395,0.1258845396513578,-1832.548417524365,-1823.4462568542783
27.0,0.1111111111111111,0.26662041628835836,0.5189771581027696,0.13033660893816956,-1846.7010115205417,-1837.598850850455
27.0,0.2222222222222222,0.26409172720682006,0.5315543078976626,0.1345723904800684,-1860.042298499002,-1850.9401378289153
27.0,0.3333333333333333,0.26173816541771766,0.5431420057778039,0.13859383625344252,-1872.5749009804879,-1863.4727403104012
27.0,0.4444444444444444,0.25955462062541856,0.5538106560707532,0.14240432805120315,-1884.3033601868883,-1875.2011995168016
27.0,0.5555555555555556,0.2575359908463445,0.5636285076417022,0.14600846727291486,-1895.2341177155295,-1886.1319570454427
27.0,0.6666666666666666,0.2556771847443703,0.5726609100861406,0.1494118686154632,-1905.3754782490087,-1896.273317578922
27.0,0.7777777777777777,0.2539731250726119,0.5809698176942666,0.15262096312585138,-1914.7375541071856,-1905.6353934370989
27.0,0.8888888888888888,0.25241875308723916,0.5886134927178063,0.15564281466705063,-1923.332192796233,-1914.2300321261462
27.0,1.0,0.25100903379084416,0.5956463647161457,0.15848495253961062,-1931.1728890192142,-1922.0707283491274
31.333333333333332,0.0,0.2655864268885012,0.5315897495693062,0.14850697211486846,-1852.1409527753976,-1843.038792105311
31.333333333333332,0.1111111111111111,0.2630968394828959,0.544011451228624,0.15135062395176888,-1865.3263450621357,-1856.224184392049
31.333333333333332,0.2222222222222222,0.26081661482327934,0.5553920929063645,0.1539967476602556,-1877.512841340128,-1868.4106806700413
31.333333333333332,0.3333333333333333,0.2587384985854321,0.5658117194881371,0.1564519858248513,-1888.7123394226016,-1879.610178752515
31.333333333333332,0.4444444444444444,0.25681932117724715,0.5753471774359533,0.1587238042986838,-1899.1354604744006,-1890.0332998043139
31.333333333333332,0.5555555555555556,0.2550900622606142,0.5840713691598407,0.16082028671741838,-1908.5940551805193,-1899.4918945104325
31.333333333333332,0.6666666666666666,0.2535441578582498,0.5920527962587671,0.16274994676108337,-1917.1041897403702,-1908.0020290702835
31.333333333333332,0.7777777777777777,0.2521750354908495,0.5993553286612175,0.1645215606355048,-1924.6845862231903,-1915.5824255531036
31.333333333333332,0.8888888888888888,0.25097612725981466,0.6060381451728591,0.1661440209466418,-1931.356436849237,-1922.2542761791503
31.333333333333332,1.0,0.24994088389555208,0.6121557998667657,0.16762621208010414,-1937.1431948997213,-1928.0410342296345
35.666666666666664,0.0,0.2622775018707338,0.5546118645958587,0.16934096142194677,-1869.6930356166033,-1860.5908749465166
35.666666666666664,0.1111111111111111,0.260083805270227,0.565738695906714,0.1704505264142185,-1881.4519207169733,-1872.3497600468866
35.666666666666664,0.2222222222222222,0.25812528178443456,0.5758688703164475,0.17139649253945607,-1892.034313052053,-1882.9321523819663
35.666666666666664,0.3333333333333333,0.25639477293814295,0.5850878404655646,0.17218944325872265,-1901.451716700173,-1892.3495560300862
35.666666666666664,0.4444444444444444,0.2548849489060521,0.5934759100325692,0.1728400608083618,-1909.7202229557374,-1900.6180622856507
35.666666666666664,0.5555555555555556,0.25358833013902976,0.6011078571529435,0.17335896352612365,-1916.8603039917268,-1907.75814332164
35.666666666666664,0.6666666666666666,0.2524964874032718,0.6080528052783077,0.173756570485311,-1922.9011182927188,-1913.798957622632
35.666666666666664,0.7777777777777777,0.2515573745465182,0.6143742750140706,0.17404299236807538,-1928.1178604703987,-1919.015699800312
35.666666666666664,0.8888888888888888,0.2508038407381389,0.6201303629882975,0.17422794670954486,-1932.3178189497892,-1923.2156582797024
35.666666666666664,1.0,0.2502276678030171,0.6253740051974924,0.17432069512873205,-1935.537746044186,-1926.4355853740992
40.0,0.0,0.2596765258709793,0.5741951152608781,0.18710559553322773,-1883.6459753282472,-1874.5438146581605
40.0,0.1111111111111111,0.2578430335506156,0.5841036725384647,0.18657195480244926,-1893.565986819673,-1884.4638261495863
40.0,0.2222222222222222,0.25626622015683753,0.5930727799599789,0.18591844942332275,-1902.153833303635,-1893.0516726335484
40.0,0.3333333333333333,0.25493681899218573,0.6011902781051529,0.18515810696089482,-1909.4353464541434,-1900.3331857840567
40.0,0.4444444444444444,0.2538453817144986,0.6085372881031229,0.1843033750614028,-1915.4419030142878,-1906.339742344201
40.0,0.5555555555555556,0.2529823190483694,0.6151882023643053,0.1833660284310992,-1920.2099490334153,-1911.1077883633286
40.0,0.6666666666666666,0.2523379441033326,0.6212108634820319,0.18235710544205688,-1923.7804585807794,-1914.6782979106927
40.0,0.7777777777777777,0.25190251715406786,0.6266668685666202,0.1812868704564935,-1926.1983442021483,-1917.0961835320616
40.0,0.8888888888888888,0.25166629077571623,0.6316119509413399,0.18016479784169567,-1927.5118368122683,-1918.4096761421815
40.0,1.0,0.2516195543047576,0.6360964033890942,0.17899957375251596,-1927.7718523091069,-1918.6696916390201
