method,noise_reduction_pct,n_peaks_raw,n_peaks_after,mean_peak_shift_cm1,mean_peak_height_change_pct,distortion_rank,noise_rank,composite_score
Gaussian,40.00134882161264,529,55,0.8794919064130645,24.13047058381782,6.0,2.0,8.0
Median,35.062707492847736,529,101,1.3953646698421485,16.625040177527854,5.0,3.0,8.0
Savitzky-Golay,28.781034479735034,529,77,1.1810620098042925,17.386062961317528,4.0,5.0,9.0
Moving average,47.99916966078446,529,48,1.419242920548422,22.387191674072643,8.0,1.0,9.0
Wavelet,34.61880486513821,529,58,1.3812304298192088,23.17337612772517,7.0,4.0,11.0
