statistic,point_estimate,ci_low,ci_high,n_boot,seed
rmse_cm1,4.60441061928149,3.5640962948143167,5.639327427848878,2000,42
mae_cm1,3.6626769740739675,2.6889855066139883,4.708199375518126,2000,42
mean_signed_error_cm1,0.5594888518848498,-1.1015246731933799,2.170099504474049,2000,42
