method,n_flagged,spike_narrowness_score,broad_signal_preservation,composite_score
modified_zscore,9,1.0,0.9998088051811186,0.9998088051811186
hampel,263,0.99581589958159,0.9998391982205774,0.99565577061296
median_filter,425,0.9235668789808917,0.9998863238155444,0.9234618914219996
wavelet,313,0.0,0.999827302254181,0.0
