shape,position_cm1,position_stderr_cm1,height,area,area_stderr,fwhm_cm1,fwhm_stderr_cm1,reduced_chi_square,r_squared,n_points,seed_position_cm1
Lorentzian,226.82930339943317,0.12871059574558225,0.4937050326188902,26.710850842335674,0.3046566268965853,34.44294600925954,0.5362122477433894,7.712293711191984e-05,0.9920511310347714,21,227.560478444981
Gaussian,309.04907374464057,0.22246809208634738,0.6061808915012854,19.307927243527157,0.33122768671890346,29.92272856903388,0.6633345528758018,0.0005250049161079034,0.9776993323874947,21,306.880239070475
Gaussian,352.35171068248746,2.2753244415067218,0.29633937487251555,16.34042463662956,1.6670633700497701,51.80143126941621,4.834274125627196,0.000375159716815866,0.9324304138577941,21,366.475693084774
Lorentzian,354.64240238238244,0.8611377408778964,0.2883847969595087,27.41991959981747,2.083403944634207,60.53045499629489,5.52588088682063,0.00034013600506575646,0.700201339724783,21,353.500528569564
Voigt,412.7606604140076,0.48656080928791645,0.41930244741274814,23.200480884536066,0.8875936838946571,41.58814240632432,2.0480393769917047,0.000532665675813616,0.8949530770991138,21,410.703411787561
Lorentzian,520.3443122409817,0.4385646772045296,0.9816562815024037,24.136452417192995,1.4498204184277415,15.652874772091742,1.335687088049542,0.010256643504134452,0.8957541936208692,23,519.545244269821
Lorentzian,609.3171427100003,0.5152596417764512,0.528402463920359,24.561536809404988,1.1658290990890428,29.59176203795691,1.9561041085852378,0.0019494599239947325,0.8613209305366784,23,610.159697957783
Gaussian,655.4435808935722,0.7340047731351206,0.3399255043986198,15.325440013608478,0.773008940340061,42.3542487975782,2.693201888564635,0.0007234700058626888,0.8367543290664639,23,659.181336122767
Gaussian,723.8891011375231,0.5761557194979936,0.35754673203694076,15.497628109394531,0.5707212257002677,40.71929063939427,1.8133410831359689,0.00038415970084965914,0.9387137204009413,23,730.049124143252
Gaussian,763.6756071642614,17.774829049246996,0.2590937754080299,34.44023805181591,13.687378674816822,124.87541564247526,40.86498988308197,0.00018747961589937723,0.7863141600489045,23,791.392814100845
Gaussian,781.8708757283457,1.2103321682360344,0.2567433657289695,10.556539988023284,0.7982722434148605,38.62692607861238,3.432471785196773,0.0008097418229802634,0.8378689344686092,23,774.434784370877
Lorentzian,917.0930699141204,0.2820295039415776,0.2658957617017128,13.401149352467028,0.3343135686800977,32.08564362075939,1.1020911833001958,0.0001371548557196196,0.961535879698743,25,919.89438103718
Lorentzian,1088.977449818693,0.2822878185473064,0.27164529874165233,17.282241404755315,0.41740281364773674,40.502142463214696,1.2860585585054225,9.378939775910698e-05,0.9610019943859058,25,1086.19797765355
Lorentzian,1181.4904612667879,0.41085037868229995,0.3384896537650315,19.975885154899345,0.7303904400007742,37.56996209101484,1.8328826074093625,0.00037167741303417153,0.9041524400078724,25,1183.32466693502
Voigt,1314.9166181506534,0.4659247690301207,0.4253047830200984,14.283798893076092,0.5941204713497147,25.243140998217285,1.3987944623500757,0.001681473553634791,0.896506112638316,27,1311.46832297584
Lorentzian,1360.7580415161083,0.2678694328300957,0.5607656212965874,17.794822748608187,0.5426316851899753,20.20190892114046,0.873918546890496,0.001138233241388596,0.9525185529638649,27,1362.23615418665
PseudoVoigt,1507.0087042362236,0.1649298639893048,0.6254290438621642,19.55170133144319,1.2747979282561754,25.704150223133933,0.5628332389667862,0.0004683736235295333,0.985927402741624,28,1509.41924419338
Gaussian,1597.242003368773,0.5233273350948383,0.23540063353317073,8.724805462372508,0.3191651131874769,34.818968925422055,1.635883637958906,0.0003780687448780437,0.8859400468650652,29,1601.34726416366
PseudoVoigt,1647.8013526558852,0.10034808726859175,0.2600882104300925,8.174498072766125,0.4073660957821507,26.38903775841569,0.35224927678130935,3.2618476035328044e-05,0.9935761633573594,29,1647.20313045424
Voigt,10057.37070899271,39620467.708397284,3.6182511893277582,35917.532897190446,936844029.4447744,7461.183440274182,216928553.94952437,0.0005725978327498504,0.0012516495433736452,23,636.484790030583
