peak_index,position_cm1,position_uncertainty_cm1,intensity,prominence,fwhm_cm1,area,snr
26,150.835542175313,0.09009834471277532,0.15259062884525704,0.024225672413623806,4.210816052467836,0.04910489556044048,15.422617863279374
45,187.425120916616,0.06931965510315659,0.1983299405800575,0.041898234789548516,13.234466226702663,0.2662586022787605,20.04557493183309
66,227.560478444981,0.027661387740216984,0.49701639002191583,0.33026810864498873,17.03626134366296,2.366573416922802,50.23436834294748
91,274.926278176486,0.06007045335876894,0.2288673101154846,0.03564474105557178,9.110297794142658,0.14292984105078774,23.132043507647474
108,306.880239070475,0.022440953057730056,0.6126372192068467,0.609975150185513,23.860511979566667,5.510652284750439,61.92037998762728
133,353.500528569564,0.04423366180898509,0.31080770877636205,0.09663046795107572,9.29789022925704,0.38255349703855784,31.413911573038583
140,366.475693084774,0.05127651210731378,0.26811814050195837,0.022662052744108097,3.2626738904656682,0.03515378442234796,27.099197732307417
164,410.703411787561,0.03198039328683102,0.42989349612846645,0.3132989985249225,25.84824746921215,3.041065323154521,43.45013296604283
194,465.430278152804,0.06455294918901258,0.21297498023497233,0.037999320226225125,13.650544619814355,0.189168609147247,21.525776251531266
224,519.545244269821,0.013748163077639125,1.0,1.032405198664566,11.829492629480471,4.4860472926429695,101.07185467411327
250,565.956316221434,0.07113488110472303,0.19326894013359516,0.013166375550154291,4.191151093947072,0.023142935359022572,19.534050230202627
275,610.159697957783,0.02405814416527005,0.5714556776779878,0.41052253697219176,12.756675113972735,1.963864651905394,57.75808520696649
290,636.484790030583,0.04363044418080429,0.31510481581775385,0.0422090902757139,7.798119205248666,0.12786203635104146,31.84822815144524
303,659.181336122767,0.03812556729173453,0.36060219045238107,0.0905554764531874,9.082331109875474,0.31874572971043214,36.446732188569975
344,730.049124143252,0.03905017005476428,0.3520641026238449,0.34442513304344174,28.81093123316059,4.392172088685538,35.58377181636935
370,774.434784370877,0.05085987372940887,0.2703145342197238,0.15950234570548705,30.58257710477243,1.4704250732573134,27.32119131895654
380,791.392814100845,0.05682255500805569,0.24194904779783413,0.02478417473326716,6.49232795868526,0.06360815824368629,24.454238997562776
423,863.602848087439,0.08236087199432802,0.16692590479840871,0.05498016365602773,13.030015311556452,0.23616762381834178,16.87151079112963
457,919.89438103718,0.04960011534768588,0.2771800626121035,0.19396316449626916,16.68439989808451,1.124644419862041,28.015103006892137
482,960.83845813291,0.0936990435960976,0.14672682398875322,0.01995436346736848,5.603310584443015,0.041513179779680394,14.82995223098546
498,986.846112778716,0.07393998011825297,0.1859367970569041,0.021716624027373094,10.823956707263418,0.09082298247286179,18.792976930705503
511,1007.86524591866,0.06095102222055433,0.2255608286254939,0.17716024868224245,46.71808764302158,2.601549567911426,22.797851291008485
543,1059.18023894933,0.08772353518461705,0.15672148926403465,0.023994703592338074,7.558556825503864,0.0725625912498648,15.84013158720511
560,1086.19797765355,0.04972461406196725,0.27648606906241735,0.227336044466552,28.258702244577513,2.171687425332469,27.94495979169349
579,1116.19637152644,0.08821207448615165,0.15585352864360355,0.023923404790062497,10.965017492048027,0.0775775422520087,15.752405197514047
622,1183.32466693502,0.03830066959531894,0.35895359592667303,0.31800586121091207,28.593527963903018,2.5450737173186346,36.28010568225107
673,1261.59182949048,0.07774152624372614,0.17684452237968026,0.13280052690396096,17.801976153900494,0.8512377867624092,17.874003865872012
706,1311.46832297584,0.029862163024995513,0.4603873827268141,0.29229162890324134,12.667694196873224,1.2110697478563195,46.53220664075992
740,1362.23615418665,0.02357692837116646,0.5831193470669623,0.5622478005108325,16.613102434859023,2.7492147310600035,58.93695390441583
791,1437.22686027369,0.10708152556052752,0.12838968258691846,0.10237833367112625,37.2059315084769,1.0469758654692551,12.976583340080554
841,1509.41924419338,0.021740443432695048,0.6323773073075188,0.6240377798735923,24.19073602167281,4.642686671730094,63.91554730339261
861,1537.93404069926,0.12212317577630649,0.11257620013765193,0.02788115532093076,6.338312826424839,0.05979523435212839,11.378285340076646
906,1601.34726416366,0.05522864024473792,0.24893176831289132,0.19534329599253358,28.884160560260256,1.5677645589987892,25.159995510690585
939,1647.20313045424,0.05317964355826789,0.25852303922600633,0.21159834226592,22.50020332828143,1.5380942120728267,26.129403050560995
977,1699.33884618262,0.09628132718030814,0.14279158254531163,0.09019527651062842,33.90491156136264,0.9861598806784535,14.432210079706385
1016,1752.11368785288,0.06688470367704269,0.20555018295398395,0.1817426048216012,25.84271535425489,1.340536696060393,20.775338219762457
1049,1796.19773078738,0.06909023784561191,0.1989885041119786,0.11176022852251451,14.432264973893892,0.46793772238726833,20.11213716942509
1072,1826.61691136911,0.1423365953427635,0.09658909604049407,0.014920035632895137,5.718567978903095,0.02853673471534708,9.762439078108786
1089,1848.94058153519,0.09058319909467412,0.15177387435025416,0.08239914250416616,18.420113429614666,0.41767162675586017,15.340066971656015
1103,1867.22332231854,0.12796215043667128,0.10743929381245525,0.03077292587346507,5.585591917365684,0.05379082282496707,10.859088690501833
1122,1891.8899703765,0.11682259849586181,0.11768410611176505,0.05358135423260699,34.751704667872616,0.5730774486474528,11.894550870381241
1162,1943.27662633014,0.08040772870701725,0.17098061714606438,0.11500833473146099,16.18597073705198,0.4566661344677917,17.281328088277217
1200,1991.42013266146,0.08897094935965155,0.15452418094432446,0.09180754344356891,12.709469455537645,0.34207485979240787,15.618045560041145
1212,2006.48848267219,0.11047073954506148,0.12445072002103501,0.037420308920348075,10.401628865418736,0.11593432134409588,12.578465088054807
1233,2032.70370774798,0.10670106543907117,0.1288474770243944,0.052469502957361025,12.698488217612827,0.18648869529056122,13.022853472935738
1243,2045.11845524934,0.11972155788334149,0.1148344819488195,0.014941724029496131,6.601209330076703,0.02852701131662113,11.606534071108166
1259,2064.89040660486,0.12534461601875765,0.10968291670048062,0.012143816254277892,6.035086432880978,0.017870302439117573,11.085855816983848
1275,2084.55014977306,0.12147318070629125,0.11317858804471967,0.027469999221417976,11.659483417778068,0.07450646272417381,11.439169803077238
1309,2125.95755814338,0.0962787980449398,0.14279533351903637,0.07191772583661094,30.76238325469397,0.5167216571542761,14.432589197577578
1335,2157.28608402706,0.11889227550392012,0.11563546091929093,0.014145260551866642,4.694319600509917,0.019493676925466153,11.687490501208677
1348,2172.8421298611,0.09961508849993417,0.13801285813893757,0.06802710583012957,26.247341218387977,0.3999520231627774,13.949215540977708
1356,2182.37942694984,0.11309027644353548,0.12156803847325819,0.01127031859170137,4.509078413692992,0.01474412623764165,12.287107117586162
1381,2212.00936670456,0.09049833546649313,0.15191619831206024,0.0880732682648667,26.503922281060383,0.5496174991845648,15.354451918440324
1395,2228.48755434226,0.13564827447836758,0.10135155150706768,0.02079339377740945,5.750221253356183,0.03423100744438113,10.243789284918249
1417,2254.21686448332,0.08468805172762414,0.1623388754042461,0.0726167373176975,10.099442447063593,0.18419678826902952,16.407891222816943
1427,2265.8457121091,0.09838017573897612,0.13974525837518298,0.018580308045829844,5.729967698533524,0.028984078333058542,14.124312445892903
1439,2279.74592459227,0.11820449243738776,0.1163082958536576,0.017591565569843134,6.296226089692297,0.028385800214413153,11.75549517591465
1455,2298.18763570799,0.0793643038647058,0.173228547447174,0.12028634917786785,13.849366964500867,0.4167036298363736,17.508530572988505
1470,2315.38183360048,0.10596123997844759,0.1297470950739675,0.029171695464105377,9.649854799693403,0.06909770689382236,13.113779537704401
1484,2331.34732838888,0.11549929568896669,0.11903244080952821,0.016223730246768583,5.023678022699714,0.021434304145287863,12.030829559005625
1498,2347.23364574023,0.10285335056448984,0.13366762484824374,0.045899760611880724,15.319740064632304,0.12767167987011577,13.510034753295582
1532,2385.4874621293,0.09911279082088428,0.1387122990259116,0.06681477620294855,25.58899125584141,0.2697760390981716,14.019909328659079
1565,2422.17701355976,0.08933774273869759,0.15388975203739913,0.06916905124556649,41.65035774284906,0.4765232815403076,15.55392265375933
1577,2435.41239681287,0.0995427155798933,0.13811320092633805,0.012662838880459326,5.019021524332858,0.016796673432727432,13.959357372603446
1590,2449.6871979318,0.12686642956362496,0.10836722626251782,0.015593671515450977,4.3283262439744625,0.017608006661280234,10.952876544241951
1603,2463.89621657778,0.10980026243586977,0.1252106577219605,0.03658535254922028,13.455115653944544,0.11667757353130409,12.655273400924129
1616,2478.03974773512,0.08925864476992026,0.15402612389060372,0.09556054201799657,12.918356331341176,0.30290629909398786,15.567706009888063
1634,2497.51553111163,0.13285024245995822,0.10348617227238328,0.04047661523533662,7.641134117035267,0.074048432732884,10.459539364694573
1650,2514.72303272819,0.08127813794262197,0.16914958223261214,0.11146521661299627,19.003396033779758,0.47412386491299796,17.096261993601544
1667,2532.89906194601,0.1722009360805178,0.07983791139910384,0.015305033416481331,4.248053081665537,0.017177002721524764,8.069365778414955
1692,2559.42967364028,0.07372374518248585,0.186482157730983,0.1515682256555281,27.82369504825343,0.7224154777261166,18.84809754550098
1704,2572.08079745102,0.11617171091151379,0.11834346735334639,0.02467707887741681,9.36075451907108,0.057290498291649165,11.961193733968093
1721,2589.91099354857,0.09941341565115012,0.1382928349015043,0.0619039031290427,23.60457788575911,0.42055587914605436,13.97751331163598
1753,2623.18237732615,0.10755090010482904,0.127829363252552,0.043216998392099915,11.596636657721376,0.0931133309880913,12.91995082574637
1764,2634.53211824829,0.08180680845754898,0.16805646543188754,0.10931278599810543,15.243326326319467,0.33596417215747315,16.985778651176876
