mode_index,frequency_cm1,reduced_mass_amu,force_constant_mdyne_A,ir_intensity_km_mol,raman_activity_A4_amu,depolar_ratio_p,depolar_ratio_u,laser_wavenumber_cm1,raman_intensity_raw,raman_intensity_norm
1,12.6276,4.9905,0.0005,1.3919,3.6089,0.7376,0.849,12740.151862610202,0.0,0.0
2,19.1205,3.9435,0.0008,0.036,3.9784,0.7484,0.8561,12740.151862610202,0.0,0.0
3,25.4869,4.1732,0.0016,0.6662,1.471,0.7136,0.8329,12740.151862610202,0.0,0.0
4,34.2541,3.6892,0.0026,0.0478,3.4035,0.7422,0.852,12740.151862610202,0.0,0.0
5,43.2513,3.5443,0.0039,0.8099,1.415,0.7478,0.8557,12740.151862610202,0.0,0.0
6,51.8901,3.7857,0.006,0.314,3.0759,0.7171,0.8352,12740.151862610202,0.0,0.0
7,56.0841,3.8364,0.0071,0.309,5.532,0.7378,0.8491,12740.151862610202,0.0,0.0
8,66.8764,2.1339,0.0056,0.0102,0.7147,0.7496,0.8569,12740.151862610202,0.0,0.0
9,70.414,3.0961,0.009,0.5652,0.8279,0.7456,0.8542,12740.151862610202,0.0,0.0
10,72.3771,3.6684,0.0113,0.425,5.2417,0.6746,0.8057,12740.151862610202,0.0,0.0
11,83.5421,2.7827,0.0114,3.6579,1.3637,0.6387,0.7795,12740.151862610202,0.0,0.0
12,96.937,3.5831,0.0198,0.3134,2.5884,0.594,0.7453,12740.151862610202,0.0,0.0
13,113.373,2.6854,0.0203,1.5682,1.4915,0.7466,0.8549,12740.151862610202,793623254679415.8,0.12391222326820013
14,117.8905,3.564,0.0292,0.138,5.0297,0.75,0.8571,12740.151862610202,2496140803251175.5,0.3897344926545364
15,120.0495,2.4346,0.0207,0.0097,0.3847,0.7435,0.8529,12740.151862610202,184857047100553.78,0.028862621600317027
16,140.0556,3.2262,0.0373,2.251,0.5312,0.2008,0.3345,12740.151862610202,194590295720275.84,0.030382320612386795
17,153.2954,3.4825,0.0482,0.1363,4.1029,0.205,0.3402,12740.151862610202,1285053046748656.8,0.20064152493177997
18,154.4939,3.738,0.0526,0.9271,1.8605,0.2715,0.4271,12740.151862610202,574952283991861.6,0.08977007082704505
19,160.1487,3.1454,0.0475,0.8945,3.0072,0.4306,0.602,12740.151862610202,873660084788409.1,0.13640875925510335
20,193.2348,1.605,0.0353,0.4972,0.1284,0.2615,0.4146,12740.151862610202,27154950978079.96,0.004239833357443762
21,208.3222,1.1501,0.0294,0.0795,0.4048,0.7374,0.8488,12740.151862610202,75583997529427.75,0.011801293777804995
22,211.8351,1.7905,0.0473,1.1646,1.1168,0.5629,0.7203,12740.151862610202,202872196822357.7,0.03167541374240207
23,219.3984,3.274,0.0929,0.0524,1.2291,0.6911,0.8173,12740.151862610202,210809156280185.88,0.03291464947120684
24,234.1534,3.3174,0.1072,0.1535,8.8534,0.2487,0.3984,12740.151862610202,1366237481431260.8,0.21331724195113203
25,250.693,1.8792,0.0696,0.054,7.7798,0.1954,0.327,12740.151862610202,1076041759537450.5,0.1680075854223451
26,257.2968,1.7239,0.0672,1.2862,6.0285,0.202,0.336,12740.151862610202,800032040351144.0,0.12491285785942569
27,261.1251,3.0824,0.1238,0.4317,27.535,0.1638,0.2815,12740.151862610202,3569588770677448.5,0.5573370968149333
28,261.3606,2.9059,0.117,3.5517,2.8655,0.7158,0.8344,12740.151862610202,370948813063611.56,0.05791802580681645
29,263.4667,1.2525,0.0512,0.0045,0.1604,0.5979,0.7484,12740.151862610202,20502491865768.55,0.0032011528576639412
30,274.0514,2.6437,0.117,3.4286,0.7239,0.4619,0.6319,12740.151862610202,86966614721471.92,0.013578516653471335
31,279.6861,2.9841,0.1375,1.2991,0.763,0.7052,0.8271,12740.151862610202,88789712013466.88,0.0138631656192789
32,301.3418,4.421,0.2365,4.7092,0.8468,0.7083,0.8293,12740.151862610202,87776196676486.53,0.013704920585528742
33,318.4067,3.7625,0.2247,4.9445,4.5171,0.1756,0.2987,12740.151862610202,430336593911656.0,0.0671905262236779
34,341.8111,2.8797,0.1982,3.4509,0.084,0.7291,0.8433,12740.151862610202,7188155226190.563,0.0011223213155894772
35,350.315,3.9917,0.2886,2.8511,1.8714,0.4897,0.6574,12740.151862610202,154350029923726.97,0.024099413993467364
36,358.1553,3.0034,0.227,10.2573,0.0354,0.2913,0.4511,12740.151862610202,2824880393513.1147,0.000441062189096709
37,371.8361,2.2459,0.183,0.1716,0.9363,0.6652,0.7989,12740.151862610202,70674253570557.75,0.011034711793174327
38,385.2263,3.9481,0.3452,3.8377,16.8902,0.1432,0.2506,12740.151862610202,1210180926288635.2,0.18895137995139702
39,401.2635,4.4651,0.4236,22.3487,16.6172,0.1148,0.2059,12740.151862610202,1121691773497851.5,0.17513514209196743
40,405.3508,4.6593,0.4511,0.834,0.5463,0.7276,0.8423,12740.151862610202,36336475286593.84,0.005673388994014108
41,423.3491,1.7871,0.1887,54.4531,2.3577,0.5648,0.7219,12740.151862610202,147260376534440.75,0.022992472244359654
42,433.6868,2.0718,0.2296,8.1409,4.3018,0.4885,0.6563,12740.151862610202,259522287383719.44,0.04052046538172027
43,436.852,2.1938,0.2467,1.9616,1.1829,0.6644,0.7984,12740.151862610202,70622373318664.33,0.011026611479432355
