shape,fwhm_cm1,rmse,cosine_similarity,correlation,aic,bic,sigma,gamma,eta
Lorentzian,32.0,0.2499035010691973,0.61438046398681,0.1688039740531052,-1939.352603902077,-1934.8015235670334,,,
PseudoVoigt,31.333333333333332,0.24994088389555208,0.6121557998667657,0.16762621208010414,-1937.1431948997213,-1928.0410342296345,,,1.0
Voigt,,0.25016647888496163,0.6077636997716043,0.16538249689869913,-1935.8801340847801,-1926.7779734146934,1.0,15.0,
Gaussian,49.0,0.2572861490352727,0.6042295966553667,0.2118583310218148,-1898.5929503525258,-1894.0418700174823,,,
