exp_index,exp_position_cm1,exp_intensity,dft_mode_index,dft_frequency_scaled_cm1,dft_frequency_unscaled_cm1,dft_raman_intensity_norm,match_cost_cm1,matching_confidence,matched,unmatched_reason
0,150.835542175313,0.15259062884525704,18,149.39560129999998,154.4939,0.08977007082704505,1.4399408753130274,0.4459401254508074,True,
1,187.425120916616,0.1983299405800575,20,186.8580516,193.2348,0.004239833357443762,0.5670693166159992,0.959559887264469,True,
2,227.560478444981,0.49701639002191583,24,226.4263378,234.1534,0.21331724195113203,1.134140644980988,0.9236765031496029,True,
3,274.926278176486,0.2288673101154846,31,270.4564587,279.6861,0.0138631656192789,4.469819476486009,0.5493485951889789,True,
4,306.880239070475,0.6126372192068467,33,307.8992789,318.4067,0.0671905262236779,1.0190398295250134,0.9341821120452275,True,
5,353.500528569564,0.31080770877636205,37,359.56550869999995,371.8361,0.011034711793174327,6.06498013043597,0.15345046050539535,True,
6,366.475693084774,0.26811814050195837,38,372.51383209999995,385.2263,0.18895137995139702,6.0381390152259655,0.12619712022005314,True,
7,410.703411787561,0.42989349612846645,41,409.3785797,423.3491,0.022992472244359654,1.324832087560992,0.8472239065477831,True,
8,465.430278152804,0.21297498023497233,46,467.723395,483.685,0.012495924513941076,2.293116847195961,0.7465163320379975,True,
9,519.545244269821,1.0,49,520.9672853,538.7459,0.024766355292502602,1.4220410301790025,0.891049775648157,True,
10,565.956316221434,0.19326894013359516,51,568.0880348999999,587.4747,0.005121466538332841,2.1317186785659032,0.9150846018658978,True,
11,610.159697957783,0.5714556776779878,53,608.4858136999999,629.2511,0.025719005874341245,1.6738842577831292,0.6530078777358814,True,
12,636.484790030583,0.31510481581775385,54,627.0982429,648.4987,0.009980177534348614,9.38654713058304,0.1728007396065182,True,
13,659.181336122767,0.36060219045238107,56,661.1105339,683.6717,0.007382264679442258,1.9291977772329574,0.8300140878795501,True,
14,730.049124143252,0.3520641026238449,61,724.5867347000001,749.3141,0.0022757273709417742,5.462389443251936,0.6591359049813175,True,
15,774.434784370877,0.2703145342197238,65,773.5396592,799.9376,0.0037458491355745814,0.8951251708770087,0.8636316161878074,True,
16,791.392814100845,0.24194904779783413,67,792.6311402,819.6806,0.006801817961874366,1.2383260991549605,0.6137795790228944,True,
