condition,mean,std,count,sem
3m-10ml-hf-5s-10p-5ac,0.36608055465225736,0.08072583196180862,14,0.021574886104526653
3m-5ml-hf-5s-10p-5ac,0.5409123929487628,0.15130700952766343,11,0.0456207798867263
4m-10ml-hf-5s-10p-5ac,0.6255970954237212,0.12183434705851676,11,0.036734437797367285
4m-5ml-hf-5s-10p-5ac,0.527409396543705,0.08470991315961068,11,0.02554099981581981
5m-10ml-hf-5s-10p-5ac,0.5547024171763436,0.14865253216662774,12,0.04291228973106102
5m-5ml-hf-5s-10p-5ac,0.6240508071523206,0.19152716447647367,13,0.05312007785878084
6m-10ml-hf-5s-10p-5ac,0.8972187220501943,0.1518627318942866,11,0.04578833648469878
6m-5ml-hf-5s-10p-5ac,0.8058653698475887,0.12304589163635957,14,0.03288539781095505
