scaling,n_matched_peaks,mae_cm1,rmse_cm1,mean_signed_error_cm1,median_error_cm1,max_abs_error_cm1,pearson_r,pearson_p_value,spearman_rho,spearman_p_value,kendall_tau,kendall_p_value,r_squared,adjusted_r_squared
literature,31,3.647507293130383,4.61942028806357,0.5610873140278488,0.5670693166159992,9.38654713058304,0.9999452895013323,5.417607616089951e-59,1.0,0.0,1.0,2.4322500831070362e-34,0.9998829817379231,0.9998789466254377
optimized,31,3.647507293130383,4.61942028806357,0.5610873140278488,0.5670693166159992,9.38654713058304,0.9999452895013323,5.417607616089951e-59,1.0,0.0,1.0,2.4322500831070362e-34,0.9998829817379231,0.9998789466254377
