condition,n_replicates,mean_intensity,mean_cv,max_intensity
3m-10ml-hf-5s-10p-5ac,14,461.2601266361176,0.45697721836309535,2074.847595875343
3m-5ml-hf-5s-10p-5ac,11,618.3700739447133,0.19503021448479885,2106.7819301998006
4m-10ml-hf-5s-10p-5ac,11,664.7764261305806,0.25614052047716185,2536.683508012062
4m-5ml-hf-5s-10p-5ac,11,607.7009617762653,0.15739540631172466,2128.589593577934
5m-10ml-hf-5s-10p-5ac,12,595.6843756579883,0.2194049174973851,3078.80508940649
5m-5ml-hf-5s-10p-5ac,13,710.2235033529518,0.21459150720681425,3800.849007408612
6m-10ml-hf-5s-10p-5ac,11,905.7469773056532,0.3304806948471332,4014.768892679658
6m-5ml-hf-5s-10p-5ac,14,939.3887248662718,0.1558206186990005,3006.30695022345
